ticket_id,satisfaction_score,security_rating,cleanliness_rating,mean_rating,satisfaction_level_id,cleanliness_rating_level_id,security_rating_level_id
76,7,6,7,6.67,2,2,2
77,5,10,1,5.33,1,1,3
78,3,8,4,5.0,1,1,2
79,1,7,2,3.33,1,1,2
80,8,7,8,7.67,2,2,2
81,8,8,5,7.0,2,1,2
82,8,8,4,6.67,2,1,2
83,1,9,7,5.67,1,2,3
84,3,7,4,4.67,1,1,2
85,1,9,3,4.33,1,1,3
86,4,4,3,3.67,1,1,1
87,10,10,7,9.0,3,2,3
88,8,6,3,5.67,2,1,2
89,8,5,3,5.33,2,1,1
90,2,6,3,3.67,1,1,2
91,4,10,10,8.0,1,3,3
92,8,1,2,3.67,2,1,1
93,1,9,7,5.67,1,2,3
94,9,8,6,7.67,3,2,2
95,6,9,3,6.0,2,1,3
96,7,9,8,8.0,2,2,3
97,1,9,5,5.0,1,1,3
98,8,9,5,7.33,2,1,3
99,8,10,4,7.33,2,1,3
100,2,8,4,4.67,1,1,2
101,8,10,3,7.0,2,1,3
102,10,9,5,8.0,3,1,3
103,7,5,6,6.0,2,2,1
104,8,7,7,7.33,2,2,2
105,8,8,4,6.67,2,1,2
106,8,7,3,6.0,2,1,2
107,8,6,7,7.0,2,2,2
108,8,9,2,6.33,2,1,3
109,4,7,6,5.67,1,2,2
110,8,8,8,8.0,2,2,2
111,10,5,3,6.0,3,1,1
112,4,9,6,6.33,1,2,3
113,1,4,8,4.33,1,2,1
114,6,10,3,6.33,2,1,3
115,5,7,5,5.67,1,1,2
116,8,10,9,9.0,2,3,3
117,8,7,6,7.0,2,2,2
33,8,9,2,6.33,2,1,3
118,1,7,10,6.0,1,3,2
119,2,8,3,4.33,1,1,2
120,4,6,4,4.67,1,1,2
121,8,7,3,6.0,2,1,2
122,8,7,5,6.67,2,1,2
123,8,7,3,6.0,2,1,2
124,6,9,6,7.0,2,2,3
125,8,9,4,7.0,2,1,3
126,1,7,4,4.0,1,1,2
127,8,8,4,6.67,2,1,2
128,2,7,2,3.67,1,1,2
129,4,10,1,5.0,1,1,3
130,2,8,5,5.0,1,1,2
131,8,1,1,3.33,2,1,1
132,8,9,6,7.67,2,2,3
133,8,9,10,9.0,2,3,3
134,2,10,6,6.0,1,2,3
135,1,9,9,6.33,1,3,3
136,7,8,9,8.0,2,3,2
137,7,7,5,6.33,2,1,2
138,9,9,8,8.67,3,2,3
139,2,9,6,5.67,1,2,3
140,5,10,5,6.67,1,1,3
141,2,1,7,3.33,1,2,1
142,5,9,2,5.33,1,1,3
143,5,8,9,7.33,1,3,2
144,4,2,2,2.67,1,1,1
145,4,7,3,4.67,1,1,2
146,3,5,6,4.67,1,2,1
147,4,7,3,4.67,1,1,2
148,8,9,4,7.0,2,1,3
149,4,9,4,5.67,1,1,3
150,5,7,5,5.67,1,1,2
151,8,10,3,7.0,2,1,3
152,4,9,3,5.33,1,1,3
153,1,10,7,6.0,1,2,3
154,9,8,7,8.0,3,2,2
155,1,9,9,6.33,1,3,3
156,8,2,2,4.0,2,1,1
157,3,2,2,2.33,1,1,1
158,8,6,5,6.33,2,1,2
159,8,8,7,7.67,2,2,2
160,4,9,4,5.67,1,1,3
161,5,8,3,5.33,1,1,2
162,8,10,6,8.0,2,2,3
163,8,8,6,7.33,2,2,2
164,1,10,2,4.33,1,1,3
165,1,7,8,5.33,1,2,2
166,6,9,3,6.0,2,1,3
167,8,8,6,7.33,2,2,2
168,8,9,7,8.0,2,2,3
169,1,7,10,6.0,1,3,2
170,4,8,9,7.0,1,3,2
171,7,9,3,6.33,2,1,3
172,3,9,9,7.0,1,3,3
173,4,7,10,7.0,1,3,2
174,8,1,9,6.0,2,3,1
175,6,2,9,5.67,2,3,1
176,5,9,4,6.0,1,1,3
177,6,10,2,6.0,2,1,3
178,8,9,7,8.0,2,2,3
179,1,7,3,3.67,1,1,2
180,9,10,6,8.33,3,2,3
181,7,8,4,6.33,2,1,2
182,8,8,8,8.0,2,2,2
183,8,6,4,6.0,2,1,2
184,1,7,6,4.67,1,2,2
185,9,8,9,8.67,3,3,2
186,2,10,5,5.67,1,1,3
187,8,8,4,6.67,2,1,2
188,8,6,4,6.0,2,1,2
189,7,7,2,5.33,2,1,2
190,5,9,5,6.33,1,1,3
191,1,9,5,5.0,1,1,3
192,9,8,8,8.33,3,2,2
193,8,7,3,6.0,2,1,2
194,7,8,2,5.67,2,1,2
195,9,10,1,6.67,3,1,3
196,3,7,1,3.67,1,1,2
197,1,9,4,4.67,1,1,3
198,4,7,4,5.0,1,1,2
199,8,7,6,7.0,2,2,2
106,8,8,3,6.33,2,1,2
200,6,8,9,7.67,2,3,2
201,2,8,9,6.33,1,3,2
202,9,7,9,8.33,3,3,2
203,8,10,6,8.0,2,2,3
204,7,10,4,7.0,2,1,3
205,1,9,7,5.67,1,2,3
206,4,8,6,6.0,1,2,2
207,7,7,4,6.0,2,1,2
208,8,6,7,7.0,2,2,2
209,8,6,8,7.33,2,2,2
210,9,9,2,6.67,3,1,3
211,1,8,6,5.0,1,2,2
212,8,6,4,6.0,2,1,2
213,7,7,2,5.33,2,1,2
214,4,8,2,4.67,1,1,2
215,8,9,3,6.67,2,1,3
216,8,10,6,8.0,2,2,3
217,3,7,5,5.0,1,1,2
218,6,10,4,6.67,2,1,3
219,1,8,5,4.67,1,1,2
220,6,9,6,7.0,2,2,3
221,2,6,5,4.33,1,1,2
222,8,8,7,7.67,2,2,2
223,4,7,4,5.0,1,1,2
224,7,8,6,7.0,2,2,2
225,1,7,10,6.0,1,3,2
226,6,9,4,6.33,2,1,3
227,8,9,3,6.67,2,1,3
228,9,8,4,7.0,3,1,2
229,8,8,8,8.0,2,2,2
230,4,7,3,4.67,1,1,2
231,8,7,4,6.33,2,1,2
232,1,6,1,2.67,1,1,2
233,4,8,9,7.0,1,3,2
234,8,7,6,7.0,2,2,2
235,8,9,4,7.0,2,1,3
236,8,10,3,7.0,2,1,3
237,9,10,7,8.67,3,2,3
238,8,8,6,7.33,2,2,2
239,5,1,8,4.67,1,2,1
240,4,9,8,7.0,1,2,3
241,2,7,6,5.0,1,2,2
242,4,10,9,7.67,1,3,3
243,3,7,4,4.67,1,1,2
244,5,7,9,7.0,1,3,2
245,8,8,10,8.67,2,3,2
246,7,8,2,5.67,2,1,2
247,4,9,2,5.0,1,1,3
248,6,6,3,5.0,2,1,2
249,10,10,3,7.67,3,1,3
250,4,8,2,4.67,1,1,2
251,1,8,3,4.0,1,1,2
252,8,7,1,5.33,2,1,2
253,8,10,3,7.0,2,1,3
254,8,8,4,6.67,2,1,2
255,3,10,4,5.67,1,1,3
256,9,5,4,6.0,3,1,1
257,8,6,3,5.67,2,1,2
258,4,7,6,5.67,1,2,2
259,7,10,4,7.0,2,1,3
260,10,8,6,8.0,3,2,2
261,2,8,4,4.67,1,1,2
262,4,1,6,3.67,1,2,1
263,2,8,8,6.0,1,2,2
264,7,7,6,6.67,2,2,2
265,6,8,10,8.0,2,3,2
266,5,7,6,6.0,1,2,2
267,4,7,7,6.0,1,2,2
268,1,5,2,2.67,1,1,1
269,5,8,3,5.33,1,1,2
270,8,8,2,6.0,2,1,2
271,8,7,3,6.0,2,1,2
272,6,7,3,5.33,2,1,2
273,6,10,6,7.33,2,2,3
274,6,7,6,6.33,2,2,2
275,4,9,9,7.33,1,3,3
276,7,7,2,5.33,2,1,2
277,5,4,9,6.0,1,3,1
278,1,7,5,4.33,1,1,2
279,2,5,4,3.67,1,1,1
280,8,9,2,6.33,2,1,3
281,1,8,8,5.67,1,2,2
282,4,9,4,5.67,1,1,3
283,8,8,2,6.0,2,1,2
284,1,8,7,5.33,1,2,2
285,7,10,7,8.0,2,2,3
286,6,9,2,5.67,2,1,3
287,1,7,5,4.33,1,1,2
288,8,8,2,6.0,2,1,2
289,8,7,3,6.0,2,1,2
290,2,8,9,6.33,1,3,2
291,1,9,9,6.33,1,3,3
292,6,9,9,8.0,2,3,3
293,5,10,3,6.0,1,1,3
294,8,9,4,7.0,2,1,3
295,7,8,8,7.67,2,2,2
48,6,8,1,5.0,2,1,2
296,8,8,2,6.0,2,1,2
297,5,9,6,6.67,1,2,3
298,9,9,3,7.0,3,1,3
299,8,9,6,7.67,2,2,3
300,8,8,3,6.33,2,1,2
301,5,8,4,5.67,1,1,2
302,9,10,6,8.33,3,2,3
303,8,10,1,6.33,2,1,3
304,6,6,9,7.0,2,3,2
305,1,10,7,6.0,1,2,3
306,1,7,6,4.67,1,2,2
307,6,8,5,6.33,2,1,2
308,7,10,10,9.0,2,3,3
309,8,10,2,6.67,2,1,3
310,4,1,4,3.0,1,1,1
252,2,9,2,4.33,1,1,3
311,1,6,8,5.0,1,2,2
312,8,5,2,5.0,2,1,1
313,5,9,5,6.33,1,1,3
314,10,1,6,5.67,3,2,1
315,2,6,5,4.33,1,1,2
316,8,8,7,7.67,2,2,2
317,7,9,4,6.67,2,1,3
318,5,10,8,7.67,1,2,3
319,6,10,5,7.0,2,1,3
320,6,9,4,6.33,2,1,3
321,6,5,9,6.67,2,3,1
322,1,9,9,6.33,1,3,3
323,8,6,3,5.67,2,1,2
324,8,10,2,6.67,2,1,3
325,7,8,7,7.33,2,2,2
326,5,8,4,5.67,1,1,2
327,1,8,5,4.67,1,1,2
328,4,7,6,5.67,1,2,2
329,6,7,7,6.67,2,2,2
330,8,7,3,6.0,2,1,2
331,7,8,9,8.0,2,3,2
332,8,8,9,8.33,2,3,2
333,6,8,6,6.67,2,2,2
334,10,9,5,8.0,3,1,3
335,8,7,2,5.67,2,1,2
320,3,6,6,5.0,1,2,2
336,2,9,5,5.33,1,1,3
337,8,7,6,7.0,2,2,2
338,9,10,8,9.0,3,2,3
339,4,7,8,6.33,1,2,2
340,6,6,6,6.0,2,2,2
341,9,7,6,7.33,3,2,2
342,8,5,2,5.0,2,1,1
343,2,10,8,6.67,1,2,3
344,6,8,6,6.67,2,2,2
345,1,5,10,5.33,1,3,1
346,9,7,3,6.33,3,1,2
347,7,10,6,7.67,2,2,3
348,8,7,2,5.67,2,1,2
349,8,8,5,7.0,2,1,2
350,7,6,2,5.0,2,1,2
351,1,8,8,5.67,1,2,2
352,8,8,2,6.0,2,1,2
353,7,8,7,7.33,2,2,2
354,8,8,4,6.67,2,1,2
355,9,9,6,8.0,3,2,3
356,10,7,5,7.33,3,1,2
357,1,9,5,5.0,1,1,3
358,4,8,7,6.33,1,2,2
359,4,9,2,5.0,1,1,3
360,9,5,3,5.67,3,1,1
361,8,8,3,6.33,2,1,2
362,8,8,7,7.67,2,2,2
363,8,6,4,6.0,2,1,2
364,4,6,5,5.0,1,1,2
365,6,8,9,7.67,2,3,2
366,8,9,7,8.0,2,2,3
367,7,10,7,8.0,2,2,3
368,7,8,4,6.33,2,1,2
369,4,6,6,5.33,1,2,2
370,2,6,2,3.33,1,1,2
371,9,6,6,7.0,3,2,2
372,8,7,6,7.0,2,2,2
373,8,10,4,7.33,2,1,3
374,9,8,3,6.67,3,1,2
375,8,7,7,7.33,2,2,2
376,7,6,8,7.0,2,2,2
377,5,7,6,6.0,1,2,2
378,8,6,4,6.0,2,1,2
379,4,8,3,5.0,1,1,2
380,8,9,9,8.67,2,3,3
381,5,9,7,7.0,1,2,3
382,8,9,5,7.33,2,1,3
383,9,9,5,7.67,3,1,3
384,8,5,9,7.33,2,3,1
385,1,9,7,5.67,1,2,3
386,8,5,5,6.0,2,1,1
387,2,7,2,3.67,1,1,2
257,6,7,10,7.67,2,3,2
388,4,7,3,4.67,1,1,2
389,8,8,2,6.0,2,1,2
390,8,7,3,6.0,2,1,2
391,4,8,5,5.67,1,1,2
392,8,10,8,8.67,2,2,3
393,8,10,3,7.0,2,1,3
394,8,8,9,8.33,2,3,2
395,1,8,1,3.33,1,1,2
396,7,8,2,5.67,2,1,2
397,4,7,4,5.0,1,1,2
398,2,7,3,4.0,1,1,2
399,7,8,6,7.0,2,2,2
400,5,5,3,4.33,1,1,1
401,4,7,9,6.67,1,3,2
402,1,6,3,3.33,1,1,2
403,8,4,3,5.0,2,1,1
404,8,9,6,7.67,2,2,3
405,8,8,5,7.0,2,1,2
406,3,4,10,5.67,1,3,1
407,6,10,7,7.67,2,2,3
408,4,10,9,7.67,1,3,3
409,1,9,4,4.67,1,1,3
410,1,10,7,6.0,1,2,3
411,4,8,3,5.0,1,1,2
412,5,4,3,4.0,1,1,1
413,1,9,6,5.33,1,2,3
414,8,8,3,6.33,2,1,2
415,6,7,4,5.67,2,1,2
416,8,6,6,6.67,2,2,2
417,7,8,3,6.0,2,1,2
418,9,10,9,9.33,3,3,3
419,4,7,9,6.67,1,3,2
420,6,8,5,6.33,2,1,2
421,1,9,3,4.33,1,1,3
422,7,1,8,5.33,2,2,1
423,9,7,7,7.67,3,2,2
424,9,4,2,5.0,3,1,1
425,6,7,4,5.67,2,1,2
426,5,1,6,4.0,1,2,1
427,8,9,5,7.33,2,1,3
428,1,7,6,4.67,1,2,2
429,8,7,9,8.0,2,3,2
430,2,6,4,4.0,1,1,2
431,5,10,7,7.33,1,2,3
432,8,7,8,7.67,2,2,2
433,3,5,8,5.33,1,2,1
434,2,7,4,4.33,1,1,2
435,3,9,4,5.33,1,1,3
436,6,8,2,5.33,2,1,2
437,8,8,6,7.33,2,2,2
438,4,7,4,5.0,1,1,2
439,4,10,5,6.33,1,1,3
440,8,10,9,9.0,2,3,3
441,8,9,4,7.0,2,1,3
442,8,10,10,9.33,2,3,3
443,7,8,3,6.0,2,1,2
444,6,9,3,6.0,2,1,3
445,5,8,6,6.33,1,2,2
446,10,9,6,8.33,3,2,3
447,8,9,3,6.67,2,1,3
448,4,5,6,5.0,1,2,1
449,8,8,5,7.0,2,1,2
450,8,5,3,5.33,2,1,1
451,8,7,4,6.33,2,1,2
452,8,8,3,6.33,2,1,2
453,4,10,3,5.67,1,1,3
454,4,8,1,4.33,1,1,2
455,1,8,3,4.0,1,1,2
456,9,9,2,6.67,3,1,3
457,5,7,5,5.67,1,1,2
458,1,6,3,3.33,1,1,2
459,8,8,9,8.33,2,3,2
460,1,10,2,4.33,1,1,3
461,1,9,3,4.33,1,1,3
462,8,8,5,7.0,2,1,2
463,1,8,7,5.33,1,2,2
464,8,7,3,6.0,2,1,2
465,4,2,4,3.33,1,1,1
466,6,9,3,6.0,2,1,3
467,3,8,3,4.67,1,1,2
468,10,5,6,7.0,3,2,1
469,1,7,6,4.67,1,2,2
470,8,5,6,6.33,2,2,1
471,8,9,2,6.33,2,1,3
472,7,6,5,6.0,2,1,2
473,2,9,2,4.33,1,1,3
474,6,9,8,7.67,2,2,3
475,3,10,4,5.67,1,1,3
476,6,9,4,6.33,2,1,3
477,4,9,3,5.33,1,1,3
478,6,9,6,7.0,2,2,3
479,1,7,2,3.33,1,1,2
480,8,2,6,5.33,2,2,1
481,1,10,3,4.67,1,1,3
482,8,6,2,5.33,2,1,2
483,9,9,3,7.0,3,1,3
484,1,8,2,3.67,1,1,2
485,4,9,5,6.0,1,1,3
486,2,8,7,5.67,1,2,2
487,6,7,9,7.33,2,3,2
488,1,9,6,5.33,1,2,3
489,5,6,10,7.0,1,3,2
490,4,9,2,5.0,1,1,3
491,4,8,3,5.0,1,1,2
492,8,8,3,6.33,2,1,2
493,2,10,2,4.67,1,1,3
183,8,6,9,7.67,2,3,2
494,8,8,4,6.67,2,1,2
495,9,8,2,6.33,3,1,2
496,8,8,6,7.33,2,2,2
497,5,9,8,7.33,1,2,3
498,9,7,6,7.33,3,2,2
499,7,10,2,6.33,2,1,3
500,6,10,2,6.0,2,1,3
501,3,8,2,4.33,1,1,2
502,6,8,5,6.33,2,1,2
503,9,8,5,7.33,3,1,2
504,1,5,7,4.33,1,2,1
505,10,8,8,8.67,3,2,2
506,8,8,1,5.67,2,1,2
3,6,8,4,6.0,2,1,2
507,7,8,6,7.0,2,2,2
508,6,8,8,7.33,2,2,2
509,4,6,7,5.67,1,2,2
510,4,8,1,4.33,1,1,2
511,4,7,6,5.67,1,2,2
512,8,8,4,6.67,2,1,2
513,7,9,3,6.33,2,1,3
514,1,9,7,5.67,1,2,3
515,1,4,7,4.0,1,2,1
516,8,10,6,8.0,2,2,3
517,5,9,1,5.0,1,1,3
426,5,6,6,5.67,1,2,2
518,9,9,5,7.67,3,1,3
519,7,8,9,8.0,2,3,2
520,1,7,8,5.33,1,2,2
521,3,8,9,6.67,1,3,2
522,8,5,5,6.0,2,1,1
523,9,8,5,7.33,3,1,2
524,8,6,2,5.33,2,1,2
525,1,8,1,3.33,1,1,2
509,4,8,3,5.0,1,1,2
526,2,8,4,4.67,1,1,2
527,8,2,4,4.67,2,1,1
528,8,7,8,7.67,2,2,2
529,8,4,2,4.67,2,1,1
530,4,10,9,7.67,1,3,3
531,4,6,2,4.0,1,1,2
532,8,9,2,6.33,2,1,3
533,8,5,3,5.33,2,1,1
534,4,9,7,6.67,1,2,3
535,4,10,3,5.67,1,1,3
536,8,8,2,6.0,2,1,2
537,8,7,6,7.0,2,2,2
538,8,8,2,6.0,2,1,2
539,3,5,8,5.33,1,2,1
540,8,9,9,8.67,2,3,3
541,5,8,3,5.33,1,1,2
542,1,8,1,3.33,1,1,2
543,7,10,2,6.33,2,1,3
544,8,10,3,7.0,2,1,3
545,4,1,2,2.33,1,1,1
546,2,9,4,5.0,1,1,3
547,5,7,6,6.0,1,2,2
548,6,6,6,6.0,2,2,2
549,9,6,7,7.33,3,2,2
550,3,7,6,5.33,1,2,2
551,1,8,5,4.67,1,1,2
552,1,7,2,3.33,1,1,2
553,8,8,6,7.33,2,2,2
554,1,7,6,4.67,1,2,2
555,6,8,6,6.67,2,2,2
556,6,8,7,7.0,2,2,2
557,7,6,7,6.67,2,2,2
558,5,6,6,5.67,1,2,2
559,7,10,3,6.67,2,1,3
560,2,9,5,5.33,1,1,3
561,6,7,6,6.33,2,2,2
562,10,7,2,6.33,3,1,2
563,4,6,7,5.67,1,2,2
564,8,9,6,7.67,2,2,3
565,8,5,4,5.67,2,1,1
566,4,8,6,6.0,1,2,2
567,8,2,4,4.67,2,1,1
568,4,8,3,5.0,1,1,2
569,6,6,10,7.33,2,3,2
570,5,10,9,8.0,1,3,3
571,8,9,4,7.0,2,1,3
572,8,5,2,5.0,2,1,1
573,8,9,6,7.67,2,2,3
574,8,4,4,5.33,2,1,1
575,2,8,10,6.67,1,3,2
576,5,10,4,6.33,1,1,3
577,9,9,6,8.0,3,2,3
578,8,9,3,6.67,2,1,3
579,9,9,8,8.67,3,2,3
580,8,8,10,8.67,2,3,2
581,4,9,6,6.33,1,2,3
582,8,6,4,6.0,2,1,2
583,8,10,6,8.0,2,2,3
584,2,8,2,4.0,1,1,2
585,6,9,2,5.67,2,1,3
586,7,10,2,6.33,2,1,3
587,8,9,3,6.67,2,1,3
588,8,9,3,6.67,2,1,3
589,8,10,3,7.0,2,1,3
590,8,7,3,6.0,2,1,2
158,5,10,3,6.0,1,1,3
591,10,2,2,4.67,3,1,1
592,8,5,6,6.33,2,2,1
593,8,10,1,6.33,2,1,3
594,8,10,5,7.67,2,1,3
595,4,9,3,5.33,1,1,3
596,8,10,5,7.67,2,1,3
597,5,2,6,4.33,1,2,1
598,6,8,10,8.0,2,3,2
599,2,9,1,4.0,1,1,3
600,5,8,5,6.0,1,1,2
601,7,6,10,7.67,2,3,2
602,10,9,8,9.0,3,2,3
603,4,5,2,3.67,1,1,1
604,8,8,7,7.67,2,2,2
605,6,8,2,5.33,2,1,2
606,8,9,7,8.0,2,2,3
354,9,10,6,8.33,3,2,3
607,6,8,8,7.33,2,2,2
608,8,4,3,5.0,2,1,1
609,8,8,5,7.0,2,1,2
610,6,7,5,6.0,2,1,2
611,6,7,6,6.33,2,2,2
612,8,5,3,5.33,2,1,1
613,1,6,1,2.67,1,1,2
614,2,9,7,6.0,1,2,3
615,2,8,2,4.0,1,1,2
616,4,7,6,5.67,1,2,2
617,9,7,5,7.0,3,1,2
618,4,6,6,5.33,1,2,2
619,10,9,3,7.33,3,1,3
620,3,8,5,5.33,1,1,2
621,8,7,8,7.67,2,2,2
622,7,10,7,8.0,2,2,3
623,4,6,7,5.67,1,2,2
624,5,6,3,4.67,1,1,2
625,5,7,5,5.67,1,1,2
626,6,5,3,4.67,2,1,1
627,6,8,7,7.0,2,2,2
628,4,8,2,4.67,1,1,2
629,6,10,5,7.0,2,1,3
630,3,8,2,4.33,1,1,2
631,1,1,7,3.0,1,2,1
632,2,9,5,5.33,1,1,3
633,5,7,4,5.33,1,1,2
634,3,8,3,4.67,1,1,2
635,4,10,8,7.33,1,2,3
636,8,7,9,8.0,2,3,2
637,7,7,3,5.67,2,1,2
638,4,6,4,4.67,1,1,2
639,10,7,6,7.67,3,2,2
640,4,1,1,2.0,1,1,1
641,6,1,9,5.33,2,3,1
642,7,10,6,7.67,2,2,3
643,3,8,8,6.33,1,2,2
226,8,9,3,6.67,2,1,3
644,4,6,6,5.33,1,2,2
645,4,8,10,7.33,1,3,2
646,8,7,3,6.0,2,1,2
647,8,7,5,6.67,2,1,2
648,4,10,8,7.33,1,2,3
649,9,8,3,6.67,3,1,2
650,4,7,4,5.0,1,1,2
651,6,7,6,6.33,2,2,2
652,8,9,3,6.67,2,1,3
653,5,10,3,6.0,1,1,3
654,4,10,3,5.67,1,1,3
655,2,9,9,6.67,1,3,3
656,4,9,6,6.33,1,2,3
657,8,1,6,5.0,2,2,1
658,6,5,7,6.0,2,2,1
659,8,8,2,6.0,2,1,2
651,1,10,6,5.67,1,2,3
660,6,1,7,4.67,2,2,1
661,8,7,8,7.67,2,2,2
662,8,9,6,7.67,2,2,3
663,8,6,8,7.33,2,2,2
664,1,7,6,4.67,1,2,2
283,7,6,7,6.67,2,2,2
665,8,10,8,8.67,2,2,3
666,2,8,4,4.67,1,1,2
667,6,8,7,7.0,2,2,2
668,8,9,6,7.67,2,2,3
669,6,10,8,8.0,2,2,3
223,7,7,9,7.67,2,3,2
670,8,9,6,7.67,2,2,3
671,5,8,7,6.67,1,2,2
672,1,8,5,4.67,1,1,2
673,4,8,3,5.0,1,1,2
674,8,9,9,8.67,2,3,3
675,4,7,3,4.67,1,1,2
676,8,9,9,8.67,2,3,3
677,3,9,7,6.33,1,2,3
678,6,7,7,6.67,2,2,2
679,8,6,7,7.0,2,2,2
680,1,7,3,3.67,1,1,2
681,6,8,4,6.0,2,1,2
682,6,7,3,5.33,2,1,2
683,4,1,9,4.67,1,3,1
684,4,8,2,4.67,1,1,2
685,8,1,2,3.67,2,1,1
686,7,4,6,5.67,2,2,1
687,7,8,7,7.33,2,2,2
688,3,7,4,4.67,1,1,2
689,1,1,5,2.33,1,1,1
690,1,9,6,5.33,1,2,3
691,3,7,6,5.33,1,2,2
692,1,10,6,5.67,1,2,3
693,5,10,4,6.33,1,1,3
694,7,9,6,7.33,2,2,3
695,8,8,2,6.0,2,1,2
696,5,6,5,5.33,1,1,2
697,8,9,7,8.0,2,2,3
698,8,8,3,6.33,2,1,2
699,4,9,6,6.33,1,2,3
700,8,9,10,9.0,2,3,3
701,8,9,5,7.33,2,1,3
702,6,2,3,3.67,2,1,1
703,8,7,4,6.33,2,1,2
704,4,8,9,7.0,1,3,2
705,5,9,7,7.0,1,2,3
706,4,9,3,5.33,1,1,3
707,6,8,10,8.0,2,3,2
708,8,5,6,6.33,2,2,1
709,1,9,4,4.67,1,1,3
710,1,8,3,4.0,1,1,2
245,8,8,3,6.33,2,1,2
711,2,8,3,4.33,1,1,2
712,4,2,5,3.67,1,1,1
713,7,9,2,6.0,2,1,3
714,2,9,8,6.33,1,2,3
715,8,5,6,6.33,2,2,1
716,10,2,3,5.0,3,1,1
717,7,7,3,5.67,2,1,2
718,6,7,1,4.67,2,1,2
719,8,8,5,7.0,2,1,2
720,9,8,7,8.0,3,2,2
721,9,7,8,8.0,3,2,2
722,7,8,3,6.0,2,1,2
723,1,10,4,5.0,1,1,3
724,4,7,3,4.67,1,1,2
725,8,1,10,6.33,2,3,1
726,7,9,2,6.0,2,1,3
727,6,7,1,4.67,2,1,2
728,7,9,7,7.67,2,2,3
729,8,7,3,6.0,2,1,2
730,7,9,3,6.33,2,1,3
731,9,6,1,5.33,3,1,2
732,3,8,4,5.0,1,1,2
733,6,1,6,4.33,2,2,1
734,7,8,8,7.67,2,2,2
735,4,6,8,6.0,1,2,2
736,8,9,5,7.33,2,1,3
737,8,6,3,5.67,2,1,2
738,6,8,10,8.0,2,3,2
739,8,10,6,8.0,2,2,3
740,10,9,6,8.33,3,2,3
741,10,6,2,6.0,3,1,2
742,8,7,8,7.67,2,2,2
743,4,2,5,3.67,1,1,1
744,1,6,3,3.33,1,1,2
745,2,6,1,3.0,1,1,2
746,2,6,6,4.67,1,2,2
747,7,6,4,5.67,2,1,2
748,8,7,5,6.67,2,1,2
749,3,5,9,5.67,1,3,1
750,2,7,4,4.33,1,1,2
751,8,8,6,7.33,2,2,2
752,8,6,2,5.33,2,1,2
753,8,8,6,7.33,2,2,2
