ticket_id,food_expense,drink_expense,merch_expense,total_spent,payment_method_id
102,13.92,51.09,49.66,114.67,1
103,34.6,40.2,64.62,139.42,2
104,9.35,10.89,64.63,84.87,2
105,13.83,35.04,63.12,111.99,2
106,22.86,55.76,75.07,153.69,1
107,22.17,23.16,95.36,140.69,2
108,21.0,17.63,42.33,80.96,1
109,35.05,2.9,98.85,136.8,2
110,13.41,33.29,98.9,145.6,2
111,26.38,57.7,4.53,88.61,1
112,37.28,20.65,35.88,93.81,2
113,25.91,19.56,84.43,129.9,1
114,13.45,41.94,78.7,134.09,2
115,5.33,44.93,62.53,112.79,1
116,43.29,26.53,98.17,167.99,2
117,34.79,3.63,8.1,46.52,2
33,18.92,3.04,27.4,49.36,2
118,44.1,14.06,43.75,101.91,2
119,39.68,12.23,43.61,95.52,2
120,29.79,1.88,88.28,119.95,1
121,17.37,26.25,85.39,129.01,2
122,44.2,47.74,90.24,182.18,2
123,9.59,59.53,42.05,111.17,2
124,44.96,55.95,82.44,183.35,2
125,31.08,9.8,56.22,97.1,1
126,0.08,57.13,18.85,76.06,2
127,31.74,37.96,13.47,83.17,2
128,16.67,15.95,53.65,86.27,2
129,4.02,34.33,45.42,83.77,1
130,6.78,12.23,41.11,60.12,2
131,44.57,19.96,29.02,93.55,2
132,35.28,45.7,60.76,141.74,2
133,47.06,32.9,82.5,162.46,2
134,18.97,32.67,27.64,79.28,2
135,34.84,31.95,48.53,115.32,2
136,36.45,1.45,61.93,99.83,1
137,28.25,46.49,93.25,167.99,2
138,4.19,16.17,68.25,88.61,2
139,43.18,53.09,97.87,194.14,2
140,18.86,10.94,39.44,69.24,2
141,16.3,33.69,24.2,74.19,3
142,33.32,58.18,90.24,181.74,2
143,39.74,41.4,46.49,127.63,2
144,49.6,9.91,89.86,149.37,1
145,44.14,47.48,96.17,187.79,2
146,47.85,59.5,47.68,155.03,2
147,1.25,38.32,83.14,122.71,1
148,24.91,2.68,83.91,111.5,1
149,43.48,1.51,24.08,69.07,2
150,35.7,47.09,85.79,168.58,2
151,43.42,7.44,24.44,75.3,2
152,6.06,38.59,7.72,52.37,1
153,28.83,37.96,89.02,155.81,2
154,48.96,48.68,73.02,170.66,2
155,11.7,38.99,80.41,131.1,2
156,44.94,52.22,86.38,183.54,2
157,31.7,1.8,3.66,37.16,2
158,7.16,1.87,67.31,76.34,1
159,17.12,1.04,35.1,53.26,1
160,23.76,44.81,32.79,101.36,2
161,28.72,26.11,28.45,83.28,3
162,26.33,57.92,36.58,120.83,2
163,2.47,54.53,44.33,101.33,1
164,12.03,21.93,87.81,121.77,1
165,24.82,3.52,67.73,96.07,2
166,8.28,1.85,36.01,46.14,2
167,28.72,45.34,1.96,76.02,1
168,3.72,32.15,53.77,89.64,2
169,37.15,26.49,9.06,72.7,1
170,0.97,2.31,45.19,48.47,2
171,20.56,51.08,69.23,140.87,2
172,13.88,31.8,9.13,54.81,2
173,0.32,7.79,18.94,27.05,2
174,5.97,46.94,21.21,74.12,2
175,45.02,4.57,33.71,83.3,2
176,43.09,38.79,54.41,136.29,1
177,47.31,35.51,44.81,127.63,2
178,9.31,20.28,16.8,46.39,2
179,34.51,45.3,5.02,84.83,2
180,10.04,43.64,42.0,95.68,1
181,36.61,49.48,18.96,105.05,2
182,15.93,35.37,88.23,139.53,2
183,26.67,0.87,32.94,60.48,1
184,44.35,2.15,28.73,75.23,2
185,37.64,1.26,1.38,40.28,1
186,32.44,4.79,45.71,82.94,1
187,24.47,36.08,51.27,111.82,2
188,22.18,40.33,87.7,150.21,1
189,4.22,53.25,81.6,139.07,2
190,39.9,38.38,81.22,159.5,1
191,20.41,55.88,53.03,129.32,1
192,6.45,21.14,23.3,50.89,2
193,36.81,40.78,7.12,84.71,2
194,6.89,6.52,73.09,86.5,1
195,7.03,12.73,20.98,40.74,2
196,20.49,18.94,80.77,120.2,2
197,41.45,44.18,86.46,172.09,2
198,43.12,7.31,73.46,123.89,2
199,34.87,49.3,29.22,113.39,2
106,28.22,22.22,75.27,125.71,2
200,13.85,12.81,15.07,41.73,1
201,23.87,29.97,86.69,140.53,1
202,40.98,55.21,84.27,180.46,2
203,15.17,56.6,62.95,134.72,2
204,29.05,10.23,80.17,119.45,1
205,29.82,33.62,66.11,129.55,1
206,35.85,2.61,61.69,100.15,2
207,36.94,21.27,53.43,111.64,1
208,44.95,28.92,44.69,118.56,1
209,20.76,51.71,56.74,129.21,2
210,10.41,18.63,1.1,30.14,2
211,35.76,59.6,95.79,191.15,1
212,44.49,31.59,20.28,96.36,2
213,14.17,5.45,7.66,27.28,2
214,19.41,30.38,78.97,128.76,2
215,33.67,22.2,22.92,78.79,2
216,19.37,10.24,86.86,116.47,1
217,49.08,57.84,71.09,178.01,1
218,45.54,32.61,71.97,150.12,2
219,29.54,10.56,65.88,105.98,2
220,48.63,36.07,83.28,167.98,2
221,9.95,13.85,61.64,85.44,1
222,10.53,20.69,44.76,75.98,2
223,37.31,49.91,2.13,89.35,1
224,15.0,8.4,75.27,98.67,2
225,48.47,28.49,76.31,153.27,3
226,9.53,51.95,36.07,97.55,2
227,6.62,48.59,58.05,113.26,2
228,5.27,55.45,95.77,156.49,1
229,49.5,3.76,8.47,61.73,2
230,37.09,42.51,51.13,130.73,2
231,36.09,5.91,27.77,69.77,1
232,38.15,28.57,35.94,102.66,2
233,16.62,25.09,56.65,98.36,1
234,24.72,34.18,88.5,147.4,1
235,1.56,21.74,7.3,30.6,2
236,32.64,43.0,73.98,149.62,1
237,30.98,32.22,51.22,114.42,1
238,11.18,43.6,74.04,128.82,2
239,49.82,12.8,48.91,111.53,1
240,23.39,34.07,94.05,151.51,1
241,31.85,53.22,7.64,92.71,2
242,40.35,17.0,67.6,124.95,2
243,19.92,12.1,13.38,45.4,1
244,1.84,57.23,51.61,110.68,2
245,8.47,1.04,56.55,66.06,2
246,2.83,21.93,23.32,48.08,2
247,19.66,15.34,74.73,109.73,2
248,47.63,22.42,77.76,147.81,1
249,31.45,19.65,14.16,65.26,2
250,2.3,53.69,54.34,110.33,2
251,23.57,4.55,31.83,59.95,1
252,28.57,17.78,74.99,121.34,2
253,25.91,56.74,58.25,140.9,2
254,1.1,38.04,0.84,39.98,2
255,22.91,36.1,78.52,137.53,1
256,42.92,57.45,42.69,143.06,2
257,19.7,22.96,39.82,82.48,2
258,40.94,19.21,32.62,92.77,1
259,35.92,45.43,98.74,180.09,2
260,16.88,46.5,15.09,78.47,1
261,16.42,23.15,81.62,121.19,2
262,21.65,46.42,51.01,119.08,1
263,29.32,32.25,50.67,112.24,2
264,31.72,58.71,19.09,109.52,2
265,37.22,29.59,77.6,144.41,1
266,30.02,49.16,20.61,99.79,2
267,48.37,34.65,3.86,86.88,1
268,34.94,57.8,74.44,167.18,2
269,47.04,47.73,14.1,108.87,2
270,14.3,0.0,19.03,33.33,1
271,23.06,52.31,83.23,158.6,2
272,45.23,4.29,14.67,64.19,2
273,2.57,45.96,0.18,48.71,2
274,18.13,39.17,25.72,83.02,1
275,47.82,9.14,79.36,136.32,2
276,35.88,6.45,94.99,137.32,1
277,5.65,51.27,27.63,84.55,1
278,46.03,13.71,88.35,148.09,1
279,47.69,25.49,20.36,93.54,2
280,0.4,13.45,78.32,92.17,3
281,45.63,36.35,78.44,160.42,1
282,42.04,27.78,37.78,107.6,2
283,34.53,0.2,92.74,127.47,2
284,6.24,4.99,2.91,14.14,1
285,45.73,43.28,69.47,158.48,2
286,7.02,4.96,41.32,53.3,2
287,16.14,7.06,86.42,109.62,2
288,28.55,57.25,0.31,86.11,2
289,29.54,56.11,53.34,138.99,2
290,31.88,42.8,68.26,142.94,2
291,32.11,11.29,53.25,96.65,2
292,27.08,54.14,7.88,89.1,2
293,28.07,31.01,56.8,115.88,1
294,30.75,1.0,71.68,103.43,2
295,32.6,54.54,82.33,169.47,2
48,10.2,51.79,65.94,127.93,2
296,25.94,49.61,29.39,104.94,1
297,32.14,26.44,41.8,100.38,2
298,43.52,27.06,16.29,86.87,1
299,27.23,15.22,83.02,125.47,2
300,20.54,13.46,63.98,97.98,1
301,29.51,3.5,79.8,112.81,2
302,2.26,40.06,42.49,84.81,1
303,17.2,28.89,52.48,98.57,1
304,26.9,20.6,69.53,117.03,2
305,29.64,51.42,15.1,96.16,1
306,15.31,16.86,23.82,55.99,2
307,15.03,25.25,31.05,71.33,2
308,15.97,42.2,50.14,108.31,2
309,8.78,31.86,29.37,70.01,2
310,20.24,3.43,11.07,34.74,2
252,35.39,14.94,70.81,121.14,2
311,17.55,4.19,33.42,55.16,2
312,43.87,49.18,37.79,130.84,1
313,16.96,48.45,85.69,151.1,2
314,0.43,27.64,35.74,63.81,2
315,12.32,13.42,62.1,87.84,1
316,33.06,57.84,90.74,181.64,2
317,19.56,11.64,70.43,101.63,2
318,5.56,45.33,54.84,105.73,2
319,10.51,44.52,86.23,141.26,2
320,46.34,13.0,72.12,131.46,2
321,11.08,4.96,85.25,101.29,2
322,18.64,30.27,40.93,89.84,2
323,1.19,24.16,40.19,65.54,2
324,36.95,0.73,33.74,71.42,1
325,36.37,14.84,88.55,139.76,1
326,21.32,33.57,96.85,151.74,1
327,10.64,28.8,54.4,93.84,1
328,26.67,59.88,55.06,141.61,2
329,9.34,39.5,0.81,49.65,1
330,8.78,17.06,71.39,97.23,1
331,28.5,44.24,42.14,114.88,2
332,31.76,40.47,7.72,79.95,1
333,4.46,2.54,62.29,69.29,1
334,45.65,6.88,16.39,68.92,1
335,16.85,58.65,45.26,120.76,2
320,33.76,23.15,42.05,98.96,2
336,44.97,35.68,27.37,108.02,1
337,35.31,14.29,92.66,142.26,2
338,10.15,27.56,92.84,130.55,1
339,15.17,39.26,68.68,123.11,2
340,40.51,43.15,63.82,147.48,1
341,34.83,6.36,63.63,104.82,2
342,32.77,52.71,52.64,138.12,1
343,40.32,17.94,22.08,80.34,2
344,23.0,27.34,60.34,110.68,2
345,13.53,11.92,67.15,92.6,2
346,37.75,28.2,34.63,100.58,2
347,40.52,52.24,36.28,129.04,1
348,39.26,54.35,58.98,152.59,2
349,34.47,24.64,87.01,146.12,2
350,40.86,2.09,93.38,136.33,1
351,26.23,27.72,47.18,101.13,2
352,3.31,34.21,9.94,47.46,2
353,35.41,43.87,42.6,121.88,2
354,7.54,15.06,4.44,27.04,1
355,38.23,19.44,56.91,114.58,2
356,48.97,20.25,26.46,95.68,1
357,20.37,57.75,92.94,171.06,1
358,49.95,32.5,60.63,143.08,1
359,23.34,6.49,80.56,110.39,2
360,42.5,30.38,60.47,133.35,1
361,8.74,48.42,85.18,142.34,2
362,43.19,27.01,98.32,168.52,2
363,5.51,3.54,11.12,20.17,1
364,34.66,34.71,26.0,95.37,2
365,21.02,10.21,39.77,71.0,1
366,49.07,37.31,91.49,177.87,2
367,15.58,8.56,29.29,53.43,1
368,29.81,56.99,62.42,149.22,2
369,4.88,20.93,77.5,103.31,3
370,35.04,23.96,55.82,114.82,2
371,1.77,14.89,96.62,113.28,2
372,48.02,5.13,95.43,148.58,2
373,39.62,44.04,59.04,142.7,2
374,28.38,7.1,48.64,84.12,1
375,47.87,5.25,77.58,130.7,1
376,33.05,6.39,49.32,88.76,1
377,12.62,14.06,87.49,114.17,2
378,6.68,55.38,20.08,82.14,1
379,40.14,23.15,82.59,145.88,2
380,13.19,11.7,23.51,48.4,1
381,44.76,35.05,38.94,118.75,2
382,19.46,9.61,86.54,115.61,1
383,29.07,27.84,17.16,74.07,2
384,36.63,21.89,2.92,61.44,2
385,45.61,23.76,7.78,77.15,2
386,20.64,39.53,37.0,97.17,2
387,17.47,27.75,97.45,142.67,2
257,13.46,28.8,9.05,51.31,2
388,34.8,27.88,97.01,159.69,1
389,7.83,54.05,96.96,158.84,2
390,47.38,24.53,8.31,80.22,1
391,49.26,25.09,59.54,133.89,1
392,29.72,16.94,37.93,84.59,2
393,23.84,20.84,67.75,112.43,3
394,47.03,24.21,47.95,119.19,2
395,9.71,12.18,85.68,107.57,2
396,5.08,42.19,9.07,56.34,2
397,47.21,27.3,32.7,107.21,2
398,34.79,46.54,14.47,95.8,2
399,1.77,43.44,69.35,114.56,2
400,1.39,19.66,53.59,74.64,2
401,48.62,41.35,63.99,153.96,2
402,6.1,59.81,98.99,164.9,2
403,29.99,52.26,47.56,129.81,2
404,28.79,57.57,79.81,166.17,2
405,0.04,23.68,76.87,100.59,1
406,49.11,11.38,12.28,72.77,1
407,14.12,34.46,51.52,100.1,1
408,41.52,37.7,50.08,129.3,1
409,17.3,1.8,98.01,117.11,2
410,2.72,17.41,96.92,117.05,2
411,32.52,47.85,93.16,173.53,2
412,1.97,16.37,73.37,91.71,2
413,2.92,23.71,85.3,111.93,2
414,44.46,50.05,12.1,106.61,1
415,1.43,28.9,36.14,66.47,2
416,14.46,46.37,75.73,136.56,1
417,41.82,8.59,84.34,134.75,2
418,42.9,18.64,7.51,69.05,2
419,40.42,8.81,63.81,113.04,2
420,35.05,26.98,25.61,87.64,1
421,49.59,23.41,76.88,149.88,2
422,48.64,48.06,42.71,139.41,3
423,37.29,48.09,6.26,91.64,1
424,28.37,40.07,17.14,85.58,1
425,28.18,23.39,71.85,123.42,2
426,25.82,55.07,61.71,142.6,1
427,31.49,52.54,32.02,116.05,2
428,6.96,6.75,71.52,85.23,1
429,18.49,34.87,77.2,130.56,2
430,36.26,46.66,1.66,84.58,2
431,13.12,38.46,33.79,85.37,2
432,12.47,52.2,30.95,95.62,2
433,40.18,12.17,29.73,82.08,1
434,43.42,43.58,40.43,127.43,2
435,15.86,34.23,11.03,61.12,3
436,43.98,1.45,49.4,94.83,1
437,31.69,8.27,97.92,137.88,1
438,3.49,14.21,36.97,54.67,2
439,16.09,34.55,30.17,80.81,2
440,23.36,8.77,23.48,55.61,2
441,18.57,47.43,4.66,70.66,1
442,23.5,13.73,15.92,53.15,1
443,13.69,13.87,91.99,119.55,2
444,21.71,4.11,91.97,117.79,2
445,28.17,32.8,38.98,99.95,2
446,1.28,12.13,98.07,111.48,1
447,22.98,51.5,4.21,78.69,1
448,27.68,48.95,45.21,121.84,2
449,43.24,18.71,99.26,161.21,2
450,36.17,18.37,62.95,117.49,2
451,21.49,43.98,26.88,92.35,2
452,1.04,41.97,77.78,120.79,2
453,9.61,0.34,52.39,62.34,1
454,30.58,57.48,11.99,100.05,1
455,7.1,29.09,41.68,77.87,2
456,24.55,39.03,36.35,99.93,1
457,2.42,28.42,15.81,46.65,1
458,8.94,40.72,2.5,52.16,2
459,18.59,10.56,33.37,62.52,2
460,37.35,15.22,73.76,126.33,2
461,13.93,43.63,32.91,90.47,3
462,38.96,29.73,11.04,79.73,2
463,17.77,26.57,50.2,94.54,2
464,6.96,14.52,80.99,102.47,1
465,49.62,48.33,35.05,133.0,2
466,11.96,53.64,14.77,80.37,3
467,43.6,37.87,54.53,136.0,2
468,28.08,18.64,68.0,114.72,2
469,14.5,47.6,52.24,114.34,1
470,23.82,9.49,17.73,51.04,1
471,18.54,46.92,8.85,74.31,2
472,40.98,55.01,99.46,195.45,2
473,2.41,9.54,17.34,29.29,2
474,35.03,27.48,0.71,63.22,2
475,28.19,38.45,57.59,124.23,2
476,0.97,12.04,61.29,74.3,2
477,36.89,26.82,37.45,101.16,2
478,36.64,11.01,41.39,89.04,2
479,8.84,24.26,40.96,74.06,1
480,30.83,16.08,49.01,95.92,2
481,35.08,36.44,70.82,142.34,3
482,18.84,11.56,15.45,45.85,2
483,32.42,44.01,68.0,144.43,1
484,1.83,42.12,54.51,98.46,2
485,36.84,29.96,6.8,73.6,2
486,39.08,43.76,3.63,86.47,2
487,12.17,38.79,89.23,140.19,3
488,8.53,44.66,18.82,72.01,2
489,12.09,19.96,65.85,97.9,1
490,16.88,53.26,82.55,152.69,2
491,25.43,19.66,84.4,129.49,2
492,12.74,33.16,45.86,91.76,1
493,7.5,2.64,30.9,41.04,1
183,48.63,30.06,88.83,167.52,2
494,33.77,58.98,7.56,100.31,2
495,23.01,3.8,18.68,45.49,2
496,32.83,42.58,69.83,145.24,1
497,21.77,54.66,88.58,165.01,1
498,21.55,55.36,2.57,79.48,2
499,2.97,9.94,3.28,16.19,3
500,28.56,38.73,1.65,68.94,2
501,6.69,35.06,55.75,97.5,2
502,47.77,40.73,80.88,169.38,2
503,37.57,34.19,55.73,127.49,2
504,21.23,42.91,37.64,101.78,2
505,18.68,16.04,64.62,99.34,2
506,48.39,49.29,54.58,152.26,1
3,44.5,30.47,32.41,107.38,2
507,49.34,17.89,20.78,88.01,1
508,12.37,27.46,9.47,49.3,2
509,48.42,36.22,47.7,132.34,2
510,44.94,6.77,83.71,135.42,2
511,15.55,59.63,23.76,98.94,1
512,23.76,9.72,9.32,42.8,2
513,20.07,22.51,80.67,123.25,2
514,49.83,45.99,29.63,125.45,2
515,31.91,1.18,22.21,55.3,2
516,46.99,47.26,10.91,105.16,1
517,1.32,10.34,58.51,70.17,2
426,25.82,47.02,72.56,145.4,2
518,23.68,12.73,66.35,102.76,2
519,3.83,17.95,13.02,34.8,2
520,43.63,54.6,49.6,147.83,2
521,29.7,49.81,76.7,156.21,2
522,30.78,37.84,78.48,147.1,2
523,5.88,26.72,81.53,114.13,1
524,18.81,29.04,52.56,100.41,3
525,28.68,30.36,60.76,119.8,2
509,0.05,48.06,44.16,92.27,1
526,9.65,10.88,14.67,35.2,1
527,14.2,57.23,2.11,73.54,1
528,33.31,36.07,50.4,119.78,2
529,2.44,38.38,27.41,68.23,2
530,32.25,46.18,6.12,84.55,1
531,40.62,6.36,32.82,79.8,2
532,14.4,0.36,14.75,29.51,2
533,48.86,26.23,66.96,142.05,2
534,41.09,15.31,40.62,97.02,2
535,9.48,4.76,95.96,110.2,2
536,15.22,29.34,19.43,63.99,1
537,33.45,19.16,27.06,79.67,1
538,48.79,27.07,75.96,151.82,2
539,4.04,41.85,83.31,129.2,1
540,2.89,18.77,89.12,110.78,2
541,38.39,7.88,29.17,75.44,2
542,5.93,8.12,27.0,41.05,2
543,14.41,3.74,70.01,88.16,2
544,30.37,3.09,96.25,129.71,2
545,45.79,49.29,16.79,111.87,1
546,3.74,11.65,32.66,48.05,2
547,26.58,38.58,38.45,103.61,2
548,23.07,18.82,85.52,127.41,1
549,14.65,44.73,59.13,118.51,1
550,39.13,54.15,6.86,100.14,1
551,3.2,20.01,45.53,68.74,2
552,44.03,23.06,10.96,78.05,1
553,38.68,41.23,69.59,149.5,2
554,15.32,9.3,3.82,28.44,2
555,15.75,33.47,30.41,79.63,2
556,44.81,56.74,25.12,126.67,2
557,9.08,9.86,59.37,78.31,2
558,47.82,26.5,67.36,141.68,1
559,48.64,8.47,81.87,138.98,2
560,27.87,41.36,69.61,138.84,2
561,14.89,14.4,67.56,96.85,2
562,23.07,56.82,80.96,160.85,2
563,2.49,59.17,56.11,117.77,2
564,25.98,44.41,48.4,118.79,2
565,17.76,40.62,90.06,148.44,1
566,25.0,41.18,21.7,87.88,2
567,46.15,28.83,82.3,157.28,1
568,19.93,34.07,87.43,141.43,1
569,21.73,25.77,83.32,130.82,1
570,47.89,36.78,73.78,158.45,2
571,47.51,52.23,63.7,163.44,1
572,36.33,48.06,91.43,175.82,1
573,24.27,32.71,61.62,118.6,1
574,16.9,12.39,67.35,96.64,1
575,1.03,35.65,69.52,106.2,2
576,8.36,58.91,63.8,131.07,2
577,15.53,22.29,87.14,124.96,1
578,46.4,1.41,29.4,77.21,3
579,7.59,21.8,84.32,113.71,1
580,20.5,31.69,73.0,125.19,2
581,26.25,11.54,92.01,129.8,1
582,36.66,41.67,80.2,158.53,2
583,16.3,59.83,40.24,116.37,3
584,6.46,4.09,45.86,56.41,2
585,44.15,9.08,24.59,77.82,2
586,30.08,2.7,32.32,65.1,2
587,23.63,37.47,3.49,64.59,3
588,36.1,39.74,2.22,78.06,2
589,36.96,28.21,9.76,74.93,2
590,20.96,50.66,49.69,121.31,1
158,7.36,33.83,77.11,118.3,2
591,26.06,25.15,14.03,65.24,2
592,48.13,54.51,79.96,182.6,2
593,42.74,41.38,35.42,119.54,2
594,30.32,24.03,87.24,141.59,1
595,29.78,9.76,12.13,51.67,1
596,21.54,20.44,82.61,124.59,2
597,28.13,44.09,74.84,147.06,2
598,21.13,5.34,24.57,51.04,2
599,9.97,27.3,54.91,92.18,2
600,10.16,11.73,34.01,55.9,2
601,33.89,58.02,38.34,130.25,1
602,17.05,40.89,88.02,145.96,2
603,48.55,35.08,87.11,170.74,2
604,41.94,24.64,20.98,87.56,2
605,12.43,7.49,22.23,42.15,3
606,5.03,53.31,34.47,92.81,1
354,43.24,19.5,94.71,157.45,1
607,14.03,31.25,79.77,125.05,2
608,1.48,5.14,77.95,84.57,2
609,44.29,19.81,74.55,138.65,1
610,34.5,5.61,6.09,46.2,1
611,13.84,45.46,51.55,110.85,2
612,27.95,52.04,10.76,90.75,1
613,29.89,9.48,70.42,109.79,2
614,23.29,37.73,62.07,123.09,2
615,47.45,26.92,52.32,126.69,2
616,37.89,49.45,44.64,131.98,2
617,32.89,50.75,88.11,171.75,2
618,13.92,33.42,84.79,132.13,2
619,38.68,47.36,32.75,118.79,2
620,40.68,38.24,47.83,126.75,2
621,37.74,21.0,40.17,98.91,2
622,4.87,57.18,85.22,147.27,2
623,31.32,59.71,38.06,129.09,1
624,38.33,43.96,20.42,102.71,2
625,20.17,24.33,72.25,116.75,2
626,47.45,13.06,46.08,106.59,2
627,24.31,57.78,59.92,142.01,1
628,46.44,38.36,51.37,136.17,2
629,3.5,50.55,11.73,65.78,2
630,17.62,13.41,22.69,53.72,1
631,49.73,19.64,15.96,85.33,2
632,3.52,42.29,83.41,129.22,2
633,31.12,47.91,1.48,80.51,2
634,34.25,49.66,73.4,157.31,2
635,16.53,19.25,65.82,101.6,1
636,26.16,49.48,81.92,157.56,2
637,31.39,24.48,70.98,126.85,1
638,35.22,14.23,92.41,141.86,1
639,6.55,32.27,12.24,51.06,1
640,25.35,35.82,18.19,79.36,2
641,27.17,9.21,20.67,57.05,3
642,12.52,42.78,51.83,107.13,2
643,20.56,29.4,3.29,53.25,2
226,19.62,36.56,20.67,76.85,3
644,23.35,29.98,57.22,110.55,1
645,8.92,58.52,24.05,91.49,2
646,24.94,13.3,27.37,65.61,2
647,34.58,25.6,64.11,124.29,2
648,16.59,6.59,1.96,25.14,1
649,10.23,9.41,4.05,23.69,1
650,38.57,44.47,99.85,182.89,3
651,4.73,27.71,21.31,53.75,2
652,15.69,41.11,98.76,155.56,2
653,5.29,52.39,35.79,93.47,2
654,47.45,43.36,34.16,124.97,2
655,36.01,52.06,40.98,129.05,2
656,37.19,33.96,16.11,87.26,2
657,48.23,40.35,5.22,93.8,2
658,49.52,42.68,11.1,103.3,2
659,25.5,52.27,47.48,125.25,2
651,38.03,24.27,58.35,120.65,2
660,24.34,11.83,32.73,68.9,2
661,26.75,13.0,5.21,44.96,2
662,22.58,10.8,61.63,95.01,1
663,26.99,10.17,82.25,119.41,2
664,44.16,25.04,30.97,100.17,1
283,39.34,15.13,40.91,95.38,2
665,39.65,38.3,59.76,137.71,1
666,47.42,42.8,73.21,163.43,2
667,29.88,57.98,7.0,94.86,2
668,0.82,48.56,99.82,149.2,2
669,49.05,49.64,89.69,188.38,2
223,3.44,26.72,98.07,128.23,2
670,7.5,1.75,46.86,56.11,2
671,27.63,24.01,38.86,90.5,2
672,39.85,5.47,4.75,50.07,1
673,7.72,1.85,49.0,58.57,2
674,11.77,11.13,25.66,48.56,2
675,16.36,20.49,46.29,83.14,2
676,4.54,31.07,61.25,96.86,3
677,26.45,9.29,34.31,70.05,2
678,9.69,20.44,41.73,71.86,2
679,16.96,53.83,0.62,71.41,2
680,2.51,49.43,34.36,86.3,2
