ticket_id,attendance_date,payment_method,food_expense,drink_expense,merch_expense,spent_that_day
36,2025-05-02,Card,48.04,32.32,44.03,124.39
37,2025-05-03,Card,9.4,36.3,28.84,74.54
38,2025-05-03,Card,41.45,7.18,26.79,75.42
39,2025-05-02,Card,48.13,38.57,17.0,103.7
40,2025-05-03,Card,30.4,8.58,7.04,46.02
41,2025-05-03,Card,36.31,4.6,67.21,108.12
42,2025-05-02,Card,29.48,8.54,20.74,58.76
43,2025-05-02,Cash,17.94,37.54,94.2,149.68
44,2025-05-02,Card,30.75,57.29,75.52,163.56
45,2025-05-02,Card,8.86,15.32,55.41,79.59
46,2025-05-01,Cash,11.37,7.41,68.27,87.05
47,2025-05-03,Card,45.53,37.76,67.23,150.52
48,2025-05-02,Cash,20.16,50.51,21.8,92.47
49,2025-05-03,Card,24.7,12.29,75.64,112.63
50,2025-05-03,Cash,36.43,39.62,55.32,131.37
51,2025-05-01,Card,31.66,29.14,91.11,151.91
52,2025-05-01,Cash,20.98,9.08,38.31,68.37
53,2025-05-03,Card,26.33,23.98,24.38,74.69
54,2025-05-01,Cash,17.69,33.3,11.93,62.92
55,2025-05-01,Card,22.48,41.08,38.64,102.2
56,2025-05-02,Card,17.01,2.72,89.26,108.99
57,2025-05-03,Cash,10.86,8.83,80.5,100.19
58,2025-05-02,Card,23.6,18.99,56.63,99.22
59,2025-05-02,Cash,38.62,11.79,29.03,79.44
60,2025-05-01,Cash,28.3,56.06,87.44,171.8
61,2025-05-01,Card,9.32,20.25,45.21,74.78
62,2025-05-01,Card,8.16,37.39,40.76,86.31
63,2025-05-01,Card,24.11,32.37,91.94,148.42
64,2025-05-03,Cash,38.44,9.57,61.3,109.31
65,2025-05-02,Card,25.86,20.18,87.82,133.86
66,2025-05-01,Card,11.53,39.17,43.22,93.92
67,2025-05-01,Card,30.81,46.19,30.87,107.87
68,2025-05-02,Cash,40.19,4.99,0.86,46.04
69,2025-05-01,Card,3.53,41.61,48.28,93.42
70,2025-05-02,Card,34.61,1.3,35.53,71.44
71,2025-05-02,Card,14.69,58.81,8.94,82.44
72,2025-05-03,Card,34.34,42.87,97.75,174.96
73,2025-05-03,Card,13.83,10.65,52.62,77.1
74,2025-05-01,Cash,7.12,38.98,9.49,55.59
75,2025-05-01,Card,40.34,13.05,43.75,97.14
76,2025-05-01,Card,3.74,12.0,81.99,97.73
77,2025-05-01,Card,45.7,17.97,22.74,86.41
78,2025-05-01,Card,35.81,53.67,65.75,155.23
79,2025-05-01,Card,40.8,39.59,87.04,167.43
80,2025-05-02,Card,28.93,9.91,37.87,76.71
81,2025-05-01,Festival App,41.66,55.92,81.8,179.38
82,2025-05-02,Card,15.57,25.26,72.62,113.45
83,2025-05-03,Card,6.66,51.67,36.98,95.31
84,2025-05-02,Cash,39.98,56.54,74.5,171.02
85,2025-05-03,Card,0.24,26.48,88.36,115.08
86,2025-05-03,Card,45.15,37.9,57.71,140.76
87,2025-05-01,Card,31.1,33.72,69.22,134.04
88,2025-05-01,Cash,28.16,25.68,9.49,63.33
89,2025-05-01,Cash,17.52,46.02,32.47,96.01
90,2025-05-03,Cash,1.35,25.64,89.19,116.18
91,2025-05-02,Card,10.44,54.18,93.91,158.53
92,2025-05-02,Card,48.78,32.13,74.3,155.21
93,2025-05-03,Card,33.62,48.08,73.73,155.43
94,2025-05-03,Card,40.69,19.27,49.9,109.86
95,2025-05-02,Card,42.9,6.47,57.95,107.32
96,2025-05-03,Card,9.45,22.73,26.16,58.34
97,2025-05-01,Cash,14.79,57.34,23.76,95.89
98,2025-05-01,Cash,6.48,1.65,56.18,64.31
99,2025-05-02,Cash,31.9,36.37,44.94,113.21
100,2025-05-02,Card,6.82,25.37,35.24,67.43
101,2025-05-01,Card,48.01,47.34,33.23,128.58
102,2025-05-01,Card,13.92,51.09,49.66,114.67
103,2025-05-01,Cash,34.6,40.2,64.62,139.42
104,2025-05-03,Card,9.35,10.89,64.63,84.87
105,2025-05-01,Card,13.83,35.04,63.12,111.99
106,2025-05-02,Card,22.86,55.76,75.07,153.69
107,2025-05-01,Cash,22.17,23.16,95.36,140.69
108,2025-05-02,Cash,21.0,17.63,42.33,80.96
109,2025-05-02,Festival App,35.05,2.9,98.85,136.8
110,2025-05-02,Card,13.41,33.29,98.9,145.6
111,2025-05-03,Card,26.38,57.7,4.53,88.61
112,2025-05-02,Card,37.28,20.65,35.88,93.81
113,2025-05-01,Card,25.91,19.56,84.43,129.9
114,2025-05-01,Cash,13.45,41.94,78.7,134.09
115,2025-05-01,Cash,5.33,44.93,62.53,112.79
116,2025-05-03,Card,43.29,26.53,98.17,167.99
117,2025-05-02,Cash,34.79,3.63,8.1,46.52
33,2025-05-03,Card,18.92,3.04,27.4,49.36
118,2025-05-03,Card,44.1,14.06,43.75,101.91
119,2025-05-03,Card,39.68,12.23,43.61,95.52
120,2025-05-03,Card,29.79,1.88,88.28,119.95
121,2025-05-01,Cash,17.37,26.25,85.39,129.01
122,2025-05-03,Cash,44.2,47.74,90.24,182.18
123,2025-05-03,Card,9.59,59.53,42.05,111.17
124,2025-05-03,Card,44.96,55.95,82.44,183.35
125,2025-05-03,Cash,31.08,9.8,56.22,97.1
126,2025-05-02,Card,0.08,57.13,18.85,76.06
127,2025-05-03,Cash,31.74,37.96,13.47,83.17
128,2025-05-02,Festival App,16.67,15.95,53.65,86.27
129,2025-05-03,Card,4.02,34.33,45.42,83.77
130,2025-05-03,Card,6.78,12.23,41.11,60.12
131,2025-05-03,Card,44.57,19.96,29.02,93.55
132,2025-05-02,Card,35.28,45.7,60.76,141.74
133,2025-05-01,Card,47.06,32.9,82.5,162.46
134,2025-05-02,Card,18.97,32.67,27.64,79.28
135,2025-05-03,Cash,34.84,31.95,48.53,115.32
136,2025-05-01,Cash,36.45,1.45,61.93,99.83
137,2025-05-02,Card,28.25,46.49,93.25,167.99
138,2025-05-02,Card,4.19,16.17,68.25,88.61
139,2025-05-02,Cash,43.18,53.09,97.87,194.14
140,2025-05-02,Cash,18.86,10.94,39.44,69.24
141,2025-05-03,Card,16.3,33.69,24.2,74.19
142,2025-05-02,Card,33.32,58.18,90.24,181.74
143,2025-05-03,Cash,39.74,41.4,46.49,127.63
144,2025-05-03,Card,49.6,9.91,89.86,149.37
145,2025-05-01,Cash,44.14,47.48,96.17,187.79
146,2025-05-02,Card,47.85,59.5,47.68,155.03
147,2025-05-03,Card,1.25,38.32,83.14,122.71
148,2025-05-01,Card,24.91,2.68,83.91,111.5
149,2025-05-03,Card,43.48,1.51,24.08,69.07
150,2025-05-03,Card,35.7,47.09,85.79,168.58
151,2025-05-02,Card,43.42,7.44,24.44,75.3
152,2025-05-03,Card,6.06,38.59,7.72,52.37
153,2025-05-02,Cash,28.83,37.96,89.02,155.81
154,2025-05-03,Card,48.96,48.68,73.02,170.66
155,2025-05-01,Card,11.7,38.99,80.41,131.1
156,2025-05-03,Card,44.94,52.22,86.38,183.54
157,2025-05-01,Card,31.7,1.8,3.66,37.16
158,2025-05-01,Card,7.16,1.87,67.31,76.34
159,2025-05-02,Card,17.12,1.04,35.1,53.26
160,2025-05-03,Card,23.76,44.81,32.79,101.36
161,2025-05-01,Cash,28.72,26.11,28.45,83.28
162,2025-05-03,Card,26.33,57.92,36.58,120.83
163,2025-05-02,Card,2.47,54.53,44.33,101.33
164,2025-05-02,Festival App,12.03,21.93,87.81,121.77
165,2025-05-01,Card,24.82,3.52,67.73,96.07
166,2025-05-01,Card,8.28,1.85,36.01,46.14
167,2025-05-02,Cash,28.72,45.34,1.96,76.02
168,2025-05-01,Cash,3.72,32.15,53.77,89.64
169,2025-05-03,Card,37.15,26.49,9.06,72.7
170,2025-05-02,Cash,0.97,2.31,45.19,48.47
171,2025-05-02,Cash,20.56,51.08,69.23,140.87
172,2025-05-02,Card,13.88,31.8,9.13,54.81
173,2025-05-03,Cash,0.32,7.79,18.94,27.05
174,2025-05-03,Card,5.97,46.94,21.21,74.12
175,2025-05-03,Card,45.02,4.57,33.71,83.3
176,2025-05-01,Card,43.09,38.79,54.41,136.29
177,2025-05-03,Card,47.31,35.51,44.81,127.63
178,2025-05-01,Card,9.31,20.28,16.8,46.39
179,2025-05-03,Card,34.51,45.3,5.02,84.83
180,2025-05-02,Card,10.04,43.64,42.0,95.68
181,2025-05-02,Cash,36.61,49.48,18.96,105.05
182,2025-05-02,Festival App,15.93,35.37,88.23,139.53
183,2025-05-03,Card,26.67,0.87,32.94,60.48
184,2025-05-02,Cash,44.35,2.15,28.73,75.23
185,2025-05-03,Card,37.64,1.26,1.38,40.28
186,2025-05-02,Card,32.44,4.79,45.71,82.94
187,2025-05-03,Cash,24.47,36.08,51.27,111.82
188,2025-05-03,Card,22.18,40.33,87.7,150.21
189,2025-05-02,Card,4.22,53.25,81.6,139.07
190,2025-05-01,Festival App,39.9,38.38,81.22,159.5
191,2025-05-01,Card,20.41,55.88,53.03,129.32
192,2025-05-03,Card,6.45,21.14,23.3,50.89
193,2025-05-01,Cash,36.81,40.78,7.12,84.71
194,2025-05-02,Card,6.89,6.52,73.09,86.5
195,2025-05-01,Card,7.03,12.73,20.98,40.74
196,2025-05-02,Card,20.49,18.94,80.77,120.2
197,2025-05-03,Cash,41.45,44.18,86.46,172.09
198,2025-05-02,Cash,43.12,7.31,73.46,123.89
199,2025-05-03,Cash,34.87,49.3,29.22,113.39
106,2025-05-03,Card,28.22,22.22,75.27,125.71
200,2025-05-02,Card,13.85,12.81,15.07,41.73
201,2025-05-02,Festival App,23.87,29.97,86.69,140.53
202,2025-05-01,Card,40.98,55.21,84.27,180.46
203,2025-05-02,Cash,15.17,56.6,62.95,134.72
204,2025-05-01,Card,29.05,10.23,80.17,119.45
205,2025-05-02,Card,29.82,33.62,66.11,129.55
206,2025-05-01,Cash,35.85,2.61,61.69,100.15
207,2025-05-02,Card,36.94,21.27,53.43,111.64
208,2025-05-02,Card,44.95,28.92,44.69,118.56
209,2025-05-01,Card,20.76,51.71,56.74,129.21
210,2025-05-01,Card,10.41,18.63,1.1,30.14
211,2025-05-01,Card,35.76,59.6,95.79,191.15
212,2025-05-03,Card,44.49,31.59,20.28,96.36
213,2025-05-03,Cash,14.17,5.45,7.66,27.28
214,2025-05-02,Card,19.41,30.38,78.97,128.76
215,2025-05-02,Card,33.67,22.2,22.92,78.79
216,2025-05-03,Card,19.37,10.24,86.86,116.47
217,2025-05-02,Card,49.08,57.84,71.09,178.01
218,2025-05-01,Card,45.54,32.61,71.97,150.12
219,2025-05-03,Card,29.54,10.56,65.88,105.98
220,2025-05-01,Cash,48.63,36.07,83.28,167.98
221,2025-05-01,Cash,9.95,13.85,61.64,85.44
222,2025-05-01,Cash,10.53,20.69,44.76,75.98
223,2025-05-01,Card,37.31,49.91,2.13,89.35
224,2025-05-03,Cash,15.0,8.4,75.27,98.67
225,2025-05-02,Card,48.47,28.49,76.31,153.27
226,2025-05-03,Card,9.53,51.95,36.07,97.55
227,2025-05-03,Cash,6.62,48.59,58.05,113.26
228,2025-05-02,Card,5.27,55.45,95.77,156.49
229,2025-05-02,Card,49.5,3.76,8.47,61.73
230,2025-05-01,Card,37.09,42.51,51.13,130.73
231,2025-05-03,Card,36.09,5.91,27.77,69.77
232,2025-05-03,Card,38.15,28.57,35.94,102.66
233,2025-05-01,Card,16.62,25.09,56.65,98.36
234,2025-05-02,Card,24.72,34.18,88.5,147.4
235,2025-05-03,Card,1.56,21.74,7.3,30.6
236,2025-05-01,Cash,32.64,43.0,73.98,149.62
237,2025-05-03,Card,30.98,32.22,51.22,114.42
238,2025-05-01,Card,11.18,43.6,74.04,128.82
239,2025-05-02,Card,49.82,12.8,48.91,111.53
240,2025-05-03,Card,23.39,34.07,94.05,151.51
241,2025-05-03,Card,31.85,53.22,7.64,92.71
242,2025-05-01,Card,40.35,17.0,67.6,124.95
243,2025-05-02,Cash,19.92,12.1,13.38,45.4
244,2025-05-03,Card,1.84,57.23,51.61,110.68
245,2025-05-02,Cash,8.47,1.04,56.55,66.06
246,2025-05-02,Card,2.83,21.93,23.32,48.08
247,2025-05-01,Card,19.66,15.34,74.73,109.73
248,2025-05-02,Festival App,47.63,22.42,77.76,147.81
249,2025-05-01,Card,31.45,19.65,14.16,65.26
250,2025-05-01,Cash,2.3,53.69,54.34,110.33
251,2025-05-03,Cash,23.57,4.55,31.83,59.95
252,2025-05-03,Card,28.57,17.78,74.99,121.34
253,2025-05-02,Card,25.91,56.74,58.25,140.9
254,2025-05-03,Cash,1.1,38.04,0.84,39.98
255,2025-05-02,Cash,22.91,36.1,78.52,137.53
256,2025-05-01,Card,42.92,57.45,42.69,143.06
257,2025-05-01,Card,19.7,22.96,39.82,82.48
258,2025-05-03,Card,40.94,19.21,32.62,92.77
259,2025-05-01,Cash,35.92,45.43,98.74,180.09
260,2025-05-03,Card,16.88,46.5,15.09,78.47
261,2025-05-03,Cash,16.42,23.15,81.62,121.19
262,2025-05-02,Card,21.65,46.42,51.01,119.08
263,2025-05-02,Card,29.32,32.25,50.67,112.24
264,2025-05-02,Card,31.72,58.71,19.09,109.52
265,2025-05-01,Card,37.22,29.59,77.6,144.41
266,2025-05-03,Card,30.02,49.16,20.61,99.79
267,2025-05-02,Card,48.37,34.65,3.86,86.88
268,2025-05-02,Card,34.94,57.8,74.44,167.18
269,2025-05-02,Card,47.04,47.73,14.1,108.87
270,2025-05-01,Festival App,14.3,0.0,19.03,33.33
271,2025-05-01,Cash,23.06,52.31,83.23,158.6
272,2025-05-02,Card,45.23,4.29,14.67,64.19
273,2025-05-01,Card,2.57,45.96,0.18,48.71
274,2025-05-01,Card,18.13,39.17,25.72,83.02
275,2025-05-01,Cash,47.82,9.14,79.36,136.32
276,2025-05-01,Card,35.88,6.45,94.99,137.32
277,2025-05-02,Card,5.65,51.27,27.63,84.55
278,2025-05-03,Cash,46.03,13.71,88.35,148.09
279,2025-05-03,Cash,47.69,25.49,20.36,93.54
280,2025-05-03,Card,0.4,13.45,78.32,92.17
281,2025-05-02,Card,45.63,36.35,78.44,160.42
282,2025-05-01,Card,42.04,27.78,37.78,107.6
283,2025-05-02,Festival App,34.53,0.2,92.74,127.47
284,2025-05-03,Card,6.24,4.99,2.91,14.14
285,2025-05-03,Card,45.73,43.28,69.47,158.48
286,2025-05-02,Card,7.02,4.96,41.32,53.3
287,2025-05-03,Cash,16.14,7.06,86.42,109.62
288,2025-05-03,Card,28.55,57.25,0.31,86.11
289,2025-05-02,Festival App,29.54,56.11,53.34,138.99
290,2025-05-03,Card,31.88,42.8,68.26,142.94
291,2025-05-01,Cash,32.11,11.29,53.25,96.65
292,2025-05-01,Card,27.08,54.14,7.88,89.1
293,2025-05-02,Cash,28.07,31.01,56.8,115.88
294,2025-05-01,Card,30.75,1.0,71.68,103.43
295,2025-05-01,Card,32.6,54.54,82.33,169.47
48,2025-05-01,Card,10.2,51.79,65.94,127.93
296,2025-05-03,Card,25.94,49.61,29.39,104.94
297,2025-05-01,Card,32.14,26.44,41.8,100.38
298,2025-05-03,Card,43.52,27.06,16.29,86.87
299,2025-05-01,Cash,27.23,15.22,83.02,125.47
300,2025-05-03,Card,20.54,13.46,63.98,97.98
301,2025-05-03,Cash,29.51,3.5,79.8,112.81
302,2025-05-01,Card,2.26,40.06,42.49,84.81
303,2025-05-03,Card,17.2,28.89,52.48,98.57
304,2025-05-02,Card,26.9,20.6,69.53,117.03
305,2025-05-02,Card,29.64,51.42,15.1,96.16
306,2025-05-02,Card,15.31,16.86,23.82,55.99
307,2025-05-03,Card,15.03,25.25,31.05,71.33
308,2025-05-03,Card,15.97,42.2,50.14,108.31
309,2025-05-03,Card,8.78,31.86,29.37,70.01
310,2025-05-03,Card,20.24,3.43,11.07,34.74
252,2025-05-02,Card,35.39,14.94,70.81,121.14
311,2025-05-03,Card,17.55,4.19,33.42,55.16
312,2025-05-03,Cash,43.87,49.18,37.79,130.84
313,2025-05-01,Cash,16.96,48.45,85.69,151.1
314,2025-05-02,Cash,0.43,27.64,35.74,63.81
315,2025-05-02,Card,12.32,13.42,62.1,87.84
316,2025-05-02,Card,33.06,57.84,90.74,181.64
317,2025-05-01,Card,19.56,11.64,70.43,101.63
318,2025-05-01,Card,5.56,45.33,54.84,105.73
319,2025-05-01,Festival App,10.51,44.52,86.23,141.26
320,2025-05-03,Card,46.34,13.0,72.12,131.46
321,2025-05-01,Card,11.08,4.96,85.25,101.29
322,2025-05-03,Card,18.64,30.27,40.93,89.84
323,2025-05-03,Card,1.19,24.16,40.19,65.54
324,2025-05-02,Card,36.95,0.73,33.74,71.42
325,2025-05-02,Card,36.37,14.84,88.55,139.76
326,2025-05-03,Card,21.32,33.57,96.85,151.74
327,2025-05-03,Card,10.64,28.8,54.4,93.84
328,2025-05-02,Card,26.67,59.88,55.06,141.61
329,2025-05-02,Card,9.34,39.5,0.81,49.65
330,2025-05-02,Card,8.78,17.06,71.39,97.23
331,2025-05-01,Cash,28.5,44.24,42.14,114.88
332,2025-05-03,Cash,31.76,40.47,7.72,79.95
333,2025-05-03,Card,4.46,2.54,62.29,69.29
334,2025-05-02,Card,45.65,6.88,16.39,68.92
335,2025-05-02,Card,16.85,58.65,45.26,120.76
320,2025-05-02,Card,33.76,23.15,42.05,98.96
336,2025-05-01,Cash,44.97,35.68,27.37,108.02
337,2025-05-03,Card,35.31,14.29,92.66,142.26
338,2025-05-03,Card,10.15,27.56,92.84,130.55
339,2025-05-02,Cash,15.17,39.26,68.68,123.11
340,2025-05-01,Card,40.51,43.15,63.82,147.48
341,2025-05-01,Card,34.83,6.36,63.63,104.82
342,2025-05-02,Card,32.77,52.71,52.64,138.12
343,2025-05-01,Card,40.32,17.94,22.08,80.34
344,2025-05-03,Card,23.0,27.34,60.34,110.68
345,2025-05-02,Cash,13.53,11.92,67.15,92.6
346,2025-05-03,Card,37.75,28.2,34.63,100.58
347,2025-05-03,Card,40.52,52.24,36.28,129.04
348,2025-05-03,Card,39.26,54.35,58.98,152.59
349,2025-05-03,Festival App,34.47,24.64,87.01,146.12
350,2025-05-02,Card,40.86,2.09,93.38,136.33
351,2025-05-03,Card,26.23,27.72,47.18,101.13
352,2025-05-03,Card,3.31,34.21,9.94,47.46
353,2025-05-03,Cash,35.41,43.87,42.6,121.88
354,2025-05-02,Cash,7.54,15.06,4.44,27.04
355,2025-05-02,Card,38.23,19.44,56.91,114.58
356,2025-05-02,Card,48.97,20.25,26.46,95.68
357,2025-05-03,Cash,20.37,57.75,92.94,171.06
358,2025-05-02,Cash,49.95,32.5,60.63,143.08
359,2025-05-03,Cash,23.34,6.49,80.56,110.39
360,2025-05-02,Cash,42.5,30.38,60.47,133.35
361,2025-05-03,Card,8.74,48.42,85.18,142.34
362,2025-05-01,Card,43.19,27.01,98.32,168.52
363,2025-05-01,Card,5.51,3.54,11.12,20.17
364,2025-05-03,Card,34.66,34.71,26.0,95.37
365,2025-05-01,Card,21.02,10.21,39.77,71.0
366,2025-05-01,Card,49.07,37.31,91.49,177.87
367,2025-05-01,Festival App,15.58,8.56,29.29,53.43
368,2025-05-03,Festival App,29.81,56.99,62.42,149.22
369,2025-05-03,Cash,4.88,20.93,77.5,103.31
370,2025-05-03,Card,35.04,23.96,55.82,114.82
371,2025-05-02,Card,1.77,14.89,96.62,113.28
372,2025-05-02,Cash,48.02,5.13,95.43,148.58
373,2025-05-03,Card,39.62,44.04,59.04,142.7
374,2025-05-03,Card,28.38,7.1,48.64,84.12
375,2025-05-01,Card,47.87,5.25,77.58,130.7
376,2025-05-01,Cash,33.05,6.39,49.32,88.76
377,2025-05-01,Card,12.62,14.06,87.49,114.17
378,2025-05-01,Card,6.68,55.38,20.08,82.14
379,2025-05-02,Card,40.14,23.15,82.59,145.88
380,2025-05-02,Card,13.19,11.7,23.51,48.4
381,2025-05-01,Card,44.76,35.05,38.94,118.75
382,2025-05-02,Cash,19.46,9.61,86.54,115.61
383,2025-05-02,Cash,29.07,27.84,17.16,74.07
384,2025-05-01,Festival App,36.63,21.89,2.92,61.44
385,2025-05-01,Cash,45.61,23.76,7.78,77.15
386,2025-05-03,Card,20.64,39.53,37.0,97.17
387,2025-05-01,Card,17.47,27.75,97.45,142.67
257,2025-05-02,Card,13.46,28.8,9.05,51.31
388,2025-05-03,Cash,34.8,27.88,97.01,159.69
389,2025-05-01,Cash,7.83,54.05,96.96,158.84
390,2025-05-01,Card,47.38,24.53,8.31,80.22
391,2025-05-01,Cash,49.26,25.09,59.54,133.89
392,2025-05-03,Card,29.72,16.94,37.93,84.59
393,2025-05-03,Card,23.84,20.84,67.75,112.43
394,2025-05-03,Card,47.03,24.21,47.95,119.19
395,2025-05-02,Cash,9.71,12.18,85.68,107.57
396,2025-05-01,Festival App,5.08,42.19,9.07,56.34
397,2025-05-01,Card,47.21,27.3,32.7,107.21
398,2025-05-02,Cash,34.79,46.54,14.47,95.8
399,2025-05-02,Card,1.77,43.44,69.35,114.56
400,2025-05-03,Card,1.39,19.66,53.59,74.64
401,2025-05-03,Card,48.62,41.35,63.99,153.96
402,2025-05-03,Cash,6.1,59.81,98.99,164.9
403,2025-05-02,Card,29.99,52.26,47.56,129.81
404,2025-05-01,Festival App,28.79,57.57,79.81,166.17
405,2025-05-02,Cash,0.04,23.68,76.87,100.59
406,2025-05-02,Card,49.11,11.38,12.28,72.77
407,2025-05-03,Card,14.12,34.46,51.52,100.1
408,2025-05-03,Card,41.52,37.7,50.08,129.3
409,2025-05-03,Card,17.3,1.8,98.01,117.11
410,2025-05-02,Card,2.72,17.41,96.92,117.05
411,2025-05-02,Card,32.52,47.85,93.16,173.53
412,2025-05-02,Festival App,1.97,16.37,73.37,91.71
413,2025-05-02,Card,2.92,23.71,85.3,111.93
414,2025-05-02,Card,44.46,50.05,12.1,106.61
415,2025-05-01,Cash,1.43,28.9,36.14,66.47
416,2025-05-01,Card,14.46,46.37,75.73,136.56
417,2025-05-01,Card,41.82,8.59,84.34,134.75
418,2025-05-02,Card,42.9,18.64,7.51,69.05
419,2025-05-02,Cash,40.42,8.81,63.81,113.04
420,2025-05-02,Card,35.05,26.98,25.61,87.64
421,2025-05-02,Card,49.59,23.41,76.88,149.88
422,2025-05-03,Card,48.64,48.06,42.71,139.41
423,2025-05-03,Card,37.29,48.09,6.26,91.64
424,2025-05-01,Card,28.37,40.07,17.14,85.58
425,2025-05-02,Card,28.18,23.39,71.85,123.42
426,2025-05-03,Cash,25.82,55.07,61.71,142.6
427,2025-05-02,Card,31.49,52.54,32.02,116.05
428,2025-05-01,Card,6.96,6.75,71.52,85.23
429,2025-05-03,Card,18.49,34.87,77.2,130.56
430,2025-05-02,Card,36.26,46.66,1.66,84.58
431,2025-05-03,Cash,13.12,38.46,33.79,85.37
432,2025-05-01,Cash,12.47,52.2,30.95,95.62
433,2025-05-02,Card,40.18,12.17,29.73,82.08
434,2025-05-03,Cash,43.42,43.58,40.43,127.43
435,2025-05-02,Cash,15.86,34.23,11.03,61.12
436,2025-05-02,Cash,43.98,1.45,49.4,94.83
437,2025-05-03,Festival App,31.69,8.27,97.92,137.88
438,2025-05-01,Cash,3.49,14.21,36.97,54.67
439,2025-05-03,Festival App,16.09,34.55,30.17,80.81
440,2025-05-03,Cash,23.36,8.77,23.48,55.61
441,2025-05-01,Card,18.57,47.43,4.66,70.66
442,2025-05-01,Cash,23.5,13.73,15.92,53.15
443,2025-05-01,Card,13.69,13.87,91.99,119.55
444,2025-05-01,Card,21.71,4.11,91.97,117.79
445,2025-05-03,Card,28.17,32.8,38.98,99.95
446,2025-05-03,Card,1.28,12.13,98.07,111.48
447,2025-05-03,Festival App,22.98,51.5,4.21,78.69
448,2025-05-01,Festival App,27.68,48.95,45.21,121.84
449,2025-05-03,Card,43.24,18.71,99.26,161.21
450,2025-05-01,Card,36.17,18.37,62.95,117.49
451,2025-05-02,Festival App,21.49,43.98,26.88,92.35
452,2025-05-03,Cash,1.04,41.97,77.78,120.79
453,2025-05-03,Card,9.61,0.34,52.39,62.34
454,2025-05-03,Card,30.58,57.48,11.99,100.05
455,2025-05-01,Card,7.1,29.09,41.68,77.87
456,2025-05-03,Card,24.55,39.03,36.35,99.93
457,2025-05-02,Cash,2.42,28.42,15.81,46.65
458,2025-05-01,Cash,8.94,40.72,2.5,52.16
459,2025-05-03,Cash,18.59,10.56,33.37,62.52
460,2025-05-01,Card,37.35,15.22,73.76,126.33
461,2025-05-03,Card,13.93,43.63,32.91,90.47
462,2025-05-03,Card,38.96,29.73,11.04,79.73
463,2025-05-01,Card,17.77,26.57,50.2,94.54
464,2025-05-01,Card,6.96,14.52,80.99,102.47
465,2025-05-03,Card,49.62,48.33,35.05,133.0
466,2025-05-02,Card,11.96,53.64,14.77,80.37
467,2025-05-01,Card,43.6,37.87,54.53,136.0
468,2025-05-01,Card,28.08,18.64,68.0,114.72
469,2025-05-01,Card,14.5,47.6,52.24,114.34
470,2025-05-03,Cash,23.82,9.49,17.73,51.04
471,2025-05-03,Card,18.54,46.92,8.85,74.31
472,2025-05-03,Festival App,40.98,55.01,99.46,195.45
473,2025-05-01,Card,2.41,9.54,17.34,29.29
474,2025-05-03,Card,35.03,27.48,0.71,63.22
475,2025-05-02,Card,28.19,38.45,57.59,124.23
476,2025-05-02,Card,0.97,12.04,61.29,74.3
477,2025-05-02,Card,36.89,26.82,37.45,101.16
478,2025-05-01,Cash,36.64,11.01,41.39,89.04
479,2025-05-03,Cash,8.84,24.26,40.96,74.06
480,2025-05-03,Cash,30.83,16.08,49.01,95.92
481,2025-05-01,Cash,35.08,36.44,70.82,142.34
482,2025-05-03,Card,18.84,11.56,15.45,45.85
483,2025-05-02,Card,32.42,44.01,68.0,144.43
484,2025-05-01,Card,1.83,42.12,54.51,98.46
