ticket_id,gender,age,age_group,group_size,group_type,ticket_type,is_multiday,favourite_genre,recommend_to_friend
107,Female,22,18-24,4,Group,VIP,True,Hip-Hop,True
108,Female,23,18-24,5,Group,3-day Pass,True,Rock,True
109,Male,19,18-24,2,Couple,3-day Pass,True,Rock,True
110,Female,18,18-24,5,Group,3-day Pass,True,Reggaeton,True
111,Female,23,18-24,3,Group,3-day Pass,True,Reggaeton,False
112,Female,18,18-24,5,Group,3-day Pass,True,Pop,True
113,Male,28,25-34,2,Couple,VIP,True,Rock,True
114,Female,26,25-34,4,Group,3-day Pass,True,Rock,True
115,Female,30,25-34,4,Group,VIP,True,Hip-Hop,False
116,Male,18,18-24,4,Group,3-day Pass,True,Hip-Hop,False
117,Male,19,18-24,3,Group,VIP,True,Rock,False
118,Female,23,18-24,1,Individual,3-day Pass,True,Hip-Hop,True
119,Female,28,25-34,4,Group,1-day Pass,False,Reggaeton,True
120,Female,25,25-34,3,Group,VIP,True,Pop,False
121,Female,26,25-34,3,Group,1-day Pass,False,Reggaeton,False
122,Male,19,18-24,3,Group,VIP,True,Reggaeton,True
123,Other,29,25-34,3,Group,3-day Pass,True,Pop,False
124,Male,33,25-34,4,Group,1-day Pass,False,Rock,False
125,Female,29,25-34,2,Couple,3-day Pass,True,Electronic,True
126,Female,26,25-34,4,Group,3-day Pass,True,Electronic,True
127,Female,18,18-24,5,Group,3-day Pass,True,Rock,True
128,Female,22,18-24,2,Couple,3-day Pass,True,Rock,True
129,Male,26,25-34,1,Individual,3-day Pass,True,Rock,False
130,Female,25,25-34,5,Group,3-day Pass,True,Rock,False
131,Female,29,25-34,3,Group,1-day Pass,False,Rock,True
132,Male,26,25-34,3,Group,1-day Pass,False,Rock,True
133,Female,20,18-24,3,Group,3-day Pass,True,Rock,False
134,Male,28,25-34,4,Group,3-day Pass,True,Electronic,True
135,Female,29,25-34,2,Couple,3-day Pass,True,Hip-Hop,True
136,Female,28,25-34,5,Group,3-day Pass,True,Rock,True
137,Female,27,25-34,3,Group,3-day Pass,True,Electronic,True
138,Female,31,25-34,2,Couple,3-day Pass,True,Hip-Hop,False
139,Female,25,25-34,4,Group,3-day Pass,True,Rock,True
140,Female,26,25-34,5,Group,3-day Pass,True,Rock,True
141,Male,29,25-34,1,Individual,1-day Pass,False,Rock,False
142,Female,20,18-24,4,Group,3-day Pass,True,Reggaeton,True
143,Female,28,25-34,1,Individual,3-day Pass,True,Rock,True
144,Male,24,18-24,4,Group,VIP,True,Pop,True
145,Female,18,18-24,5,Group,VIP,True,Rock,True
146,Male,31,25-34,2,Couple,3-day Pass,True,Hip-Hop,True
147,Female,25,25-34,5,Group,VIP,True,Hip-Hop,True
148,Female,30,25-34,5,Group,3-day Pass,True,Electronic,True
149,Female,22,18-24,3,Group,VIP,True,Hip-Hop,False
150,Female,29,25-34,5,Group,3-day Pass,True,Pop,False
151,Female,18,18-24,4,Group,1-day Pass,False,Rock,True
152,Female,25,25-34,5,Group,1-day Pass,False,Rock,True
153,Other,29,25-34,3,Group,3-day Pass,True,Rock,True
154,Male,25,25-34,5,Group,1-day Pass,False,Hip-Hop,True
155,Female,24,18-24,3,Group,3-day Pass,True,Electronic,True
156,Other,24,18-24,5,Group,1-day Pass,False,Pop,True
157,Male,29,25-34,5,Group,VIP,True,Hip-Hop,False
158,Male,28,25-34,3,Group,3-day Pass,True,Reggaeton,True
159,Female,26,25-34,3,Group,3-day Pass,True,Reggaeton,False
160,Female,26,25-34,4,Group,VIP,True,Hip-Hop,True
161,Male,27,25-34,3,Group,VIP,True,Rock,True
162,Female,30,25-34,2,Couple,3-day Pass,True,Rock,True
163,Other,27,25-34,3,Group,3-day Pass,True,Rock,True
164,Male,18,18-24,3,Group,VIP,True,Rock,True
165,Female,24,18-24,2,Couple,1-day Pass,False,Pop,False
166,Female,23,18-24,5,Group,3-day Pass,True,Rock,True
167,Male,23,18-24,4,Group,1-day Pass,False,Hip-Hop,True
168,Male,30,25-34,2,Couple,3-day Pass,True,Rock,True
169,Male,18,18-24,4,Group,3-day Pass,True,Rock,True
170,Male,25,25-34,3,Group,3-day Pass,True,Rock,False
171,Male,30,25-34,4,Group,VIP,True,Pop,False
172,Female,29,25-34,4,Group,1-day Pass,False,Electronic,True
173,Male,26,25-34,2,Couple,3-day Pass,True,Rock,True
174,Male,18,18-24,5,Group,3-day Pass,True,Rock,False
175,Male,18,18-24,5,Group,VIP,True,Electronic,True
176,Female,30,25-34,4,Group,VIP,True,Pop,True
177,Male,29,25-34,2,Couple,3-day Pass,True,Pop,True
178,Male,25,25-34,3,Group,3-day Pass,True,Pop,True
179,Female,21,18-24,1,Individual,VIP,True,Electronic,True
180,Male,33,25-34,4,Group,1-day Pass,False,Pop,True
181,Female,18,18-24,2,Couple,3-day Pass,True,Rock,True
182,Female,18,18-24,4,Group,3-day Pass,True,Rock,False
183,Male,23,18-24,5,Group,3-day Pass,True,Rock,True
184,Female,22,18-24,1,Individual,1-day Pass,False,Hip-Hop,False
185,Male,25,25-34,3,Group,3-day Pass,True,Rock,False
186,Male,22,18-24,1,Individual,3-day Pass,True,Pop,True
187,Male,18,18-24,4,Group,3-day Pass,True,Hip-Hop,False
188,Female,30,25-34,3,Group,1-day Pass,False,Hip-Hop,False
189,Female,21,18-24,3,Group,3-day Pass,True,Pop,True
190,Female,24,18-24,4,Group,3-day Pass,True,Reggaeton,False
191,Other,21,18-24,2,Couple,3-day Pass,True,Hip-Hop,False
192,Male,26,25-34,2,Couple,3-day Pass,True,Reggaeton,True
193,Other,18,18-24,4,Group,1-day Pass,False,Rock,True
194,Female,23,18-24,3,Group,3-day Pass,True,Rock,False
195,Female,18,18-24,2,Couple,3-day Pass,True,Pop,True
196,Female,25,25-34,3,Group,3-day Pass,True,Pop,False
197,Male,30,25-34,5,Group,3-day Pass,True,Pop,True
198,Female,26,25-34,2,Couple,VIP,True,Hip-Hop,True
199,Male,25,25-34,3,Group,3-day Pass,True,Rock,False
200,Female,28,25-34,4,Group,3-day Pass,True,Rock,True
201,Female,18,18-24,3,Group,3-day Pass,True,Electronic,True
202,Male,27,25-34,5,Group,1-day Pass,False,Pop,True
203,Female,18,18-24,3,Group,1-day Pass,False,Pop,False
204,Female,20,18-24,5,Group,3-day Pass,True,Rock,False
205,Male,28,25-34,4,Group,3-day Pass,True,Rock,False
206,Female,25,25-34,3,Group,VIP,True,Electronic,True
207,Female,22,18-24,2,Couple,VIP,True,Rock,False
208,Male,23,18-24,5,Group,VIP,True,Rock,True
209,Female,20,18-24,2,Couple,3-day Pass,True,Hip-Hop,True
210,Male,33,25-34,4,Group,3-day Pass,True,Rock,False
211,Female,19,18-24,5,Group,3-day Pass,True,Electronic,True
212,Female,20,18-24,4,Group,VIP,True,Pop,True
213,Female,24,18-24,5,Group,3-day Pass,True,Reggaeton,False
214,Female,19,18-24,5,Group,3-day Pass,True,Electronic,True
215,Female,28,25-34,2,Couple,3-day Pass,True,Hip-Hop,False
216,Female,18,18-24,5,Group,1-day Pass,False,Hip-Hop,True
217,Female,22,18-24,4,Group,3-day Pass,True,Rock,True
218,Female,23,18-24,4,Group,3-day Pass,True,Reggaeton,False
219,Female,27,25-34,2,Couple,3-day Pass,True,Hip-Hop,True
220,Male,25,25-34,3,Group,3-day Pass,True,Pop,True
221,Female,27,25-34,2,Couple,3-day Pass,True,Rock,True
222,Female,25,25-34,2,Couple,3-day Pass,True,Rock,True
223,Female,28,25-34,4,Group,VIP,True,Reggaeton,False
224,Male,27,25-34,2,Couple,3-day Pass,True,Hip-Hop,True
225,Female,24,18-24,4,Group,3-day Pass,True,Pop,True
226,Male,30,25-34,3,Group,3-day Pass,True,Electronic,True
227,Male,23,18-24,5,Group,1-day Pass,False,Hip-Hop,False
228,Female,24,18-24,1,Individual,VIP,True,Rock,True
229,Male,19,18-24,3,Group,3-day Pass,True,Rock,False
230,Male,25,25-34,1,Individual,3-day Pass,True,Pop,True
231,Female,28,25-34,1,Individual,3-day Pass,True,Pop,True
232,Male,27,25-34,3,Group,3-day Pass,True,Rock,True
233,Male,25,25-34,1,Individual,3-day Pass,True,Rock,True
234,Male,27,25-34,4,Group,VIP,True,Rock,True
235,Male,27,25-34,4,Group,VIP,True,Rock,False
236,Male,28,25-34,3,Group,3-day Pass,True,Rock,True
237,Female,18,18-24,3,Group,VIP,True,Rock,False
238,Male,18,18-24,3,Group,3-day Pass,True,Reggaeton,False
239,Female,20,18-24,4,Group,1-day Pass,False,Pop,False
240,Male,31,25-34,4,Group,3-day Pass,True,Reggaeton,False
241,Female,18,18-24,2,Couple,1-day Pass,False,Reggaeton,False
242,Male,22,18-24,4,Group,3-day Pass,True,Hip-Hop,False
243,Male,24,18-24,1,Individual,3-day Pass,True,Pop,True
244,Male,18,18-24,4,Group,3-day Pass,True,Pop,True
245,Other,20,18-24,3,Group,3-day Pass,True,Pop,False
246,Male,29,25-34,2,Couple,3-day Pass,True,Pop,True
247,Female,26,25-34,2,Couple,1-day Pass,False,Electronic,True
248,Male,28,25-34,2,Couple,3-day Pass,True,Electronic,True
249,Female,24,18-24,4,Group,3-day Pass,True,Pop,True
250,Female,19,18-24,3,Group,VIP,True,Electronic,True
251,Male,26,25-34,4,Group,3-day Pass,True,Pop,False
252,Female,18,18-24,3,Group,3-day Pass,True,Pop,True
253,Female,22,18-24,2,Couple,3-day Pass,True,Rock,True
254,Female,28,25-34,3,Group,1-day Pass,False,Reggaeton,True
255,Male,28,25-34,3,Group,3-day Pass,True,Hip-Hop,True
256,Other,20,18-24,3,Group,3-day Pass,True,Rock,False
257,Male,26,25-34,3,Group,VIP,True,Pop,False
258,Female,23,18-24,5,Group,3-day Pass,True,Electronic,True
259,Female,21,18-24,2,Couple,3-day Pass,True,Reggaeton,False
260,Other,23,18-24,2,Couple,3-day Pass,True,Pop,False
261,Other,25,25-34,1,Individual,3-day Pass,True,Rock,True
262,Male,28,25-34,3,Group,3-day Pass,True,Hip-Hop,False
263,Other,19,18-24,3,Group,VIP,True,Rock,True
264,Male,26,25-34,3,Group,1-day Pass,False,Pop,True
265,Female,31,25-34,2,Couple,3-day Pass,True,Hip-Hop,True
266,Male,21,18-24,2,Couple,1-day Pass,False,Hip-Hop,True
267,Female,18,18-24,5,Group,3-day Pass,True,Rock,True
268,Female,27,25-34,3,Group,3-day Pass,True,Pop,False
269,Female,29,25-34,5,Group,3-day Pass,True,Rock,True
270,Female,18,18-24,5,Group,3-day Pass,True,Hip-Hop,True
271,Female,18,18-24,1,Individual,3-day Pass,True,Rock,False
272,Female,18,18-24,4,Group,VIP,True,Rock,False
273,Male,23,18-24,3,Group,3-day Pass,True,Rock,True
274,Female,28,25-34,4,Group,1-day Pass,False,Rock,True
275,Female,29,25-34,4,Group,3-day Pass,True,Electronic,True
276,Male,31,25-34,3,Group,3-day Pass,True,Rock,False
277,Female,28,25-34,3,Group,VIP,True,Rock,True
278,Female,25,25-34,3,Group,VIP,True,Pop,True
279,Female,25,25-34,2,Couple,3-day Pass,True,Rock,True
280,Female,23,18-24,1,Individual,1-day Pass,False,Rock,True
281,Female,22,18-24,1,Individual,3-day Pass,True,Rock,False
282,Female,25,25-34,4,Group,1-day Pass,False,Reggaeton,False
283,Female,29,25-34,1,Individual,3-day Pass,True,Pop,False
284,Male,28,25-34,4,Group,1-day Pass,False,Rock,True
285,Male,32,25-34,4,Group,3-day Pass,True,Rock,True
286,Female,30,25-34,5,Group,1-day Pass,False,Pop,False
287,Other,27,25-34,3,Group,3-day Pass,True,Rock,True
288,Male,27,25-34,4,Group,3-day Pass,True,Rock,False
289,Female,22,18-24,2,Couple,3-day Pass,True,Pop,True
290,Female,20,18-24,3,Group,VIP,True,Pop,True
291,Female,27,25-34,5,Group,3-day Pass,True,Pop,True
292,Male,21,18-24,4,Group,3-day Pass,True,Pop,False
293,Other,18,18-24,3,Group,1-day Pass,False,Rock,True
294,Male,28,25-34,2,Couple,3-day Pass,True,Pop,False
295,Male,24,18-24,3,Group,3-day Pass,True,Rock,True
296,Male,23,18-24,5,Group,VIP,True,Rock,False
297,Male,30,25-34,4,Group,VIP,True,Electronic,True
298,Female,19,18-24,4,Group,1-day Pass,False,Pop,True
299,Female,19,18-24,5,Group,VIP,True,Rock,True
300,Male,23,18-24,3,Group,3-day Pass,True,Rock,True
301,Female,29,25-34,3,Group,1-day Pass,False,Reggaeton,True
302,Male,28,25-34,4,Group,3-day Pass,True,Pop,False
303,Female,28,25-34,3,Group,1-day Pass,False,Pop,True
304,Male,28,25-34,3,Group,1-day Pass,False,Rock,True
305,Female,23,18-24,4,Group,VIP,True,Rock,True
306,Female,28,25-34,1,Individual,3-day Pass,True,Pop,False
307,Female,26,25-34,3,Group,3-day Pass,True,Pop,False
308,Female,28,25-34,5,Group,3-day Pass,True,Rock,True
309,Female,24,18-24,3,Group,3-day Pass,True,Pop,True
310,Male,23,18-24,2,Couple,1-day Pass,False,Pop,True
311,Male,18,18-24,1,Individual,3-day Pass,True,Hip-Hop,False
312,Male,26,25-34,5,Group,3-day Pass,True,Hip-Hop,False
313,Female,18,18-24,4,Group,3-day Pass,True,Hip-Hop,True
314,Male,24,18-24,5,Group,3-day Pass,True,Hip-Hop,True
315,Female,18,18-24,2,Couple,1-day Pass,False,Hip-Hop,True
316,Female,25,25-34,3,Group,3-day Pass,True,Hip-Hop,False
317,Male,20,18-24,3,Group,3-day Pass,True,Pop,False
318,Male,26,25-34,4,Group,3-day Pass,True,Hip-Hop,False
319,Male,30,25-34,5,Group,3-day Pass,True,Pop,True
320,Female,25,25-34,2,Couple,VIP,True,Rock,True
321,Male,18,18-24,2,Couple,VIP,True,Rock,True
322,Female,18,18-24,4,Group,VIP,True,Reggaeton,False
323,Female,29,25-34,3,Group,3-day Pass,True,Reggaeton,True
324,Male,24,18-24,4,Group,VIP,True,Electronic,True
325,Female,23,18-24,3,Group,1-day Pass,False,Rock,True
326,Female,28,25-34,2,Couple,VIP,True,Reggaeton,True
327,Male,31,25-34,5,Group,3-day Pass,True,Rock,False
328,Female,27,25-34,2,Couple,3-day Pass,True,Hip-Hop,False
329,Male,26,25-34,2,Couple,1-day Pass,False,Hip-Hop,True
330,Female,19,18-24,2,Couple,3-day Pass,True,Rock,True
331,Female,25,25-34,5,Group,VIP,True,Rock,True
332,Female,32,25-34,4,Group,3-day Pass,True,Electronic,True
333,Male,30,25-34,1,Individual,VIP,True,Hip-Hop,True
334,Female,28,25-34,5,Group,3-day Pass,True,Rock,True
335,Male,32,25-34,3,Group,VIP,True,Rock,False
336,Female,30,25-34,5,Group,1-day Pass,False,Reggaeton,True
337,Male,24,18-24,3,Group,3-day Pass,True,Electronic,True
338,Female,29,25-34,3,Group,VIP,True,Hip-Hop,False
339,Male,29,25-34,1,Individual,3-day Pass,True,Hip-Hop,False
340,Female,31,25-34,5,Group,VIP,True,Hip-Hop,False
341,Male,28,25-34,3,Group,3-day Pass,True,Reggaeton,True
342,Female,26,25-34,5,Group,3-day Pass,True,Reggaeton,True
343,Male,22,18-24,2,Couple,VIP,True,Rock,True
344,Male,27,25-34,3,Group,3-day Pass,True,Rock,True
345,Female,18,18-24,2,Couple,3-day Pass,True,Rock,True
346,Other,27,25-34,2,Couple,3-day Pass,True,Rock,True
347,Male,27,25-34,4,Group,3-day Pass,True,Electronic,False
348,Male,25,25-34,4,Group,3-day Pass,True,Rock,True
349,Female,18,18-24,4,Group,3-day Pass,True,Electronic,True
350,Female,25,25-34,2,Couple,3-day Pass,True,Rock,False
351,Male,26,25-34,5,Group,3-day Pass,True,Reggaeton,False
352,Female,23,18-24,3,Group,3-day Pass,True,Pop,True
353,Other,18,18-24,3,Group,3-day Pass,True,Rock,True
354,Female,25,25-34,3,Group,3-day Pass,True,Pop,True
355,Male,24,18-24,3,Group,3-day Pass,True,Pop,False
356,Female,23,18-24,2,Couple,3-day Pass,True,Rock,True
357,Male,22,18-24,3,Group,VIP,True,Rock,True
358,Male,20,18-24,5,Group,1-day Pass,False,Reggaeton,True
359,Other,30,25-34,3,Group,3-day Pass,True,Reggaeton,False
360,Male,26,25-34,4,Group,VIP,True,Pop,False
361,Female,20,18-24,3,Group,VIP,True,Pop,True
362,Female,29,25-34,4,Group,3-day Pass,True,Reggaeton,False
363,Female,18,18-24,4,Group,1-day Pass,False,Rock,False
364,Male,21,18-24,4,Group,3-day Pass,True,Hip-Hop,True
365,Female,30,25-34,1,Individual,3-day Pass,True,Rock,False
366,Female,28,25-34,3,Group,3-day Pass,True,Reggaeton,True
367,Female,25,25-34,4,Group,3-day Pass,True,Rock,True
368,Male,26,25-34,2,Couple,3-day Pass,True,Hip-Hop,False
369,Male,29,25-34,5,Group,3-day Pass,True,Electronic,True
370,Male,25,25-34,3,Group,3-day Pass,True,Rock,True
371,Male,31,25-34,3,Group,3-day Pass,True,Rock,True
372,Female,30,25-34,4,Group,VIP,True,Rock,True
373,Male,18,18-24,2,Couple,1-day Pass,False,Rock,True
374,Female,18,18-24,3,Group,3-day Pass,True,Hip-Hop,True
375,Male,27,25-34,3,Group,1-day Pass,False,Hip-Hop,True
376,Female,29,25-34,2,Couple,3-day Pass,True,Pop,False
377,Other,21,18-24,1,Individual,VIP,True,Electronic,True
378,Female,27,25-34,2,Couple,3-day Pass,True,Pop,False
379,Male,27,25-34,3,Group,3-day Pass,True,Rock,True
380,Female,28,25-34,5,Group,VIP,True,Pop,True
381,Female,22,18-24,5,Group,3-day Pass,True,Hip-Hop,False
382,Female,18,18-24,4,Group,VIP,True,Reggaeton,True
383,Female,31,25-34,1,Individual,3-day Pass,True,Rock,True
384,Female,25,25-34,2,Couple,VIP,True,Rock,False
385,Female,26,25-34,3,Group,VIP,True,Rock,True
386,Male,28,25-34,2,Couple,3-day Pass,True,Hip-Hop,False
387,Female,31,25-34,3,Group,1-day Pass,False,Rock,False
388,Male,29,25-34,1,Individual,3-day Pass,True,Pop,True
389,Female,24,18-24,5,Group,3-day Pass,True,Electronic,True
390,Female,27,25-34,3,Group,3-day Pass,True,Rock,True
391,Other,18,18-24,2,Couple,3-day Pass,True,Electronic,True
392,Male,26,25-34,2,Couple,VIP,True,Pop,False
393,Male,25,25-34,5,Group,3-day Pass,True,Rock,True
394,Female,29,25-34,4,Group,3-day Pass,True,Hip-Hop,False
395,Other,26,25-34,4,Group,3-day Pass,True,Pop,True
396,Female,29,25-34,3,Group,1-day Pass,False,Rock,False
397,Male,26,25-34,4,Group,3-day Pass,True,Reggaeton,True
398,Male,26,25-34,1,Individual,3-day Pass,True,Rock,False
399,Female,18,18-24,3,Group,3-day Pass,True,Hip-Hop,True
400,Female,18,18-24,3,Group,3-day Pass,True,Rock,False
401,Female,27,25-34,3,Group,3-day Pass,True,Pop,True
402,Female,24,18-24,2,Couple,3-day Pass,True,Electronic,True
403,Male,18,18-24,5,Group,3-day Pass,True,Rock,True
404,Other,29,25-34,5,Group,3-day Pass,True,Pop,True
405,Other,28,25-34,3,Group,3-day Pass,True,Reggaeton,True
406,Male,27,25-34,2,Couple,VIP,True,Electronic,False
407,Female,28,25-34,1,Individual,3-day Pass,True,Electronic,True
408,Female,24,18-24,3,Group,3-day Pass,True,Rock,False
409,Male,32,25-34,1,Individual,VIP,True,Hip-Hop,True
410,Female,25,25-34,3,Group,VIP,True,Rock,False
411,Female,18,18-24,4,Group,3-day Pass,True,Rock,False
412,Female,29,25-34,2,Couple,VIP,True,Rock,True
413,Male,22,18-24,2,Couple,3-day Pass,True,Pop,True
414,Female,26,25-34,1,Individual,3-day Pass,True,Reggaeton,False
415,Female,20,18-24,3,Group,3-day Pass,True,Pop,False
416,Male,30,25-34,4,Group,3-day Pass,True,Rock,True
417,Female,18,18-24,4,Group,3-day Pass,True,Electronic,False
418,Female,25,25-34,5,Group,1-day Pass,False,Hip-Hop,True
419,Female,32,25-34,3,Group,3-day Pass,True,Hip-Hop,False
420,Female,26,25-34,4,Group,1-day Pass,False,Pop,True
421,Male,28,25-34,3,Group,3-day Pass,True,Pop,True
422,Female,23,18-24,5,Group,VIP,True,Hip-Hop,False
423,Female,32,25-34,3,Group,1-day Pass,False,Pop,False
424,Male,22,18-24,5,Group,3-day Pass,True,Pop,True
425,Male,27,25-34,2,Couple,1-day Pass,False,Electronic,True
426,Male,27,25-34,5,Group,VIP,True,Pop,True
427,Male,20,18-24,2,Couple,1-day Pass,False,Pop,True
428,Female,18,18-24,3,Group,3-day Pass,True,Rock,False
429,Female,18,18-24,5,Group,3-day Pass,True,Reggaeton,True
430,Female,19,18-24,3,Group,VIP,True,Rock,False
431,Female,32,25-34,3,Group,3-day Pass,True,Rock,True
432,Male,25,25-34,1,Individual,1-day Pass,False,Pop,False
433,Female,19,18-24,4,Group,VIP,True,Reggaeton,True
434,Female,23,18-24,1,Individual,VIP,True,Pop,False
435,Male,28,25-34,4,Group,3-day Pass,True,Pop,True
436,Female,21,18-24,5,Group,1-day Pass,False,Electronic,True
437,Female,18,18-24,5,Group,3-day Pass,True,Rock,False
