ticket_id,payment_method,food_expense,drink_expense,merch_expense,total_spent
46,Cash,57.91,16.74,103.37,178.02
47,Card,45.53,37.76,67.23,150.52
48,Cash,30.36,102.3,87.74,220.4
49,Card,24.7,12.29,75.64,112.63
50,Cash,77.76,55.94,106.7,240.4
51,Card,44.9,39.77,135.07,219.74
52,Cash,61.71,26.74,66.0,154.45
53,Card,26.33,23.98,24.38,74.69
54,Cash,62.36,56.08,64.69,183.13
55,Card,22.48,41.08,38.64,102.2
56,Card,57.64,55.19,156.84,269.67
57,Cash,10.86,8.83,80.5,100.19
58,Card,54.37,29.02,61.58,144.97
59,Cash,42.18,60.31,41.7,144.19
60,Cash,31.28,114.7,109.06,255.04
61,Card,9.32,20.25,45.21,74.78
62,Card,8.16,37.39,40.76,86.31
63,Card,46.79,68.06,176.96,291.81
64,Cash,61.02,50.02,102.19,213.23
65,Card,70.26,71.68,129.56,271.5
66,Card,11.53,39.17,43.22,93.92
67,Card,59.7,77.11,112.38,249.19
68,Cash,66.32,68.99,36.14,171.45
69,Card,52.27,83.25,93.54,229.06
70,Card,58.67,62.72,67.03,188.42
71,Card,14.69,58.81,8.94,82.44
72,Card,109.91,71.78,234.3,415.99
73,Card,13.83,10.65,52.62,77.1
74,Cash,79.48,140.5,140.03,360.01
75,Card,41.27,17.9,113.54,172.71
76,Card,3.74,12.0,81.99,97.73
77,Card,45.7,17.97,22.74,86.41
78,Card,78.3,134.78,211.52,424.6
79,Card,116.19,97.65,234.2,448.04
80,Card,41.0,82.63,156.94,280.57
81,Festival App,98.04,146.75,154.53,399.32
82,Card,15.57,25.26,72.62,113.45
83,Card,6.66,51.67,36.98,95.31
84,Cash,112.46,94.67,129.14,336.27
85,Card,0.24,26.48,88.36,115.08
86,Card,88.13,58.15,89.76,236.04
87,Card,111.24,87.77,194.23,393.24
88,Cash,53.84,81.81,56.78,192.43
89,Cash,17.52,46.02,32.47,96.01
90,Cash,36.41,55.64,125.2,217.25
91,Card,10.57,109.06,168.94,288.57
92,Card,102.01,48.81,192.33,343.15
93,Card,35.57,79.09,109.75,224.41
94,Card,62.19,38.14,83.89,184.22
95,Card,42.9,6.47,57.95,107.32
96,Card,46.32,25.03,63.28,134.63
97,Cash,14.79,57.34,23.76,95.89
98,Cash,6.48,1.65,56.18,64.31
99,Cash,31.9,36.37,44.94,113.21
100,Card,57.96,87.39,102.7,248.05
101,Card,71.58,47.34,84.66,203.58
102,Card,13.92,51.09,49.66,114.67
103,Cash,34.6,40.2,64.62,139.42
104,Card,14.36,36.0,106.75,157.11
105,Card,13.83,35.04,63.12,111.99
106,Card,51.08,77.98,150.34,279.4
107,Cash,22.17,23.16,95.36,140.69
108,Cash,68.96,48.69,45.87,163.52
109,Festival App,35.05,2.9,98.85,136.8
110,Card,24.97,36.09,189.39,250.45
111,Card,84.64,101.66,97.89,284.19
112,Card,92.82,84.15,137.54,314.51
113,Card,25.91,19.56,84.43,129.9
114,Cash,25.07,48.76,116.78,190.61
115,Cash,29.53,68.71,99.47,197.71
116,Card,95.08,62.55,266.04,423.67
117,Cash,113.68,57.41,41.96,213.05
118,Card,44.1,14.06,43.75,101.91
119,Card,39.68,12.23,43.61,95.52
120,Card,29.79,1.88,88.28,119.95
121,Cash,66.32,50.17,151.87,268.36
122,Cash,52.93,80.76,187.46,321.15
123,Card,9.59,59.53,42.05,111.17
124,Card,50.91,68.56,130.39,249.86
125,Cash,31.08,9.8,56.22,97.1
126,Card,34.29,143.44,198.83,376.56
127,Cash,65.75,131.95,95.33,293.03
128,Festival App,16.67,15.95,53.65,86.27
129,Card,46.43,61.1,82.38,189.91
130,Card,6.78,12.23,41.11,60.12
131,Card,107.37,92.53,120.22,320.12
132,Card,66.8,74.02,134.75,275.57
133,Card,87.12,51.87,117.61,256.6
134,Card,37.5,87.27,38.79,163.56
135,Cash,92.95,71.57,215.38,379.9
136,Cash,79.36,52.22,142.58,274.16
137,Card,50.66,81.65,142.68,274.99
138,Card,4.19,16.17,68.25,88.61
139,Cash,66.62,114.17,115.57,296.36
140,Cash,55.73,29.2,39.48,124.41
141,Card,16.3,33.69,24.2,74.19
142,Card,39.46,113.23,153.02,305.71
143,Cash,46.89,63.1,129.97,239.96
144,Card,84.25,54.56,180.57,319.38
145,Cash,44.14,47.48,96.17,187.79
146,Card,47.85,59.5,47.68,155.03
147,Card,7.48,56.68,159.44,223.6
148,Card,24.91,2.68,83.91,111.5
149,Card,68.75,31.37,25.98,126.1
150,Card,40.91,55.7,102.15,198.76
151,Card,43.42,7.44,24.44,75.3
152,Card,58.55,132.32,30.89,221.76
153,Cash,28.83,37.96,89.02,155.81
154,Card,48.96,48.68,73.02,170.66
155,Card,74.16,68.17,242.4,384.73
156,Card,77.42,108.84,96.21,282.47
157,Card,31.7,1.8,3.66,37.16
158,Card,14.52,35.7,144.42,194.64
159,Card,75.16,43.92,215.88,334.96
160,Card,90.69,111.67,189.23,391.59
161,Cash,48.12,35.78,83.39,167.29
162,Card,26.33,57.92,36.58,120.83
163,Card,2.47,54.53,44.33,101.33
164,Festival App,12.03,21.93,87.81,121.77
165,Card,58.87,54.52,99.06,212.45
166,Card,33.75,54.0,55.6,143.35
167,Cash,32.04,53.59,78.18,163.81
168,Cash,26.62,34.96,103.76,165.34
169,Card,71.67,68.46,13.37,153.5
170,Cash,41.38,20.0,132.66,194.04
171,Cash,68.82,137.42,222.01,428.25
172,Card,13.88,31.8,9.13,54.81
173,Cash,31.06,57.44,66.04,154.54
174,Card,5.97,46.94,21.21,74.12
175,Card,45.02,4.57,33.71,83.3
176,Card,43.09,38.79,54.41,136.29
177,Card,47.31,35.51,44.81,127.63
178,Card,9.42,42.94,30.42,82.78
179,Card,34.51,45.3,5.02,84.83
180,Card,10.04,43.64,42.0,95.68
181,Cash,36.61,49.48,18.96,105.05
182,Festival App,16.81,38.05,89.31,144.17
183,Card,87.47,45.06,192.76,325.29
184,Cash,44.35,2.15,28.73,75.23
185,Card,52.75,18.86,73.53,145.14
186,Card,37.49,39.37,125.1,201.96
187,Cash,24.47,36.08,51.27,111.82
188,Card,22.18,40.33,87.7,150.21
189,Card,43.94,68.31,124.99,237.24
190,Festival App,107.13,145.78,175.07,427.98
191,Card,36.84,128.54,101.94,267.32
192,Card,6.45,21.14,23.3,50.89
193,Cash,62.4,65.0,79.24,206.64
194,Card,12.38,21.46,161.46,195.3
195,Card,7.03,12.73,20.98,40.74
196,Card,20.49,18.94,80.77,120.2
197,Cash,86.94,89.16,121.74,297.84
198,Cash,91.86,33.87,74.05,199.78
199,Cash,34.87,49.3,29.22,113.39
200,Card,31.23,25.58,21.73,78.54
201,Festival App,23.87,29.97,86.69,140.53
202,Card,42.49,98.57,146.97,288.03
203,Cash,15.17,56.6,62.95,134.72
204,Card,40.87,32.59,113.83,187.29
205,Card,75.55,47.45,87.13,210.13
206,Cash,35.85,2.61,61.69,100.15
207,Card,36.94,21.27,53.43,111.64
208,Card,88.05,40.16,139.07,267.28
209,Card,20.76,51.71,56.74,129.21
210,Card,10.41,18.63,1.1,30.14
211,Card,98.59,146.94,171.84,417.37
212,Card,72.52,84.02,71.92,228.46
213,Cash,14.17,5.45,7.66,27.28
214,Card,19.41,30.38,78.97,128.76
215,Card,33.67,22.2,22.92,78.79
216,Card,64.91,15.6,95.78,176.29
217,Card,93.33,73.71,94.35,261.39
218,Card,45.54,32.61,71.97,150.12
219,Card,56.5,56.06,71.32,183.88
220,Cash,48.63,36.07,83.28,167.98
221,Cash,9.95,13.85,61.64,85.44
222,Cash,10.53,20.69,44.76,75.98
223,Card,40.75,76.63,100.2,217.58
224,Cash,30.16,37.36,165.68,233.2
225,Card,89.44,46.41,159.6,295.45
226,Card,29.15,88.51,56.74,174.4
227,Cash,32.69,98.95,82.35,213.99
228,Card,5.27,55.45,95.77,156.49
229,Card,68.68,54.42,39.8,162.9
230,Card,86.48,80.62,133.61,300.71
231,Card,38.64,50.3,76.39,165.33
232,Card,38.15,28.57,35.94,102.66
233,Card,16.62,25.09,56.65,98.36
234,Card,24.72,34.18,88.5,147.4
235,Card,19.47,21.99,106.2,147.66
236,Cash,32.64,43.0,73.98,149.62
237,Card,58.79,35.09,65.32,159.2
238,Card,11.18,43.6,74.04,128.82
239,Card,91.78,36.76,67.34,195.88
240,Card,88.72,79.69,199.34,367.75
241,Card,48.46,112.44,48.03,208.93
242,Card,40.35,17.0,67.6,124.95
243,Cash,19.92,12.1,13.38,45.4
244,Card,1.84,57.23,51.61,110.68
245,Cash,48.01,15.75,114.16,177.92
246,Card,2.83,21.93,23.32,48.08
247,Card,19.66,15.34,74.73,109.73
248,Festival App,68.48,70.56,102.29,241.33
249,Card,31.45,19.65,14.16,65.26
250,Cash,89.71,82.89,159.45,332.05
251,Cash,45.26,55.26,128.26,228.78
252,Card,92.09,88.09,229.41,409.59
253,Card,53.36,114.55,112.4,280.31
254,Cash,7.72,82.1,26.42,116.24
255,Cash,22.91,36.1,78.52,137.53
256,Card,42.92,57.45,42.69,143.06
257,Card,43.72,62.62,117.49,223.83
258,Card,40.94,19.21,32.62,92.77
259,Cash,51.97,83.15,114.31,249.43
260,Card,16.88,46.5,15.09,78.47
261,Cash,63.15,54.41,94.62,212.18
262,Card,42.47,73.83,115.96,232.26
263,Card,41.08,66.91,132.09,240.08
264,Card,64.11,105.84,20.73,190.68
265,Card,37.22,29.59,77.6,144.41
266,Card,30.02,49.16,20.61,99.79
267,Card,66.48,81.53,20.28,168.29
268,Card,34.94,57.8,74.44,167.18
269,Card,92.83,74.21,102.87,269.91
270,Festival App,14.3,0.0,19.03,33.33
271,Cash,64.57,110.11,135.54,310.22
272,Card,93.77,46.14,98.01,237.92
273,Card,2.57,45.96,0.18,48.71
274,Card,54.79,79.63,42.97,177.39
275,Cash,47.82,9.14,79.36,136.32
276,Card,35.88,6.45,94.99,137.32
277,Card,5.65,51.27,27.63,84.55
278,Cash,106.84,121.91,154.99,383.74
279,Cash,64.89,73.74,68.47,207.1
280,Card,0.4,13.45,78.32,92.17
281,Card,45.63,36.35,78.44,160.42
282,Card,42.04,27.78,37.78,107.6
283,Festival App,73.87,15.33,133.65,222.85
284,Card,61.86,18.53,128.93,209.32
285,Card,73.6,91.09,92.03,256.72
286,Card,7.02,4.96,41.32,53.3
287,Cash,16.14,7.06,86.42,109.62
288,Card,61.57,62.0,45.42,168.99
289,Festival App,72.43,99.83,86.44,258.7
290,Card,31.88,42.8,68.26,142.94
291,Cash,76.62,57.28,91.2,225.1
292,Card,27.08,54.14,7.88,89.1
293,Cash,94.4,64.24,121.97,280.61
294,Card,74.3,73.76,102.69,250.75
295,Card,61.46,65.13,168.35,294.94
296,Card,25.94,49.61,29.39,104.94
297,Card,32.14,26.44,41.8,100.38
298,Card,111.09,92.12,104.58,307.79
299,Cash,39.67,53.64,92.05,185.36
300,Card,63.86,32.98,131.08,227.92
301,Cash,29.51,3.5,79.8,112.81
302,Card,35.68,94.38,86.8,216.86
303,Card,17.2,28.89,52.48,98.57
304,Card,26.9,20.6,69.53,117.03
305,Card,29.64,51.42,15.1,96.16
306,Card,38.39,20.75,36.14,95.28
307,Card,42.03,58.29,60.66,160.98
308,Card,38.24,104.41,137.11,279.76
309,Card,37.18,58.87,124.61,220.66
310,Card,20.24,3.43,11.07,34.74
311,Card,17.55,4.19,33.42,55.16
312,Cash,82.98,82.94,85.99,251.91
313,Cash,16.96,48.45,85.69,151.1
314,Cash,7.83,84.94,108.12,200.89
315,Card,97.77,43.99,125.02,266.78
316,Card,33.06,57.84,90.74,181.64
317,Card,86.89,84.1,143.79,314.78
318,Card,54.82,72.05,127.57,254.44
319,Festival App,10.51,44.52,86.23,141.26
320,Card,119.07,44.89,174.59,338.55
321,Card,59.23,40.08,121.67,220.98
322,Card,62.21,58.01,125.28,245.5
323,Card,1.19,24.16,40.19,65.54
324,Card,83.29,54.27,225.73,363.29
325,Card,36.37,14.84,88.55,139.76
326,Card,41.57,80.62,186.16,308.35
327,Card,26.7,76.72,99.9,203.32
328,Card,68.73,114.21,136.7,319.64
329,Card,9.34,39.5,0.81,49.65
330,Card,66.94,88.5,231.29,386.73
331,Cash,53.96,60.83,97.64,212.43
332,Cash,65.65,121.81,54.16,241.62
333,Card,4.46,2.54,62.29,69.29
334,Card,80.58,45.73,116.02,242.33
335,Card,25.42,112.01,127.51,264.94
336,Cash,44.97,35.68,27.37,108.02
337,Card,35.31,14.29,92.66,142.26
338,Card,10.15,27.56,92.84,130.55
339,Cash,51.3,126.9,205.83,384.03
340,Card,89.04,95.3,113.68,298.02
341,Card,82.93,62.2,127.88,273.01
342,Card,32.77,52.71,52.64,138.12
343,Card,93.78,45.68,142.32,281.78
344,Card,88.07,77.18,146.46,311.71
345,Cash,13.53,11.92,67.15,92.6
346,Card,37.75,28.2,34.63,100.58
347,Card,73.19,66.59,108.79,248.57
348,Card,39.26,54.35,58.98,152.59
349,Festival App,66.97,77.93,94.2,239.1
350,Card,87.08,32.46,177.7,297.24
351,Card,26.23,27.72,47.18,101.13
352,Card,3.31,34.21,9.94,47.46
353,Cash,62.27,59.29,64.85,186.41
354,Cash,50.78,34.56,99.15,184.49
355,Card,44.29,27.65,145.59,217.53
356,Card,77.08,45.23,52.31,174.62
357,Cash,66.99,63.49,123.6,254.08
358,Cash,49.95,32.5,60.63,143.08
359,Cash,33.73,78.08,138.43,250.24
360,Cash,42.5,30.38,60.47,133.35
361,Card,8.74,48.42,85.18,142.34
362,Card,43.19,27.01,98.32,168.52
363,Card,6.21,21.83,59.82,87.86
364,Card,34.66,34.71,26.0,95.37
365,Card,32.61,29.19,135.63,197.43
366,Card,49.07,37.31,91.49,177.87
367,Festival App,53.03,39.23,109.87,202.13
368,Festival App,82.36,101.2,143.27,326.83
369,Cash,54.12,79.74,116.12,249.98
370,Card,35.04,23.96,55.82,114.82
371,Card,10.85,48.79,129.23,188.87
372,Cash,48.02,5.13,95.43,148.58
373,Card,39.62,44.04,59.04,142.7
374,Card,52.78,80.77,204.73,338.28
375,Card,47.87,5.25,77.58,130.7
376,Cash,44.34,15.23,124.91,184.48
377,Card,77.67,61.18,147.87,286.72
378,Card,25.47,64.23,91.42,181.12
379,Card,61.28,81.49,152.7,295.47
380,Card,13.19,11.7,23.51,48.4
381,Card,44.76,35.05,38.94,118.75
382,Cash,19.46,9.61,86.54,115.61
383,Cash,29.07,27.84,17.16,74.07
384,Festival App,36.63,21.89,2.92,61.44
385,Cash,45.61,23.76,7.78,77.15
386,Card,20.64,39.53,37.0,97.17
387,Card,53.11,90.18,126.78,270.07
388,Cash,52.02,127.34,179.01,358.37
389,Cash,7.83,54.05,96.96,158.84
390,Card,47.38,24.53,8.31,80.22
391,Cash,60.32,78.48,67.66,206.46
392,Card,29.72,16.94,37.93,84.59
393,Card,23.84,20.84,67.75,112.43
394,Card,47.03,24.21,47.95,119.19
395,Cash,18.72,43.41,137.81,199.94
396,Festival App,36.58,55.67,46.18,138.43
397,Card,77.62,42.53,43.55,163.7
398,Cash,34.79,46.54,14.47,95.8
399,Card,1.77,43.44,69.35,114.56
400,Card,1.39,19.66,53.59,74.64
401,Card,82.71,94.92,100.53,278.16
402,Cash,15.58,65.48,115.73,196.79
403,Card,29.99,52.26,47.56,129.81
404,Festival App,28.79,57.57,79.81,166.17
405,Cash,0.04,23.68,76.87,100.59
406,Card,99.51,106.1,37.74,243.35
407,Card,54.78,85.06,110.57,250.41
408,Card,41.52,37.7,50.08,129.3
409,Card,34.83,32.35,197.24,264.42
410,Card,55.02,70.28,175.88,301.18
411,Card,32.52,47.85,93.16,173.53
412,Festival App,1.97,16.37,73.37,91.71
413,Card,47.32,66.86,196.63,310.81
414,Card,70.71,70.29,59.17,200.17
415,Cash,38.24,36.08,50.16,124.48
416,Card,14.46,46.37,75.73,136.56
417,Card,41.82,8.59,84.34,134.75
418,Card,59.3,74.45,120.41,254.16
419,Cash,40.42,8.81,63.81,113.04
420,Card,75.36,61.33,89.42,226.11
421,Card,68.1,41.16,137.55,246.81
422,Card,81.35,114.04,158.12,353.51
423,Card,66.18,76.22,67.89,210.29
424,Card,44.49,66.55,35.37,146.41
425,Card,28.18,23.39,71.85,123.42
426,Cash,51.64,102.09,134.27,288.0
427,Card,35.94,77.39,96.38,209.71
428,Card,58.87,73.21,199.2,331.28
429,Card,28.3,148.7,156.16,333.16
430,Card,36.26,46.66,1.66,84.58
431,Cash,13.12,38.46,33.79,85.37
432,Cash,12.47,52.2,30.95,95.62
433,Card,40.18,12.17,29.73,82.08
434,Cash,43.42,43.58,40.43,127.43
435,Cash,32.4,137.18,46.6,216.18
436,Cash,57.46,16.89,97.09,171.44
437,Festival App,31.69,8.27,97.92,137.88
438,Cash,3.49,14.21,36.97,54.67
439,Festival App,45.86,67.96,104.18,218.0
440,Cash,23.36,8.77,23.48,55.61
441,Card,67.82,58.55,81.1,207.47
442,Cash,69.39,26.02,91.86,187.27
443,Card,47.61,63.8,123.58,234.99
444,Card,21.71,4.11,91.97,117.79
445,Card,28.17,32.8,38.98,99.95
446,Card,1.28,12.13,98.07,111.48
447,Festival App,22.98,51.5,4.21,78.69
448,Festival App,27.68,48.95,45.21,121.84
449,Card,43.24,18.71,99.26,161.21
450,Card,73.99,37.44,131.22,242.65
451,Festival App,75.22,118.62,95.8,289.64
452,Cash,1.04,41.97,77.78,120.79
453,Card,9.61,0.34,52.39,62.34
454,Card,30.58,57.48,11.99,100.05
455,Card,7.1,29.09,41.68,77.87
456,Card,90.69,101.96,108.93,301.58
457,Cash,13.39,42.78,82.69,138.86
458,Cash,35.11,83.07,160.82,279.0
459,Cash,33.95,67.05,104.64,205.64
460,Card,75.25,19.96,133.3,228.51
461,Card,40.16,52.22,106.7,199.08
462,Card,38.96,29.73,11.04,79.73
463,Card,76.5,59.71,99.57,235.78
464,Card,43.06,29.05,209.88,281.99
465,Card,49.62,48.33,35.05,133.0
466,Card,42.91,107.19,68.91,219.01
467,Card,59.46,72.56,118.66,250.68
468,Card,28.08,18.64,68.0,114.72
469,Card,106.83,83.57,156.96,347.36
470,Cash,51.69,77.45,138.12,267.26
471,Card,18.54,46.92,8.85,74.31
472,Festival App,73.57,119.77,194.29,387.63
473,Card,25.1,25.1,77.61,127.81
474,Card,35.03,27.48,0.71,63.22
475,Card,28.19,38.45,57.59,124.23
476,Card,0.97,12.04,61.29,74.3
477,Card,79.87,72.71,75.33,227.91
478,Cash,36.64,11.01,41.39,89.04
479,Cash,38.08,119.48,90.04,247.6
480,Cash,50.25,18.02,114.9,183.17
481,Cash,81.06,61.04,146.76,288.86
482,Card,18.84,11.56,15.45,45.85
483,Card,32.42,44.01,68.0,144.43
484,Card,21.33,65.34,66.49,153.16
485,Card,74.48,86.32,46.96,207.76
486,Card,39.08,43.76,3.63,86.47
487,Card,12.17,38.79,89.23,140.19
488,Card,28.97,96.59,68.14,193.7
489,Card,12.09,19.96,65.85,97.9
490,Card,16.88,53.26,82.55,152.69
491,Card,26.52,63.89,142.71,233.12
492,Card,49.17,136.27,204.11,389.55
493,Festival App,34.25,6.4,127.2,167.85
494,Card,71.62,90.29,84.68,246.59
495,Card,64.87,51.11,64.81,180.79
496,Card,32.83,42.58,69.83,145.24
497,Card,31.79,66.34,118.04,216.17
498,Cash,24.88,111.92,76.03,212.83
499,Cash,2.97,9.94,3.28,16.19
500,Card,28.56,38.73,1.65,68.94
501,Cash,11.49,76.39,100.4,188.28
502,Cash,79.77,98.93,94.54,273.24
503,Card,69.25,69.25,141.03,279.53
504,Cash,52.61,50.64,129.07,232.32
505,Festival App,25.06,28.17,71.93,125.16
506,Card,93.32,83.87,130.51,307.7
507,Card,71.18,29.15,91.0,191.33
508,Card,48.16,66.13,41.53,155.82
509,Card,48.47,84.28,91.86,224.61
510,Card,44.94,6.77,83.71,135.42
511,Festival App,24.61,91.7,96.19,212.5
512,Card,23.76,9.72,9.32,42.8
513,Card,37.45,30.3,168.86,236.61
514,Cash,49.83,45.99,29.63,125.45
515,Card,40.83,32.63,91.26,164.72
516,Cash,46.99,47.26,10.91,105.16
517,Card,1.32,10.34,58.51,70.17
518,Card,23.68,12.73,66.35,102.76
519,Cash,37.52,71.6,104.96,214.08
520,Card,43.63,54.6,49.6,147.83
521,Card,111.81,107.21,183.18,402.2
522,Card,42.2,40.38,165.05,247.63
523,Card,5.88,26.72,81.53,114.13
524,Card,18.81,29.04,52.56,100.41
525,Cash,78.62,85.64,117.75,282.01
526,Card,9.65,10.88,14.67,35.2
527,Card,27.88,77.32,10.0,115.2
528,Card,37.08,85.42,95.0,217.5
529,Cash,2.44,38.38,27.41,68.23
530,Card,32.25,46.18,6.12,84.55
531,Cash,90.21,28.66,108.85,227.72
532,Card,56.62,12.63,81.27,150.52
533,Card,48.86,26.23,66.96,142.05
534,Card,41.09,15.31,40.62,97.02
535,Card,53.74,60.87,187.38,301.99
536,Cash,15.22,29.34,19.43,63.99
537,Card,89.78,79.15,103.4,272.33
538,Card,48.79,27.07,75.96,151.82
539,Cash,4.04,41.85,83.31,129.2
540,Cash,6.02,19.96,91.84,117.82
541,Cash,75.9,17.91,39.63,133.44
542,Cash,5.93,8.12,27.0,41.05
543,Card,75.12,72.7,223.6,371.42
544,Cash,30.37,3.09,96.25,129.71
545,Card,45.79,49.29,16.79,111.87
546,Card,48.16,72.77,158.11,279.04
547,Card,26.58,38.58,38.45,103.61
548,Card,23.07,18.82,85.52,127.41
549,Card,52.07,80.66,150.19,282.92
550,Card,83.0,92.7,64.42,240.12
551,Cash,13.95,57.86,114.07,185.88
552,Card,44.03,23.06,10.96,78.05
553,Card,73.82,58.48,90.1,222.4
554,Card,36.48,33.98,100.36,170.82
555,Card,15.75,33.47,30.41,79.63
556,Card,93.28,123.27,64.98,281.53
557,Card,9.08,9.86,59.37,78.31
558,Card,47.82,26.5,67.36,141.68
559,Card,82.53,38.47,163.09,284.09
560,Card,27.87,41.36,69.61,138.84
561,Cash,62.14,87.09,236.39,385.62
562,Cash,76.69,119.45,220.46,416.6
563,Card,2.49,59.17,56.11,117.77
564,Cash,59.44,65.68,65.51,190.63
565,Card,42.5,42.86,178.99,264.35
566,Card,73.04,94.65,66.66,234.35
567,Cash,100.14,58.04,166.79,324.97
568,Cash,80.38,62.51,112.74,255.63
569,Card,21.73,25.77,83.32,130.82
570,Card,47.89,36.78,73.78,158.45
571,Cash,47.51,52.23,63.7,163.44
572,Card,49.0,90.71,117.13,256.84
573,Card,24.27,32.71,61.62,118.6
574,Card,62.05,27.08,108.61,197.74
575,Cash,31.18,60.38,160.25,251.81
576,Festival App,49.56,153.3,164.39,367.25
577,Card,15.53,22.29,87.14,124.96
578,Cash,46.4,1.41,29.4,77.21
579,Card,36.55,29.33,129.93,195.81
580,Card,45.29,63.27,111.92,220.48
581,Card,57.4,53.46,142.25,253.11
582,Card,36.66,41.67,80.2,158.53
583,Card,16.3,59.83,40.24,116.37
584,Festival App,37.28,5.23,137.21,179.72
585,Card,44.15,9.08,24.59,77.82
586,Card,30.08,2.7,32.32,65.1
587,Card,23.63,37.47,3.49,64.59
588,Cash,36.1,39.74,2.22,78.06
589,Cash,61.32,68.05,55.72,185.09
590,Card,22.41,55.57,109.19,187.17
591,Card,36.07,84.63,21.62,142.32
592,Card,91.04,93.88,129.12,314.04
593,Festival App,42.74,41.38,35.42,119.54
594,Card,72.6,79.7,159.87,312.17
595,Cash,29.78,9.76,12.13,51.67
596,Cash,21.54,20.44,82.61,124.59
597,Card,28.13,44.09,74.84,147.06
598,Card,30.31,51.6,37.95,119.86
599,Card,53.07,87.11,114.89,255.07
600,Cash,21.8,106.37,133.2,261.37
601,Card,33.89,58.02,38.34,130.25
602,Card,17.05,40.89,88.02,145.96
603,Card,83.82,73.41,153.89,311.12
604,Card,41.94,24.64,20.98,87.56
605,Card,48.48,31.41,78.54,158.43
606,Cash,5.03,53.31,34.47,92.81
607,Card,30.31,56.56,89.56,176.43
608,Card,38.69,12.94,80.02,131.65
609,Card,95.38,106.21,266.14,467.73
610,Card,101.03,90.48,26.7,218.21
611,Cash,23.63,59.12,101.02,183.77
612,Card,31.97,102.16,68.59,202.72
613,Card,29.89,9.48,70.42,109.79
614,Card,23.29,37.73,62.07,123.09
615,Card,47.45,26.92,52.32,126.69
616,Card,81.69,83.94,122.58,288.21
617,Card,79.76,114.0,154.14,347.9
618,Card,13.92,33.42,84.79,132.13
619,Card,77.39,85.11,122.25,284.75
620,Festival App,40.68,38.24,47.83,126.75
621,Card,78.03,32.13,104.29,214.45
622,Card,4.87,57.18,85.22,147.27
623,Cash,72.23,112.05,149.85,334.13
624,Cash,38.33,43.96,20.42,102.71
625,Card,20.17,24.33,72.25,116.75
626,Card,47.45,13.06,46.08,106.59
627,Cash,24.31,57.78,59.92,142.01
628,Card,46.44,38.36,51.37,136.17
629,Card,46.79,103.14,81.67,231.6
630,Card,30.29,44.5,56.86,131.65
631,Card,49.73,19.64,15.96,85.33
632,Cash,85.27,147.79,181.01,414.07
633,Card,64.04,77.35,78.29,219.68
634,Card,82.47,89.26,144.38,316.11
635,Card,16.53,19.25,65.82,101.6
636,Cash,75.58,84.91,108.61,269.1
637,Cash,31.39,24.48,70.98,126.85
638,Cash,53.38,30.85,171.83,256.06
639,Cash,24.46,73.28,81.56,179.3
640,Card,63.73,38.96,88.99,191.68
641,Card,63.06,82.24,125.98,271.28
642,Cash,12.52,42.78,51.83,107.13
643,Cash,20.56,29.4,3.29,53.25
644,Cash,23.35,29.98,57.22,110.55
645,Card,53.13,70.93,160.45,284.51
646,Cash,92.91,75.46,153.58,321.95
647,Card,34.58,25.6,64.11,124.29
648,Card,16.59,6.59,1.96,25.14
649,Card,39.09,43.64,60.93,143.66
650,Card,97.28,83.53,221.01,401.82
651,Cash,51.24,87.69,147.35,286.28
652,Card,15.69,41.11,98.76,155.56
