ticket_id,satisfaction_rating,cleanliness_rating,security_rating,satisfaction_level,cleanliness_level,security_level,mean_rating
246,1.0,5.0,8.0,Low,Low,Medium,4.67
247,6.0,7.0,9.0,Medium,Medium,High,7.33
248,5.5,5.5,9.0,Medium,Medium,High,6.67
249,9.0,6.0,10.0,High,Medium,High,8.33
250,7.0,4.0,8.67,Medium,Low,High,6.56
251,1.5,6.5,6.0,Low,Medium,Medium,4.67
252,6.0,4.67,9.33,Medium,Low,High,6.67
253,8.0,6.0,8.0,Medium,Medium,Medium,7.33
254,1.0,5.5,7.0,Low,Medium,Medium,4.5
255,7.0,3.0,2.0,Medium,Low,Low,4.0
256,7.0,3.0,8.0,Medium,Low,Medium,6.0
257,7.33,5.0,7.33,Medium,Low,Medium,6.55
258,4.0,4.0,7.0,Low,Low,Medium,5.0
259,8.5,3.0,8.0,High,Low,Medium,6.5
260,8.0,7.0,5.0,Medium,Medium,Low,6.67
261,6.0,3.5,7.0,Medium,Low,Medium,5.5
262,3.5,6.5,7.0,Low,Medium,Medium,5.67
263,3.5,7.0,9.0,Low,Medium,High,6.5
264,2.5,4.5,8.0,Low,Low,Medium,5.0
265,2.0,2.0,8.0,Low,Low,Medium,4.0
266,8.0,9.0,1.0,Medium,High,Low,6.0
267,7.5,2.0,9.5,Medium,Low,High,6.33
268,8.0,6.0,9.0,Medium,Medium,High,7.67
269,2.5,5.5,5.5,Low,Medium,Medium,4.5
270,8.0,5.0,10.0,Medium,Low,High,7.67
271,4.0,4.5,8.0,Low,Low,Medium,5.5
272,6.5,4.5,8.5,Medium,Low,High,6.5
273,7.0,6.0,8.0,Medium,Medium,Medium,7.0
274,5.0,3.0,5.5,Low,Low,Medium,4.5
275,8.0,9.0,6.0,Medium,High,Medium,7.67
276,4.0,9.0,8.0,Low,High,Medium,7.0
277,1.0,7.0,8.0,Low,Medium,Medium,5.33
278,7.33,5.33,7.0,Medium,Medium,Medium,6.55
279,4.5,7.5,7.5,Low,Medium,Medium,6.5
280,1.0,8.0,9.0,Low,Medium,High,6.0
281,2.0,3.0,4.0,Low,Low,Low,3.0
282,8.0,4.0,7.0,Medium,Low,Medium,6.33
283,4.5,4.5,8.0,Low,Low,Medium,5.67
284,4.33,2.67,5.67,Low,Low,Medium,4.22
285,8.0,4.5,7.5,Medium,Low,Medium,6.67
286,1.0,6.0,10.0,Low,Medium,High,5.67
287,9.0,4.0,6.0,High,Low,Medium,6.33
288,4.5,6.0,7.5,Low,Medium,Medium,6.0
289,8.5,6.0,6.0,High,Medium,Medium,6.83
290,8.0,6.0,10.0,Medium,Medium,High,8.0
291,4.5,6.0,7.5,Low,Medium,Medium,6.0
292,8.0,4.0,9.0,Medium,Low,High,7.0
293,7.67,6.67,8.0,Medium,Medium,Medium,7.45
294,8.0,2.67,8.33,Medium,Low,High,6.33
295,4.5,3.5,8.5,Low,Low,High,5.5
296,8.0,3.0,9.0,Medium,Low,High,6.67
297,3.0,9.0,8.0,Low,High,Medium,6.67
298,2.67,4.0,5.33,Low,Low,Medium,4.0
299,5.5,7.0,8.0,Medium,Medium,Medium,6.83
300,6.67,5.0,9.67,Medium,Low,High,7.11
301,8.0,10.0,10.0,Medium,High,High,9.33
302,7.5,2.5,7.0,Medium,Low,Medium,5.67
303,8.0,3.0,5.0,Medium,Low,Low,5.33
304,1.0,3.0,10.0,Low,Low,High,4.67
305,8.0,5.0,6.0,Medium,Low,Medium,6.33
306,4.5,5.0,8.5,Low,Low,High,6.0
307,5.0,5.0,8.5,Low,Low,High,6.17
308,6.0,2.67,8.67,Medium,Low,High,5.78
309,4.0,4.5,6.0,Low,Low,Medium,4.83
310,8.0,2.0,10.0,Medium,Low,High,6.67
311,4.0,2.0,6.0,Low,Low,Medium,4.0
312,8.0,9.0,7.5,Medium,High,Medium,8.17
313,9.0,7.0,10.0,High,Medium,High,8.67
314,8.0,6.0,4.0,Medium,Medium,Low,6.0
315,6.67,5.67,8.33,Medium,Medium,High,6.89
316,8.0,9.0,8.0,Medium,High,Medium,8.33
317,4.33,5.0,7.67,Low,Low,Medium,5.67
318,6.0,4.0,7.0,Medium,Low,Medium,5.67
319,4.0,5.0,8.0,Low,Low,Medium,5.67
320,5.33,7.33,6.67,Medium,Medium,Medium,6.44
321,6.5,6.0,8.0,Medium,Medium,Medium,6.83
322,7.5,6.0,9.0,Medium,Medium,High,7.5
323,5.0,8.0,1.0,Low,Medium,Low,4.67
324,6.0,6.0,4.67,Medium,Medium,Low,5.56
325,8.0,9.0,10.0,Medium,High,High,9.0
326,6.33,7.67,7.33,Medium,Medium,Medium,7.11
327,6.0,6.0,8.5,Medium,Medium,High,6.83
328,7.0,6.0,7.0,Medium,Medium,Medium,6.67
329,8.0,6.0,6.0,Medium,Medium,Medium,6.67
330,8.67,8.0,7.67,High,Medium,Medium,8.11
331,7.0,6.0,6.0,Medium,Medium,Medium,6.33
332,7.33,3.33,8.33,Medium,Low,High,6.33
333,6.0,2.0,7.0,Medium,Low,Medium,5.0
334,5.0,5.5,7.5,Low,Medium,Medium,6.0
335,8.0,5.0,5.5,Medium,Low,Medium,6.17
336,8.0,9.0,9.0,Medium,High,High,8.67
337,8.0,10.0,8.0,Medium,High,Medium,8.67
338,8.0,3.0,9.0,Medium,Low,High,6.67
339,8.0,5.0,7.0,Medium,Low,Medium,6.67
340,5.5,2.5,9.0,Medium,Low,High,5.67
341,2.5,7.0,7.0,Low,Medium,Medium,5.5
342,8.0,1.0,5.0,Medium,Low,Low,4.67
343,5.67,3.33,7.33,Medium,Low,Medium,5.44
344,4.33,6.67,9.33,Low,Medium,High,6.78
345,1.0,5.0,8.0,Low,Low,Medium,4.67
346,6.0,2.0,8.0,Medium,Low,Medium,5.33
347,5.5,4.0,5.5,Medium,Low,Medium,5.0
348,7.0,5.0,10.0,Medium,Low,High,7.33
349,6.0,2.5,7.0,Medium,Low,Medium,5.17
350,6.5,6.5,8.5,Medium,Medium,High,7.17
351,1.0,10.0,10.0,Low,High,High,7.0
352,4.0,3.0,8.0,Low,Low,Medium,5.0
353,6.0,7.5,9.5,Medium,Medium,High,7.67
354,2.5,4.0,8.0,Low,Low,Medium,4.83
355,8.5,6.0,8.5,High,Medium,High,7.67
356,1.0,5.5,7.0,Low,Medium,Medium,4.5
357,4.5,5.5,7.5,Low,Medium,Medium,5.83
358,1.0,3.0,7.0,Low,Low,Medium,3.67
359,5.67,2.67,7.67,Medium,Low,Medium,5.34
360,6.0,4.0,5.0,Medium,Low,Low,5.0
361,6.0,5.0,9.0,Medium,Low,High,6.67
362,6.0,3.0,6.0,Medium,Low,Medium,5.0
363,5.5,7.5,7.0,Medium,Medium,Medium,6.67
364,4.0,6.0,8.0,Low,Medium,Medium,6.0
365,7.5,9.0,7.5,Medium,High,Medium,8.0
366,8.0,3.0,5.0,Medium,Low,Low,5.33
367,4.5,3.5,5.0,Low,Low,Low,4.33
368,6.33,7.67,5.0,Medium,Medium,Low,6.33
369,5.5,3.5,4.0,Medium,Low,Low,4.33
370,9.0,6.0,8.0,High,Medium,Medium,7.67
371,8.0,8.0,5.5,Medium,Medium,Medium,7.17
372,5.0,7.0,8.0,Low,Medium,Medium,6.67
373,8.0,3.0,7.0,Medium,Low,Medium,6.0
374,4.0,6.0,8.0,Low,Medium,Medium,6.0
375,8.0,7.0,8.0,Medium,Medium,Medium,7.67
376,6.5,4.0,8.5,Medium,Low,High,6.33
377,4.67,6.33,9.0,Low,Medium,High,6.67
378,6.33,7.0,8.67,Medium,Medium,High,7.33
379,4.5,5.0,7.0,Low,Low,Medium,5.5
380,8.0,9.0,8.0,Medium,High,Medium,8.33
381,5.0,6.0,8.0,Low,Medium,Medium,6.33
382,9.0,4.0,10.0,High,Low,High,7.67
383,8.0,6.0,10.0,Medium,Medium,High,8.0
384,3.0,9.0,9.0,Low,High,High,7.0
385,4.0,2.0,6.0,Low,Low,Medium,4.0
386,5.0,5.0,9.0,Low,Low,High,6.33
387,5.33,6.67,7.0,Medium,Medium,Medium,6.33
388,4.0,3.67,8.67,Low,Low,High,5.45
389,4.0,4.0,6.0,Low,Low,Medium,4.67
390,8.0,8.0,9.0,Medium,Medium,High,8.33
391,7.5,4.5,7.5,Medium,Low,Medium,6.5
392,8.0,2.0,5.0,Medium,Low,Low,5.0
393,10.0,4.0,2.0,High,Low,Low,5.33
394,6.0,9.0,7.0,Medium,High,Medium,7.33
395,3.5,5.5,7.5,Low,Medium,Medium,5.5
396,6.0,4.0,8.5,Medium,Low,High,6.17
397,5.5,6.5,9.5,Medium,Medium,High,7.17
398,8.0,9.0,5.0,Medium,High,Low,7.33
399,1.0,2.0,7.0,Low,Low,Medium,3.33
400,6.0,6.0,9.0,Medium,Medium,High,7.0
401,8.67,7.33,7.33,High,Medium,Medium,7.78
402,6.0,6.5,5.5,Medium,Medium,Medium,6.0
403,4.0,7.0,10.0,Low,Medium,High,7.0
404,2.0,3.0,5.0,Low,Low,Low,3.33
405,6.0,2.0,6.0,Medium,Low,Medium,4.67
406,5.67,5.33,6.67,Medium,Medium,Medium,5.89
407,8.67,5.0,9.0,High,Low,High,7.56
408,8.0,3.0,7.0,Medium,Low,Medium,6.0
409,5.5,5.5,8.0,Medium,Medium,Medium,6.33
410,5.67,6.67,7.0,Medium,Medium,Medium,6.45
411,8.0,2.0,6.0,Medium,Low,Medium,5.33
412,1.0,4.0,5.0,Low,Low,Low,3.33
413,3.67,4.0,7.33,Low,Low,Medium,5.0
414,8.0,4.0,8.5,Medium,Low,High,6.83
415,4.5,8.0,8.5,Low,Medium,High,7.0
416,1.0,8.0,9.0,Low,Medium,High,6.0
417,1.0,7.0,8.0,Low,Medium,Medium,5.33
418,5.67,8.0,8.0,Medium,Medium,Medium,7.22
419,9.0,4.0,8.0,High,Low,Medium,7.0
420,2.5,5.0,7.0,Low,Low,Medium,4.83
421,5.0,6.0,8.0,Low,Medium,Medium,6.33
422,4.67,6.0,7.33,Low,Medium,Medium,6.0
423,7.67,3.67,7.67,Medium,Low,Medium,6.34
424,5.5,4.5,8.0,Medium,Low,Medium,6.0
425,5.0,6.0,8.0,Low,Medium,Medium,6.33
426,7.0,6.0,9.0,Medium,Medium,High,7.33
427,8.0,7.0,8.5,Medium,Medium,High,7.83
428,7.0,4.67,8.67,Medium,Low,High,6.78
429,9.0,3.67,8.0,High,Low,Medium,6.89
430,9.0,2.0,7.0,High,Low,Medium,6.0
431,8.0,8.0,7.0,Medium,Medium,Medium,7.67
432,3.0,3.0,9.0,Low,Low,High,5.0
433,2.0,6.0,7.0,Low,Medium,Medium,5.0
434,8.0,7.0,8.0,Medium,Medium,Medium,7.67
435,8.33,7.33,6.33,High,Medium,Medium,7.33
436,4.0,6.0,4.0,Low,Medium,Low,4.67
437,6.0,6.0,5.0,Medium,Medium,Low,5.67
438,9.0,8.0,8.0,High,Medium,Medium,8.33
439,2.0,2.0,10.0,Low,Low,High,4.67
440,6.0,6.0,7.0,Medium,Medium,Medium,6.33
441,7.0,5.0,7.0,Medium,Low,Medium,6.33
442,5.5,5.5,7.5,Medium,Medium,Medium,6.17
443,8.0,7.5,6.5,Medium,Medium,Medium,7.33
444,8.0,3.0,8.0,Medium,Low,Medium,6.33
445,7.0,3.0,7.0,Medium,Low,Medium,5.67
446,1.0,3.0,10.0,Low,Low,High,4.67
447,8.0,7.0,2.0,Medium,Medium,Low,5.67
448,1.0,9.0,5.0,Low,High,Low,5.0
449,6.0,5.0,7.0,Medium,Low,Medium,6.0
450,8.0,7.5,6.0,Medium,Medium,Medium,7.17
451,3.67,4.67,3.67,Low,Low,Low,4.0
452,5.0,9.0,8.0,Low,High,Medium,7.33
453,8.0,9.0,8.0,Medium,High,Medium,8.33
454,5.0,8.0,6.0,Low,Medium,Medium,6.33
455,7.0,3.0,6.0,Medium,Low,Medium,5.33
456,8.33,6.33,6.33,High,Medium,Medium,7.0
457,4.5,6.5,8.0,Low,Medium,Medium,6.33
458,4.67,3.67,8.67,Low,Low,High,5.67
459,4.5,6.0,6.5,Low,Medium,Medium,5.67
460,8.5,5.5,4.0,High,Medium,Low,6.0
461,7.5,5.5,9.0,Medium,Medium,High,7.33
462,5.0,6.0,7.0,Low,Medium,Medium,6.0
463,5.67,2.33,7.33,Medium,Low,Medium,5.11
464,8.33,5.67,8.33,High,Medium,High,7.44
465,8.0,7.0,8.0,Medium,Medium,Medium,7.67
466,5.5,3.5,7.0,Medium,Low,Medium,5.33
467,8.0,6.0,7.0,Medium,Medium,Medium,7.0
468,1.0,3.0,10.0,Low,Low,High,4.67
469,4.33,7.0,7.67,Low,Medium,Medium,6.33
470,8.0,7.0,7.0,Medium,Medium,Medium,7.33
471,1.0,7.0,8.0,Low,Medium,Medium,5.33
472,4.67,4.33,6.33,Low,Low,Medium,5.11
473,7.5,4.0,7.0,Medium,Low,Medium,6.17
474,4.0,3.0,9.0,Low,Low,High,5.33
475,8.0,7.0,9.0,Medium,Medium,High,8.0
476,8.0,2.0,10.0,Medium,Low,High,6.67
477,2.5,9.5,6.5,Low,High,Medium,6.17
478,6.0,4.0,9.0,Medium,Low,High,6.33
479,5.33,4.67,6.67,Medium,Low,Medium,5.56
480,6.5,6.5,8.5,Medium,Medium,High,7.17
481,3.5,7.0,9.5,Low,Medium,High,6.67
482,2.0,3.0,8.0,Low,Low,Medium,4.33
483,3.0,3.0,6.0,Low,Low,Medium,4.0
484,4.5,5.0,8.5,Low,Low,High,6.0
485,8.0,3.5,8.5,Medium,Low,High,6.67
486,8.0,8.0,1.0,Medium,Medium,Low,5.67
487,8.0,4.0,9.0,Medium,Low,High,7.0
488,6.0,3.0,6.0,Medium,Low,Medium,5.0
489,7.0,8.0,4.0,Medium,Medium,Low,6.33
490,8.0,4.0,10.0,Medium,Low,High,7.33
491,3.5,4.0,8.0,Low,Low,Medium,5.17
492,2.33,6.0,8.0,Low,Medium,Medium,5.44
493,7.0,4.0,8.5,Medium,Low,High,6.5
494,3.0,8.0,4.0,Low,Medium,Low,5.0
495,2.5,7.0,6.0,Low,Medium,Medium,5.17
