attendance_date,age,group_size,food_expense,drink_expense,merch_expense,satisfaction_score,security_rating,cleanliness_rating,recommend_to_friend,total_spent,is_multiday,mean_rating,ticket_id,gender_id,favourite_genre_id,payment_method_id,ticket_type_id,satisfaction_level_id,cleanliness_rating_level_id,security_rating_level_id,group_type_id,age_group_id
2025-05-03,18,4,19.3,18.68,98.17,9,7,3,True,136.15,True,6.33,16,1,2,2,2,3,1,2,3,1
2025-05-03,18,2,49.6,7.96,14.78,6,7,2,False,72.34,True,5.0,17,1,2,2,2,2,1,2,3,1
2025-05-03,25,5,14.11,9.25,3.51,3,7,6,False,26.87,True,5.33,18,1,3,2,2,1,2,2,3,2
2025-05-02,28,4,36.05,9.0,35.05,8,7,5,False,80.1,True,6.67,19,2,2,2,3,2,1,2,3,2
2025-05-03,27,5,9.28,31.41,99.16,6,5,6,True,139.85,True,5.67,20,2,1,2,2,2,2,1,3,2
2025-05-02,30,2,27.26,56.65,67.6,8,7,4,False,151.51,True,6.33,21,2,2,2,2,2,1,2,3,2
2025-05-01,26,4,17.05,35.13,52.02,8,7,3,True,104.2,True,6.0,22,1,1,1,3,2,1,2,3,2
2025-05-01,18,2,29.57,41.24,56.78,3,8,7,True,127.59,False,6.0,23,1,1,2,1,1,2,2,3,1
2025-05-03,32,2,41.33,4.62,73.88,9,8,2,False,119.83,True,6.33,24,2,2,2,3,3,1,2,3,2
2025-05-02,18,3,42.76,28.63,22.54,5,7,3,True,93.93,True,5.0,25,1,2,1,2,1,1,2,3,1
2025-05-03,21,2,45.35,19.68,92.91,1,8,5,True,157.94,False,4.67,26,3,1,2,1,1,1,2,3,1
2025-05-03,26,3,9.27,53.1,77.98,8,6,7,True,140.35,False,7.0,27,1,2,1,1,2,2,2,3,2
2025-05-03,25,1,43.51,58.61,53.85,7,10,3,True,155.97,True,6.67,28,2,2,2,2,2,1,3,3,2
2025-05-01,33,4,42.3,33.9,75.65,1,8,6,False,151.85,False,5.0,29,2,5,2,1,1,2,2,3,2
2025-05-02,22,3,13.41,50.44,67.26,8,6,3,False,131.11,True,5.67,30,1,1,1,2,2,1,2,3,1
2025-05-03,25,4,42.97,38.81,58.37,1,8,4,True,140.15,False,4.33,31,2,1,2,1,1,1,2,3,2
2025-05-01,29,4,18.62,59.62,82.56,8,8,7,False,160.8,True,7.67,32,2,1,2,3,2,2,2,3,2
2025-05-02,30,1,19.69,2.53,57.08,4,7,6,True,79.3,False,5.67,33,2,1,2,1,1,2,2,3,2
2025-05-02,19,5,18.71,45.48,4.27,5,6,5,True,68.46,False,5.33,34,1,4,1,1,1,1,2,3,1
2025-05-01,18,1,44.24,12.38,8.67,8,8,3,True,65.29,True,6.33,35,2,1,2,2,2,1,2,3,1
2025-05-02,18,2,48.04,32.32,44.03,8,7,2,True,124.39,True,5.67,36,1,1,2,2,2,1,2,3,1
2025-05-03,18,5,9.4,36.3,28.84,8,9,7,True,74.54,False,8.0,37,1,2,2,1,2,2,3,3,1
2025-05-03,21,3,41.45,7.18,26.79,9,9,6,False,75.42,True,8.0,38,1,2,2,2,3,2,3,3,1
2025-05-02,31,5,48.13,38.57,17.0,8,8,1,True,103.7,False,5.67,39,1,1,1,1,2,1,2,3,2
2025-05-03,23,3,30.4,8.58,7.04,8,8,8,True,46.02,False,8.0,40,1,3,1,1,2,2,2,3,1
2025-05-03,19,3,36.31,4.6,67.21,4,6,1,True,108.12,True,3.67,41,2,2,2,2,1,1,2,3,1
2025-05-02,26,3,29.48,8.54,20.74,2,7,9,True,58.76,True,6.0,42,1,2,1,2,1,3,2,3,2
2025-05-02,21,4,17.94,37.54,94.2,1,9,2,True,149.68,True,4.0,43,2,4,2,2,1,1,3,3,1
2025-05-02,30,5,30.75,57.29,75.52,4,7,4,True,163.56,False,5.0,44,3,3,2,1,1,1,2,3,2
2025-05-02,24,1,8.86,15.32,55.41,8,9,9,False,79.59,True,8.67,45,2,2,2,2,2,3,3,3,1
2025-05-01,29,4,11.37,7.41,68.27,4,9,1,False,87.05,True,4.67,46,2,2,2,3,1,1,3,3,2
2025-05-03,24,3,45.53,37.76,67.23,5,8,9,True,150.52,True,7.33,47,2,1,2,3,1,3,2,3,1
2025-05-02,20,4,20.16,50.51,21.8,8,2,5,True,92.47,False,5.0,48,3,1,2,1,2,1,1,3,1
2025-05-03,25,3,24.7,12.29,75.64,3,9,9,True,112.63,True,7.0,49,2,1,2,2,1,3,3,3,2
2025-05-03,31,3,36.43,39.62,55.32,2,8,7,True,131.37,False,5.67,50,2,3,2,1,1,2,2,3,2
2025-05-01,27,1,31.66,29.14,91.11,8,7,3,False,151.91,True,6.0,51,2,2,2,2,2,1,2,3,2
2025-05-01,26,2,20.98,9.08,38.31,7,9,6,False,68.37,True,7.33,52,2,3,2,2,2,2,3,3,2
2025-05-03,23,2,26.33,23.98,24.38,6,7,3,True,74.69,True,5.33,53,2,3,2,3,2,1,2,3,1
2025-05-01,23,5,17.69,33.3,11.93,9,8,10,True,62.92,True,9.0,54,2,5,2,2,3,3,2,3,1
2025-05-01,27,5,22.48,41.08,38.64,2,9,7,True,102.2,True,6.0,55,1,1,1,2,1,2,3,3,2
2025-05-02,18,2,17.01,2.72,89.26,3,6,3,True,108.99,True,4.0,56,1,3,2,3,1,1,2,3,1
2025-05-03,20,4,10.86,8.83,80.5,8,6,1,True,100.19,True,5.0,57,2,3,1,2,2,1,2,3,1
2025-05-02,31,2,23.6,18.99,56.63,8,9,2,True,99.22,True,6.33,58,3,2,1,2,2,1,3,3,2
2025-05-02,23,4,38.62,11.79,29.03,1,7,2,True,79.44,True,3.33,59,1,2,2,2,1,1,2,3,1
2025-05-01,24,2,28.3,56.06,87.44,8,10,7,True,171.8,True,8.33,60,1,3,2,2,2,2,3,3,1
2025-05-01,27,2,9.32,20.25,45.21,8,5,2,False,74.78,False,5.0,61,2,2,2,1,2,1,1,3,2
2025-05-01,22,3,8.16,37.39,40.76,6,9,6,False,86.31,True,7.0,62,2,2,2,2,2,2,3,3,1
2025-05-01,18,2,24.11,32.37,91.94,2,7,5,True,148.42,False,4.67,63,1,2,2,1,1,1,2,3,1
2025-05-03,18,5,38.44,9.57,61.3,8,10,3,False,109.31,True,7.0,64,1,5,1,2,2,1,3,3,1
2025-05-02,20,4,25.86,20.18,87.82,5,6,2,True,133.86,True,4.33,65,1,2,1,3,1,1,2,3,1
2025-05-01,19,3,11.53,39.17,43.22,5,8,7,True,93.92,True,6.67,66,2,2,1,2,1,2,2,3,1
2025-05-01,22,3,30.81,46.19,30.87,5,7,6,True,107.87,True,6.0,67,2,2,2,2,1,2,2,3,1
2025-05-02,28,2,40.19,4.99,0.86,8,8,3,True,46.04,True,6.33,68,1,4,2,3,2,1,2,3,2
2025-05-01,26,1,3.53,41.61,48.28,8,9,9,False,93.42,False,8.67,69,2,2,2,1,2,3,3,3,2
2025-05-02,19,5,34.61,1.3,35.53,4,10,2,False,71.44,True,5.33,70,3,1,2,2,1,1,3,3,1
2025-05-02,21,4,14.69,58.81,8.94,7,5,7,True,82.44,False,6.33,71,1,2,2,1,2,2,1,3,1
2025-05-03,27,5,34.34,42.87,97.75,8,10,9,True,174.96,True,9.0,72,2,1,2,2,2,3,3,3,2
2025-05-03,28,3,13.83,10.65,52.62,8,9,8,True,77.1,True,8.33,73,1,1,1,2,2,2,3,3,2
2025-05-01,21,1,7.12,38.98,9.49,8,7,6,True,55.59,False,7.0,74,2,2,2,1,2,2,2,3,1
2025-05-01,23,3,40.34,13.05,43.75,8,9,5,True,97.14,True,7.33,75,2,3,2,3,2,1,3,3,1
2025-05-01,18,4,3.74,12.0,81.99,7,6,7,True,97.73,False,6.67,76,1,1,2,1,2,2,2,3,1
2025-05-01,22,3,45.7,17.97,22.74,5,10,1,False,86.41,True,5.33,77,1,4,2,2,1,1,3,3,1
2025-05-01,21,3,35.81,53.67,65.75,3,8,4,True,155.23,True,5.0,78,1,4,2,2,1,1,2,3,1
2025-05-01,24,5,40.8,39.59,87.04,1,7,2,False,167.43,True,3.33,79,1,2,2,2,1,1,2,3,1
2025-05-02,28,5,28.93,9.91,37.87,8,7,8,True,76.71,False,7.67,80,1,2,2,1,2,2,2,3,2
2025-05-01,27,5,41.66,55.92,81.8,8,8,5,False,179.38,True,7.0,81,3,4,2,3,2,1,2,3,2
2025-05-02,28,3,15.57,25.26,72.62,8,8,4,True,113.45,True,6.67,82,2,5,2,3,2,1,2,3,2
2025-05-03,20,2,6.66,51.67,36.98,1,9,7,False,95.31,False,5.67,83,2,1,1,1,1,2,3,3,1
2025-05-02,22,2,39.98,56.54,74.5,3,7,4,False,171.02,True,4.67,84,2,2,2,2,1,1,2,3,1
2025-05-03,25,5,0.24,26.48,88.36,1,9,3,True,115.08,True,4.33,85,1,1,3,2,1,1,3,3,2
2025-05-03,18,1,45.15,37.9,57.71,4,4,3,True,140.76,False,3.67,86,1,4,2,1,1,1,1,3,1
2025-05-01,26,3,31.1,33.72,69.22,10,10,7,True,134.04,True,9.0,87,1,1,1,2,3,2,3,3,2
2025-05-01,27,3,28.16,25.68,9.49,8,6,3,False,63.33,True,5.67,88,1,3,1,2,2,1,2,3,2
2025-05-01,18,3,17.52,46.02,32.47,8,5,3,True,96.01,False,5.33,89,1,5,1,1,2,1,1,3,1
2025-05-03,26,3,1.35,25.64,89.19,2,6,3,False,116.18,True,3.67,90,1,3,1,2,1,1,2,3,2
2025-05-02,29,3,10.44,54.18,93.91,4,10,10,True,158.53,True,8.0,91,2,1,2,2,1,3,3,3,2
2025-05-02,30,5,48.78,32.13,74.3,8,1,2,True,155.21,True,3.67,92,1,2,2,2,2,1,1,3,2
2025-05-03,31,4,33.62,48.08,73.73,1,9,7,False,155.43,False,5.67,93,1,2,1,1,1,2,3,3,2
2025-05-03,28,2,40.69,19.27,49.9,9,8,6,True,109.86,True,7.67,94,1,3,2,2,3,2,2,3,2
2025-05-02,29,3,42.9,6.47,57.95,6,9,3,True,107.32,False,6.0,95,2,3,2,1,2,1,3,3,2
2025-05-03,31,4,9.45,22.73,26.16,7,9,8,True,58.34,True,8.0,96,1,5,2,3,2,2,3,3,2
2025-05-01,22,3,14.79,57.34,23.76,1,9,5,True,95.89,True,5.0,97,1,1,2,2,1,1,3,3,1
2025-05-01,29,2,6.48,1.65,56.18,8,9,5,True,64.31,True,7.33,98,1,3,1,2,2,1,3,3,2
2025-05-02,29,3,31.9,36.37,44.94,8,10,4,True,113.21,True,7.33,99,1,1,2,3,2,1,3,3,2
2025-05-02,21,2,6.82,25.37,35.24,2,8,4,True,67.43,True,4.67,100,2,2,2,2,1,1,2,3,1
2025-05-01,20,2,48.01,47.34,33.23,8,10,3,False,128.58,True,7.0,101,2,1,2,3,2,1,3,3,1
2025-05-01,25,4,13.92,51.09,49.66,10,9,5,True,114.67,True,8.0,102,1,1,1,3,3,1,3,3,2
2025-05-01,33,4,34.6,40.2,64.62,7,5,6,False,139.42,True,6.0,103,1,3,2,2,2,2,1,3,2
2025-05-03,18,3,9.35,10.89,64.63,8,7,7,False,84.87,True,7.33,104,2,3,2,2,2,2,2,3,1
2025-05-01,18,4,13.83,35.04,63.12,8,8,4,True,111.99,True,6.67,105,1,1,2,2,2,1,2,3,1
2025-05-02,25,5,22.86,55.76,75.07,8,7,3,False,153.69,True,6.0,106,1,3,1,2,2,1,2,3,2
2025-05-01,28,2,22.17,23.16,95.36,8,6,7,True,140.69,True,7.0,107,1,3,2,3,2,2,2,3,2
2025-05-02,23,3,21.0,17.63,42.33,8,9,2,True,80.96,True,6.33,108,2,2,1,2,2,1,3,3,1
2025-05-02,28,3,35.05,2.9,98.85,4,7,6,True,136.8,True,5.67,109,2,2,2,2,1,2,2,3,2
2025-05-02,18,5,13.41,33.29,98.9,8,8,8,True,145.6,True,8.0,110,1,4,2,2,2,2,2,3,1
2025-05-03,28,3,26.38,57.7,4.53,10,5,3,False,88.61,True,6.0,111,1,4,1,2,3,1,1,3,2
2025-05-02,30,3,37.28,20.65,35.88,4,9,6,True,93.81,True,6.33,112,1,1,2,2,1,2,3,3,2
2025-05-01,19,4,25.91,19.56,84.43,1,4,8,True,129.9,True,4.33,113,2,2,1,3,1,2,1,3,1
2025-05-01,29,5,13.45,41.94,78.7,6,10,3,True,134.09,True,6.33,114,1,2,2,2,2,1,3,3,2
2025-05-01,18,3,5.33,44.93,62.53,5,7,5,False,112.79,True,5.67,115,1,3,1,3,1,1,2,3,1
2025-05-03,25,3,43.29,26.53,98.17,8,10,9,False,167.99,True,9.0,116,2,3,2,2,2,3,3,3,2
2025-05-02,31,3,34.79,3.63,8.1,8,7,6,False,46.52,True,7.0,117,2,2,2,3,2,2,2,3,2
2025-05-03,27,5,18.92,3.04,27.4,8,9,2,True,49.36,True,6.33,33,1,3,2,2,2,1,3,3,2
2025-05-03,27,3,44.1,14.06,43.75,1,7,10,True,101.91,True,6.0,118,1,3,2,2,1,3,2,3,2
2025-05-03,30,3,39.68,12.23,43.61,2,8,3,True,95.52,False,4.33,119,1,4,2,1,1,1,2,3,2
2025-05-03,18,5,29.79,1.88,88.28,4,6,4,False,119.95,True,4.67,120,1,1,1,3,1,1,2,3,1
2025-05-01,22,5,17.37,26.25,85.39,8,7,3,False,129.01,False,6.0,121,1,4,2,1,2,1,2,3,1
2025-05-03,18,4,44.2,47.74,90.24,8,7,5,True,182.18,True,6.67,122,2,4,2,3,2,1,2,3,1
2025-05-03,26,2,9.59,59.53,42.05,8,7,3,False,111.17,True,6.0,123,2,1,2,2,2,1,2,3,2
2025-05-03,20,3,44.96,55.95,82.44,6,9,6,False,183.35,False,7.0,124,2,2,2,1,2,2,3,3,1
2025-05-03,27,4,31.08,9.8,56.22,8,9,4,True,97.1,True,7.0,125,1,5,1,2,2,1,3,3,2
2025-05-02,25,3,0.08,57.13,18.85,1,7,4,True,76.06,True,4.0,126,1,5,2,2,1,1,2,3,2
2025-05-03,22,2,31.74,37.96,13.47,8,8,4,True,83.17,True,6.67,127,3,2,2,2,2,1,2,3,1
2025-05-02,18,1,16.67,15.95,53.65,2,7,2,True,86.27,True,3.67,128,3,2,2,2,1,1,2,3,1
2025-05-03,28,5,4.02,34.33,45.42,4,10,1,False,83.77,True,5.0,129,1,2,1,2,1,1,3,3,2
2025-05-03,23,3,6.78,12.23,41.11,2,8,5,False,60.12,True,5.0,130,1,2,2,2,1,1,2,3,1
2025-05-03,29,1,44.57,19.96,29.02,8,1,1,True,93.55,False,3.33,131,1,2,2,1,2,1,1,3,2
2025-05-02,25,2,35.28,45.7,60.76,8,9,6,True,141.74,False,7.67,132,1,2,2,1,2,2,3,3,2
2025-05-01,18,1,47.06,32.9,82.5,8,9,10,False,162.46,True,9.0,133,1,2,2,2,2,3,3,3,1
2025-05-02,20,3,18.97,32.67,27.64,2,10,6,True,79.28,True,6.0,134,2,5,2,2,1,2,3,3,1
2025-05-03,30,4,34.84,31.95,48.53,1,9,9,True,115.32,True,6.33,135,1,3,2,2,1,3,3,3,2
2025-05-01,18,4,36.45,1.45,61.93,7,8,9,True,99.83,True,8.0,136,1,2,1,2,2,3,2,3,1
2025-05-02,23,1,28.25,46.49,93.25,7,7,5,True,167.99,True,6.33,137,1,5,2,2,2,1,2,3,1
2025-05-02,25,4,4.19,16.17,68.25,9,9,8,False,88.61,True,8.67,138,1,3,2,2,3,2,3,3,2
2025-05-02,30,2,43.18,53.09,97.87,2,9,6,True,194.14,True,5.67,139,2,2,2,2,1,2,3,3,2
2025-05-02,28,2,18.86,10.94,39.44,5,10,5,True,69.24,True,6.67,140,1,2,2,2,1,1,3,3,2
2025-05-03,30,3,16.3,33.69,24.2,2,1,7,False,74.19,False,3.33,141,2,2,3,1,1,2,1,3,2
2025-05-02,27,5,33.32,58.18,90.24,5,9,2,True,181.74,True,5.33,142,1,4,2,2,1,1,3,3,2
2025-05-03,18,3,39.74,41.4,46.49,5,8,9,True,127.63,True,7.33,143,1,2,2,2,1,3,2,3,1
2025-05-03,24,3,49.6,9.91,89.86,4,2,2,True,149.37,True,2.67,144,2,1,1,3,1,1,1,3,1
2025-05-01,29,2,44.14,47.48,96.17,4,7,3,True,187.79,True,4.67,145,3,2,2,3,1,1,2,3,2
2025-05-02,26,3,47.85,59.5,47.68,3,5,6,True,155.03,True,4.67,146,1,3,2,2,1,2,1,3,2
2025-05-03,22,3,1.25,38.32,83.14,4,7,3,True,122.71,True,4.67,147,1,3,1,2,1,1,2,3,1
2025-05-01,18,5,24.91,2.68,83.91,8,9,4,True,111.5,True,7.0,148,3,5,1,2,2,1,3,3,1
2025-05-03,30,4,43.48,1.51,24.08,4,9,4,False,69.07,True,5.67,149,1,3,2,3,1,1,3,3,2
2025-05-03,26,4,35.7,47.09,85.79,5,7,5,False,168.58,True,5.67,150,1,1,2,2,1,1,2,3,2
2025-05-02,27,3,43.42,7.44,24.44,8,10,3,True,75.3,False,7.0,151,1,2,2,1,2,1,3,3,2
2025-05-03,30,1,6.06,38.59,7.72,4,9,3,True,52.37,False,5.33,152,3,2,1,1,1,1,3,3,2
2025-05-02,27,5,28.83,37.96,89.02,1,10,7,True,155.81,True,6.0,153,1,2,2,2,1,2,3,3,2
2025-05-03,29,1,48.96,48.68,73.02,9,8,7,True,170.66,False,8.0,154,2,3,2,1,3,2,2,3,2
2025-05-01,29,3,11.7,38.99,80.41,1,9,9,True,131.1,True,6.33,155,1,5,2,2,1,3,3,3,2
2025-05-03,27,5,44.94,52.22,86.38,8,2,2,True,183.54,False,4.0,156,3,1,2,1,2,1,1,3,2
2025-05-01,30,1,31.7,1.8,3.66,3,2,2,False,37.16,True,2.33,157,2,3,2,3,1,1,1,3,2
2025-05-01,22,4,7.16,1.87,67.31,8,6,5,True,76.34,True,6.33,158,2,4,1,2,2,1,2,3,1
2025-05-02,26,5,17.12,1.04,35.1,8,8,7,False,53.26,True,7.67,159,1,4,1,2,2,2,2,3,2
2025-05-03,25,3,23.76,44.81,32.79,4,9,4,True,101.36,True,5.67,160,1,3,2,3,1,1,3,3,2
2025-05-01,20,3,28.72,26.11,28.45,5,8,3,True,83.28,True,5.33,161,2,2,3,3,1,1,2,3,1
2025-05-03,18,4,26.33,57.92,36.58,8,10,6,True,120.83,True,8.0,162,2,2,2,2,2,2,3,3,1
2025-05-02,25,4,2.47,54.53,44.33,8,8,6,True,101.33,True,7.33,163,2,2,1,2,2,2,2,3,2
2025-05-02,34,3,12.03,21.93,87.81,1,10,2,True,121.77,True,4.33,164,2,2,1,3,1,1,3,3,2
2025-05-01,30,3,24.82,3.52,67.73,1,7,8,False,96.07,False,5.33,165,1,1,2,1,1,2,2,3,2
2025-05-01,20,3,8.28,1.85,36.01,6,9,3,True,46.14,True,6.0,166,1,2,2,2,2,1,3,3,1
2025-05-02,33,3,28.72,45.34,1.96,8,8,6,True,76.02,False,7.33,167,2,3,1,1,2,2,2,3,2
2025-05-01,28,3,3.72,32.15,53.77,8,9,7,True,89.64,True,8.0,168,2,2,2,2,2,2,3,3,2
2025-05-03,24,4,37.15,26.49,9.06,1,7,10,True,72.7,True,6.0,169,2,2,1,2,1,3,2,3,1
2025-05-02,23,3,0.97,2.31,45.19,4,8,9,False,48.47,True,7.0,170,1,2,2,2,1,3,2,3,1
2025-05-02,24,2,20.56,51.08,69.23,7,9,3,False,140.87,True,6.33,171,1,1,2,3,2,1,3,3,1
2025-05-02,27,5,13.88,31.8,9.13,3,9,9,True,54.81,False,7.0,172,1,5,2,1,1,3,3,3,2
2025-05-03,18,4,0.32,7.79,18.94,4,7,10,True,27.05,True,7.0,173,2,2,2,2,1,3,2,3,1
2025-05-03,25,5,5.97,46.94,21.21,8,1,9,False,74.12,True,6.0,174,2,2,2,2,2,3,1,3,2
2025-05-03,19,3,45.02,4.57,33.71,6,2,9,True,83.3,True,5.67,175,2,5,2,3,2,3,1,3,1
2025-05-01,26,4,43.09,38.79,54.41,5,9,4,True,136.29,True,6.0,176,1,1,1,3,1,1,3,3,2
2025-05-03,21,5,47.31,35.51,44.81,6,10,2,True,127.63,True,6.0,177,2,1,2,2,2,1,3,3,1
2025-05-01,28,3,9.31,20.28,16.8,8,9,7,True,46.39,True,8.0,178,2,1,2,2,2,2,3,3,2
2025-05-03,24,3,34.51,45.3,5.02,1,7,3,True,84.83,True,3.67,179,1,5,2,3,1,1,2,3,1
2025-05-02,29,1,10.04,43.64,42.0,9,10,6,True,95.68,False,8.33,180,2,1,1,1,3,2,3,3,2
2025-05-02,26,1,36.61,49.48,18.96,7,8,4,True,105.05,True,6.33,181,1,2,2,2,2,1,2,3,2
2025-05-02,25,4,15.93,35.37,88.23,8,8,8,False,139.53,True,8.0,182,2,2,2,2,2,2,2,3,2
2025-05-03,18,4,26.67,0.87,32.94,8,6,4,True,60.48,True,6.0,183,2,2,1,2,2,1,2,3,1
2025-05-02,24,3,44.35,2.15,28.73,1,7,6,False,75.23,False,4.67,184,1,3,2,1,1,2,2,3,1
2025-05-03,29,4,37.64,1.26,1.38,9,8,9,False,40.28,True,8.67,185,2,2,1,2,3,3,2,3,2
2025-05-02,29,4,32.44,4.79,45.71,2,10,5,True,82.94,True,5.67,186,2,1,1,2,1,1,3,3,2
2025-05-03,30,3,24.47,36.08,51.27,8,8,4,False,111.82,True,6.67,187,2,3,2,2,2,1,2,3,2
2025-05-03,18,5,22.18,40.33,87.7,8,6,4,False,150.21,False,6.0,188,1,3,1,1,2,1,2,3,1
2025-05-02,18,4,4.22,53.25,81.6,7,7,2,True,139.07,True,5.33,189,3,1,2,2,2,1,2,3,1
2025-05-01,26,4,39.9,38.38,81.22,5,9,5,False,159.5,True,6.33,190,1,4,1,2,1,1,3,3,2
2025-05-01,23,5,20.41,55.88,53.03,1,9,5,False,129.32,True,5.0,191,1,3,1,2,1,1,3,3,1
2025-05-03,23,2,6.45,21.14,23.3,9,8,8,True,50.89,True,8.33,192,1,4,2,2,3,2,2,3,1
2025-05-01,18,4,36.81,40.78,7.12,8,7,3,True,84.71,False,6.0,193,1,2,2,1,2,1,2,3,1
2025-05-02,18,2,6.89,6.52,73.09,7,8,2,False,86.5,True,5.67,194,1,2,1,2,2,1,2,3,1
2025-05-01,19,3,7.03,12.73,20.98,9,10,1,True,40.74,True,6.67,195,1,1,2,2,3,1,3,3,1
2025-05-02,32,5,20.49,18.94,80.77,3,7,1,False,120.2,True,3.67,196,1,1,2,2,1,1,2,3,2
2025-05-03,21,3,41.45,44.18,86.46,1,9,4,True,172.09,True,4.67,197,2,1,2,2,1,1,3,3,1
2025-05-02,18,2,43.12,7.31,73.46,4,7,4,True,123.89,True,5.0,198,1,3,2,3,1,1,2,3,1
2025-05-03,25,3,34.87,49.3,29.22,8,7,6,False,113.39,True,7.0,199,2,2,2,2,2,2,2,3,2
2025-05-03,31,2,28.22,22.22,75.27,8,8,3,True,125.71,True,6.33,106,2,3,2,2,2,1,2,3,2
2025-05-02,32,1,13.85,12.81,15.07,6,8,9,True,41.73,True,7.67,200,1,2,1,2,2,3,2,3,2
2025-05-02,18,2,23.87,29.97,86.69,2,8,9,True,140.53,True,6.33,201,1,5,1,2,1,3,2,3,1
2025-05-01,22,4,40.98,55.21,84.27,9,7,9,True,180.46,False,8.33,202,2,1,2,1,3,3,2,3,1
2025-05-02,28,3,15.17,56.6,62.95,8,10,6,False,134.72,False,8.0,203,1,1,2,1,2,2,3,3,2
2025-05-01,30,5,29.05,10.23,80.17,7,10,4,False,119.45,True,7.0,204,1,2,1,2,2,1,3,3,2
2025-05-02,25,2,29.82,33.62,66.11,1,9,7,False,129.55,True,5.67,205,2,2,1,2,1,2,3,3,2
2025-05-01,29,2,35.85,2.61,61.69,4,8,6,True,100.15,True,6.0,206,1,5,2,3,1,2,2,3,2
2025-05-02,23,1,36.94,21.27,53.43,7,7,4,False,111.64,True,6.0,207,1,2,1,3,2,1,2,3,1
2025-05-02,27,2,44.95,28.92,44.69,8,6,7,True,118.56,True,7.0,208,2,2,1,3,2,2,2,3,2
2025-05-01,21,3,20.76,51.71,56.74,8,6,8,True,129.21,True,7.33,209,1,3,2,2,2,2,2,3,1
2025-05-01,23,1,10.41,18.63,1.1,9,9,2,False,30.14,True,6.67,210,1,2,2,2,3,1,3,3,1
2025-05-01,23,4,35.76,59.6,95.79,1,8,6,True,191.15,True,5.0,211,1,5,1,2,1,2,2,3,1
2025-05-03,25,4,44.49,31.59,20.28,8,6,4,True,96.36,True,6.0,212,1,1,2,3,2,1,2,3,2
2025-05-03,27,3,14.17,5.45,7.66,7,7,2,False,27.28,True,5.33,213,1,4,2,2,2,1,2,3,2
2025-05-02,29,3,19.41,30.38,78.97,4,8,2,True,128.76,True,4.67,214,1,5,2,2,1,1,2,3,2
2025-05-02,21,5,33.67,22.2,22.92,8,9,3,False,78.79,True,6.67,215,1,3,2,2,2,1,3,3,1
2025-05-03,22,5,19.37,10.24,86.86,8,10,6,True,116.47,False,8.0,216,1,3,1,1,2,2,3,3,1
2025-05-02,24,3,49.08,57.84,71.09,3,7,5,True,178.01,True,5.0,217,2,2,1,2,1,1,2,3,1
2025-05-01,28,1,45.54,32.61,71.97,6,10,4,False,150.12,True,6.67,218,1,4,2,2,2,1,3,3,2
2025-05-03,21,5,29.54,10.56,65.88,1,8,5,True,105.98,True,4.67,219,1,3,2,2,1,1,2,3,1
2025-05-01,22,2,48.63,36.07,83.28,6,9,6,True,167.98,True,7.0,220,2,1,2,2,2,2,3,3,1
2025-05-01,27,3,9.95,13.85,61.64,2,6,5,True,85.44,True,4.33,221,1,2,1,2,1,1,2,3,2
2025-05-01,23,3,10.53,20.69,44.76,8,8,7,True,75.98,True,7.67,222,1,2,2,2,2,2,2,3,1
