ticket_id,ticket_type,attendance_date,age,gender,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,satisfaction_rating,security_rating,cleanliness_rating,recommend_to_friend
29,1-day Pass,2025-05-01,21,Male,3,42.3,33.9,75.65,Card,Electronic,8,9,10,False
30,3-day Pass,2025-05-02,20,Female,4,13.41,50.44,67.26,Card,Pop,7,10,5,False
31,1-day Pass,2025-05-03,18,Male,2,42.97,38.81,58.37,Card,Pop,8,7,6,True
32,VIP,2025-05-01,24,Male,5,18.62,59.62,82.56,Card,Pop,5,7,1,False
33,1-day Pass,2025-05-02,19,Male,3,19.69,2.53,57.08,Card,Pop,8,8,4,True
34,1-day Pass,2025-05-02,25,Female,2,18.71,45.48,4.27,Card,Reggaeton,8,9,5,True
35,3-day Pass,2025-05-01,31,Male,2,44.24,12.38,8.67,Cash,Pop,4,10,5,True
36,3-day Pass,2025-05-02,30,Female,4,48.04,32.32,44.03,Card,Pop,7,8,2,True
37,1-day Pass,2025-05-03,26,Female,3,9.4,36.3,28.84,Card,Rock,6,6,6,True
38,3-day Pass,2025-05-03,18,Female,5,41.45,7.18,26.79,Card,Rock,8,9,6,False
39,1-day Pass,2025-05-02,29,Female,2,48.13,38.57,17.0,Card,Pop,1,10,10,True
40,1-day Pass,2025-05-03,25,Female,4,30.4,8.58,7.04,Card,Hip-Hop,6,9,2,True
41,3-day Pass,2025-05-03,22,Female,5,36.31,4.6,67.21,Card,Rock,9,8,6,True
42,3-day Pass,2025-05-02,28,Female,3,29.48,8.54,20.74,Card,Rock,8,8,6,True
43,3-day Pass,2025-05-02,18,Male,5,17.94,37.54,94.2,Cash,Reggaeton,8,9,5,True
44,1-day Pass,2025-05-02,29,Female,3,30.75,57.29,75.52,Card,Hip-Hop,1,8,6,True
45,3-day Pass,2025-05-02,27,Male,5,8.86,15.32,55.41,Card,Rock,6,10,2,False
46,VIP,2025-05-01,23,Female,4,11.37,7.41,68.27,Cash,Rock,10,8,2,False
47,VIP,2025-05-03,30,Male,3,45.53,37.76,67.23,Card,Pop,2,9,2,True
48,1-day Pass,2025-05-02,22,Other,4,20.16,50.51,21.8,Cash,Pop,5,9,5,True
49,3-day Pass,2025-05-03,22,Male,3,24.7,12.29,75.64,Card,Pop,2,6,2,True
50,1-day Pass,2025-05-03,32,Male,5,36.43,39.62,55.32,Cash,Hip-Hop,4,9,7,True
51,3-day Pass,2025-05-01,27,Male,4,31.66,29.14,91.11,Card,Rock,5,1,3,False
52,3-day Pass,2025-05-01,20,Male,3,20.98,9.08,38.31,Cash,Hip-Hop,1,9,4,False
53,VIP,2025-05-03,29,Female,2,26.33,23.98,24.38,Card,Hip-Hop,7,8,7,True
54,3-day Pass,2025-05-01,31,Male,4,17.69,33.3,11.93,Cash,Electronic,8,7,5,True
55,3-day Pass,2025-05-01,33,Female,4,22.48,41.08,38.64,Card,Pop,5,9,2,True
56,VIP,2025-05-02,24,Female,3,17.01,2.72,89.26,Card,Hip-Hop,4,7,5,True
57,3-day Pass,2025-05-03,25,Female,3,10.86,8.83,80.5,Cash,Hip-Hop,8,8,5,True
58,VIP,2025-05-02,28,Female,3,23.6,18.99,56.63,Card,Rock,9,8,3,True
59,3-day Pass,2025-05-02,20,Female,3,38.62,11.79,29.03,Cash,Rock,7,8,6,True
60,3-day Pass,2025-05-01,24,Female,4,28.3,56.06,87.44,Cash,Hip-Hop,9,9,2,True
61,1-day Pass,2025-05-01,24,Male,4,9.32,20.25,45.21,Card,Rock,8,6,3,False
62,3-day Pass,2025-05-01,30,Male,5,8.16,37.39,40.76,Card,Rock,7,9,3,False
63,1-day Pass,2025-05-01,26,Female,3,24.11,32.37,91.94,Card,Rock,9,7,3,True
64,3-day Pass,2025-05-03,24,Female,3,38.44,9.57,61.3,Cash,Electronic,5,7,6,False
65,VIP,2025-05-02,25,Female,4,25.86,20.18,87.82,Card,Rock,3,8,5,True
66,3-day Pass,2025-05-01,26,Male,3,11.53,39.17,43.22,Card,Rock,8,9,3,True
67,3-day Pass,2025-05-01,27,Male,1,30.81,46.19,30.87,Card,Rock,5,2,7,True
68,VIP,2025-05-02,23,Female,4,40.19,4.99,0.86,Cash,Reggaeton,5,6,3,True
69,1-day Pass,2025-05-01,23,Other,2,3.53,41.61,48.28,Card,Rock,5,8,5,False
70,3-day Pass,2025-05-02,23,Female,2,34.61,1.3,35.53,Card,Pop,5,7,8,False
71,1-day Pass,2025-05-02,27,Female,2,14.69,58.81,8.94,Card,Rock,2,8,9,True
72,3-day Pass,2025-05-03,18,Male,4,34.34,42.87,97.75,Card,Pop,7,10,3,True
73,3-day Pass,2025-05-03,30,Female,5,13.83,10.65,52.62,Card,Pop,8,8,5,True
74,1-day Pass,2025-05-01,18,Male,3,7.12,38.98,9.49,Cash,Rock,8,8,4,True
75,VIP,2025-05-01,25,Male,5,40.34,13.05,43.75,Card,Hip-Hop,6,8,4,True
76,1-day Pass,2025-05-01,30,Female,3,3.74,12.0,81.99,Card,Pop,4,8,5,True
77,3-day Pass,2025-05-01,25,Female,4,45.7,17.97,22.74,Card,Reggaeton,2,9,3,False
78,3-day Pass,2025-05-01,18,Male,2,35.81,53.67,65.75,Card,Reggaeton,1,9,6,True
79,3-day Pass,2025-05-01,28,Female,3,40.8,39.59,87.04,Card,Rock,5,8,3,False
80,1-day Pass,2025-05-02,26,Female,5,28.93,9.91,37.87,Card,Rock,6,6,5,True
81,VIP,2025-05-01,28,Female,2,41.66,55.92,81.8,Festival App,Reggaeton,6,6,7,False
82,VIP,2025-05-02,24,Female,4,15.57,25.26,72.62,Card,Electronic,8,7,3,True
83,1-day Pass,2025-05-03,30,Male,3,6.66,51.67,36.98,Card,Pop,7,9,2,False
84,3-day Pass,2025-05-02,18,Female,2,39.98,56.54,74.5,Cash,Rock,8,7,3,False
85,3-day Pass,2025-05-03,25,Female,4,0.24,26.48,88.36,Card,Pop,1,8,3,True
86,1-day Pass,2025-05-03,26,Female,5,45.15,37.9,57.71,Card,Reggaeton,9,6,7,True
87,3-day Pass,2025-05-01,27,Female,2,31.1,33.72,69.22,Card,Pop,8,9,6,True
88,3-day Pass,2025-05-01,23,Female,4,28.16,25.68,9.49,Cash,Hip-Hop,4,10,6,False
89,1-day Pass,2025-05-01,25,Female,1,17.52,46.02,32.47,Cash,Electronic,1,9,5,True
90,3-day Pass,2025-05-03,26,Female,5,1.35,25.64,89.19,Cash,Hip-Hop,1,8,4,False
91,3-day Pass,2025-05-02,28,Male,4,10.44,54.18,93.91,Card,Pop,1,8,6,True
92,3-day Pass,2025-05-02,33,Female,5,48.78,32.13,74.3,Card,Rock,8,9,4,True
93,1-day Pass,2025-05-03,21,Female,5,33.62,48.08,73.73,Card,Rock,5,5,4,False
94,3-day Pass,2025-05-03,20,Female,3,40.69,19.27,49.9,Card,Hip-Hop,4,1,6,True
95,1-day Pass,2025-05-02,20,Male,2,42.9,6.47,57.95,Card,Hip-Hop,6,9,6,True
96,VIP,2025-05-03,21,Female,2,9.45,22.73,26.16,Card,Electronic,8,7,2,True
97,3-day Pass,2025-05-01,31,Female,3,14.79,57.34,23.76,Cash,Pop,8,5,3,True
98,3-day Pass,2025-05-01,18,Other,4,6.48,1.65,56.18,Cash,Hip-Hop,8,7,8,True
99,VIP,2025-05-02,20,Female,4,31.9,36.37,44.94,Cash,Pop,1,10,4,True
100,3-day Pass,2025-05-02,26,Male,4,6.82,25.37,35.24,Card,Rock,1,10,7,True
101,VIP,2025-05-01,23,Male,2,48.01,47.34,33.23,Card,Pop,5,8,6,False
102,VIP,2025-05-01,23,Female,3,13.92,51.09,49.66,Card,Pop,8,4,8,True
103,3-day Pass,2025-05-01,25,Female,3,34.6,40.2,64.62,Cash,Hip-Hop,7,8,3,False
104,3-day Pass,2025-05-03,18,Male,4,9.35,10.89,64.63,Card,Hip-Hop,4,8,9,False
105,3-day Pass,2025-05-01,31,Female,5,13.83,35.04,63.12,Card,Pop,6,6,3,True
106,3-day Pass,2025-05-02,18,Female,4,22.86,55.76,75.07,Card,Hip-Hop,2,7,3,False
107,VIP,2025-05-01,22,Female,4,22.17,23.16,95.36,Cash,Hip-Hop,1,2,7,True
108,3-day Pass,2025-05-02,23,Female,5,21.0,17.63,42.33,Cash,Rock,2,6,6,True
109,3-day Pass,2025-05-02,19,Male,2,35.05,2.9,98.85,Festival App,Rock,7,5,3,True
110,3-day Pass,2025-05-02,18,Female,5,13.41,33.29,98.9,Card,Reggaeton,6,7,8,True
111,3-day Pass,2025-05-03,23,Female,3,26.38,57.7,4.53,Card,Reggaeton,4,8,10,False
112,3-day Pass,2025-05-02,18,Female,5,37.28,20.65,35.88,Card,Pop,1,10,10,True
113,VIP,2025-05-01,28,Male,2,25.91,19.56,84.43,Card,Rock,3,2,6,True
114,3-day Pass,2025-05-01,26,Female,4,13.45,41.94,78.7,Cash,Rock,6,10,4,True
115,VIP,2025-05-01,30,Female,4,5.33,44.93,62.53,Cash,Hip-Hop,4,1,6,False
116,3-day Pass,2025-05-03,18,Male,4,43.29,26.53,98.17,Card,Hip-Hop,8,9,7,False
117,VIP,2025-05-02,19,Male,3,34.79,3.63,8.1,Cash,Rock,10,6,4,False
33,3-day Pass,2025-05-03,27,Female,5,18.92,3.04,27.4,Card,Hip-Hop,8,8,5,True
118,3-day Pass,2025-05-03,23,Female,1,44.1,14.06,43.75,Card,Hip-Hop,4,7,2,True
119,1-day Pass,2025-05-03,28,Female,4,39.68,12.23,43.61,Card,Reggaeton,1,10,3,True
120,VIP,2025-05-03,25,Female,3,29.79,1.88,88.28,Card,Pop,8,5,6,False
121,1-day Pass,2025-05-01,26,Female,3,17.37,26.25,85.39,Cash,Reggaeton,8,9,3,False
122,VIP,2025-05-03,19,Male,3,44.2,47.74,90.24,Cash,Reggaeton,8,8,2,True
123,3-day Pass,2025-05-03,29,Other,3,9.59,59.53,42.05,Card,Pop,4,9,9,False
124,1-day Pass,2025-05-03,33,Male,4,44.96,55.95,82.44,Card,Rock,8,7,3,False
125,3-day Pass,2025-05-03,29,Female,2,31.08,9.8,56.22,Cash,Electronic,1,7,9,True
126,3-day Pass,2025-05-02,26,Female,4,0.08,57.13,18.85,Card,Electronic,6,7,2,True
127,3-day Pass,2025-05-03,18,Female,5,31.74,37.96,13.47,Cash,Rock,4,9,2,True
128,3-day Pass,2025-05-02,22,Female,2,16.67,15.95,53.65,Festival App,Rock,4,7,7,True
129,3-day Pass,2025-05-03,26,Male,1,4.02,34.33,45.42,Card,Rock,7,5,8,False
130,3-day Pass,2025-05-03,25,Female,5,6.78,12.23,41.11,Card,Rock,9,9,4,False
131,1-day Pass,2025-05-03,29,Female,3,44.57,19.96,29.02,Card,Rock,1,7,6,True
132,1-day Pass,2025-05-02,26,Male,3,35.28,45.7,60.76,Card,Rock,6,7,4,True
133,3-day Pass,2025-05-01,20,Female,3,47.06,32.9,82.5,Card,Rock,3,7,4,False
134,3-day Pass,2025-05-02,28,Male,4,18.97,32.67,27.64,Card,Electronic,8,5,3,True
135,3-day Pass,2025-05-03,29,Female,2,34.84,31.95,48.53,Cash,Hip-Hop,8,6,6,True
136,3-day Pass,2025-05-01,28,Female,5,36.45,1.45,61.93,Cash,Rock,9,8,2,True
137,3-day Pass,2025-05-02,27,Female,3,28.25,46.49,93.25,Card,Electronic,1,5,2,True
138,3-day Pass,2025-05-02,31,Female,2,4.19,16.17,68.25,Card,Hip-Hop,6,10,6,False
139,3-day Pass,2025-05-02,25,Female,4,43.18,53.09,97.87,Cash,Rock,6,8,3,True
140,3-day Pass,2025-05-02,26,Female,5,18.86,10.94,39.44,Cash,Rock,8,8,7,True
141,1-day Pass,2025-05-03,29,Male,1,16.3,33.69,24.2,Card,Rock,8,8,10,False
142,3-day Pass,2025-05-02,20,Female,4,33.32,58.18,90.24,Card,Reggaeton,8,6,5,True
143,3-day Pass,2025-05-03,28,Female,1,39.74,41.4,46.49,Cash,Rock,5,7,4,True
144,VIP,2025-05-03,24,Male,4,49.6,9.91,89.86,Card,Pop,7,2,3,True
145,VIP,2025-05-01,18,Female,5,44.14,47.48,96.17,Cash,Rock,4,7,3,True
146,3-day Pass,2025-05-02,31,Male,2,47.85,59.5,47.68,Card,Hip-Hop,8,5,2,True
147,VIP,2025-05-03,25,Female,5,1.25,38.32,83.14,Card,Hip-Hop,1,6,9,True
148,3-day Pass,2025-05-01,30,Female,5,24.91,2.68,83.91,Card,Electronic,6,6,6,True
149,VIP,2025-05-03,22,Female,3,43.48,1.51,24.08,Card,Hip-Hop,6,10,2,False
150,3-day Pass,2025-05-03,29,Female,5,35.7,47.09,85.79,Card,Pop,7,8,3,False
151,1-day Pass,2025-05-02,18,Female,4,43.42,7.44,24.44,Card,Rock,7,9,2,True
152,1-day Pass,2025-05-03,25,Female,5,6.06,38.59,7.72,Card,Rock,8,8,6,True
153,3-day Pass,2025-05-02,29,Other,3,28.83,37.96,89.02,Cash,Rock,4,8,7,True
154,1-day Pass,2025-05-03,25,Male,5,48.96,48.68,73.02,Card,Hip-Hop,8,7,9,True
155,3-day Pass,2025-05-01,24,Female,3,11.7,38.99,80.41,Card,Electronic,4,7,3,True
156,1-day Pass,2025-05-03,24,Other,5,44.94,52.22,86.38,Card,Pop,2,9,4,True
157,VIP,2025-05-01,29,Male,5,31.7,1.8,3.66,Card,Hip-Hop,9,8,5,False
158,3-day Pass,2025-05-01,28,Male,3,7.16,1.87,67.31,Card,Reggaeton,8,6,6,True
159,3-day Pass,2025-05-02,26,Female,3,17.12,1.04,35.1,Card,Reggaeton,7,6,3,False
160,VIP,2025-05-03,26,Female,4,23.76,44.81,32.79,Card,Hip-Hop,6,7,9,True
161,VIP,2025-05-01,27,Male,3,28.72,26.11,28.45,Cash,Rock,9,7,9,True
162,3-day Pass,2025-05-03,30,Female,2,26.33,57.92,36.58,Card,Rock,8,9,4,True
163,3-day Pass,2025-05-02,27,Other,3,2.47,54.53,44.33,Card,Rock,1,10,10,True
164,VIP,2025-05-02,18,Male,3,12.03,21.93,87.81,Festival App,Rock,8,9,6,True
165,1-day Pass,2025-05-01,24,Female,2,24.82,3.52,67.73,Card,Pop,8,10,4,False
166,3-day Pass,2025-05-01,23,Female,5,8.28,1.85,36.01,Card,Rock,9,9,9,True
167,1-day Pass,2025-05-02,23,Male,4,28.72,45.34,1.96,Cash,Hip-Hop,8,10,4,True
168,3-day Pass,2025-05-01,30,Male,2,3.72,32.15,53.77,Cash,Rock,5,8,3,True
169,3-day Pass,2025-05-03,18,Male,4,37.15,26.49,9.06,Card,Rock,4,7,9,True
170,3-day Pass,2025-05-02,25,Male,3,0.97,2.31,45.19,Cash,Rock,1,9,7,False
171,VIP,2025-05-02,30,Male,4,20.56,51.08,69.23,Cash,Pop,6,8,7,False
172,1-day Pass,2025-05-02,29,Female,4,13.88,31.8,9.13,Card,Electronic,8,2,5,True
173,3-day Pass,2025-05-03,26,Male,2,0.32,7.79,18.94,Cash,Rock,7,7,2,True
174,3-day Pass,2025-05-03,18,Male,5,5.97,46.94,21.21,Card,Rock,8,8,4,False
175,VIP,2025-05-03,18,Male,5,45.02,4.57,33.71,Card,Electronic,6,7,5,True
176,VIP,2025-05-01,30,Female,4,43.09,38.79,54.41,Card,Pop,2,8,2,True
177,3-day Pass,2025-05-03,29,Male,2,47.31,35.51,44.81,Card,Pop,1,7,8,True
178,3-day Pass,2025-05-01,25,Male,3,9.31,20.28,16.8,Card,Pop,8,9,5,True
179,VIP,2025-05-03,21,Female,1,34.51,45.3,5.02,Card,Electronic,6,9,5,True
180,1-day Pass,2025-05-02,33,Male,4,10.04,43.64,42.0,Card,Pop,8,10,6,True
181,3-day Pass,2025-05-02,18,Female,2,36.61,49.48,18.96,Cash,Rock,7,10,9,True
182,3-day Pass,2025-05-02,18,Female,4,15.93,35.37,88.23,Festival App,Rock,8,9,6,False
183,3-day Pass,2025-05-03,23,Male,5,26.67,0.87,32.94,Card,Rock,4,9,4,True
184,1-day Pass,2025-05-02,22,Female,1,44.35,2.15,28.73,Cash,Hip-Hop,9,5,10,False
185,3-day Pass,2025-05-03,25,Male,3,37.64,1.26,1.38,Card,Rock,4,9,2,False
186,3-day Pass,2025-05-02,22,Male,1,32.44,4.79,45.71,Card,Pop,8,7,3,True
187,3-day Pass,2025-05-03,18,Male,4,24.47,36.08,51.27,Cash,Hip-Hop,8,10,4,False
188,1-day Pass,2025-05-03,30,Female,3,22.18,40.33,87.7,Card,Hip-Hop,8,7,2,False
189,3-day Pass,2025-05-02,21,Female,3,4.22,53.25,81.6,Card,Pop,1,6,6,True
190,3-day Pass,2025-05-01,24,Female,4,39.9,38.38,81.22,Festival App,Reggaeton,9,2,5,False
191,3-day Pass,2025-05-01,21,Other,2,20.41,55.88,53.03,Card,Hip-Hop,6,9,6,False
192,3-day Pass,2025-05-03,26,Male,2,6.45,21.14,23.3,Card,Reggaeton,8,10,7,True
193,1-day Pass,2025-05-01,18,Other,4,36.81,40.78,7.12,Cash,Rock,10,9,7,True
194,3-day Pass,2025-05-02,23,Female,3,6.89,6.52,73.09,Card,Rock,8,8,4,False
195,3-day Pass,2025-05-01,18,Female,2,7.03,12.73,20.98,Card,Pop,10,8,2,True
196,3-day Pass,2025-05-02,25,Female,3,20.49,18.94,80.77,Card,Pop,8,9,3,False
197,3-day Pass,2025-05-03,30,Male,5,41.45,44.18,86.46,Cash,Pop,4,1,6,True
198,VIP,2025-05-02,26,Female,2,43.12,7.31,73.46,Cash,Hip-Hop,6,8,5,True
199,3-day Pass,2025-05-03,25,Male,3,34.87,49.3,29.22,Cash,Rock,8,10,2,False
106,3-day Pass,2025-05-03,22,Male,4,28.22,22.22,75.27,Card,Hip-Hop,4,6,6,True
200,3-day Pass,2025-05-02,28,Female,4,13.85,12.81,15.07,Card,Rock,6,8,5,True
201,3-day Pass,2025-05-02,18,Female,3,23.87,29.97,86.69,Festival App,Electronic,10,2,6,True
202,1-day Pass,2025-05-01,27,Male,5,40.98,55.21,84.27,Card,Pop,4,8,6,True
203,1-day Pass,2025-05-02,18,Female,3,15.17,56.6,62.95,Cash,Pop,7,9,7,False
204,3-day Pass,2025-05-01,20,Female,5,29.05,10.23,80.17,Card,Rock,9,8,3,False
205,3-day Pass,2025-05-02,28,Male,4,29.82,33.62,66.11,Card,Rock,8,9,7,False
206,VIP,2025-05-01,25,Female,3,35.85,2.61,61.69,Cash,Electronic,8,7,4,True
207,VIP,2025-05-02,22,Female,2,36.94,21.27,53.43,Card,Rock,1,8,7,False
208,VIP,2025-05-02,23,Male,5,44.95,28.92,44.69,Card,Rock,6,7,9,True
209,3-day Pass,2025-05-01,20,Female,2,20.76,51.71,56.74,Card,Hip-Hop,8,10,6,True
210,3-day Pass,2025-05-01,33,Male,4,10.41,18.63,1.1,Card,Rock,8,7,8,False
211,3-day Pass,2025-05-01,19,Female,5,35.76,59.6,95.79,Card,Electronic,4,9,7,True
212,VIP,2025-05-03,20,Female,4,44.49,31.59,20.28,Card,Pop,9,10,2,True
213,3-day Pass,2025-05-03,24,Female,5,14.17,5.45,7.66,Cash,Reggaeton,1,10,3,False
214,3-day Pass,2025-05-02,19,Female,5,19.41,30.38,78.97,Card,Electronic,8,8,5,True
215,3-day Pass,2025-05-02,28,Female,2,33.67,22.2,22.92,Card,Hip-Hop,7,4,2,False
216,1-day Pass,2025-05-03,18,Female,5,19.37,10.24,86.86,Card,Hip-Hop,1,6,7,True
217,3-day Pass,2025-05-02,22,Female,4,49.08,57.84,71.09,Card,Rock,10,9,1,True
218,3-day Pass,2025-05-01,23,Female,4,45.54,32.61,71.97,Card,Reggaeton,7,10,5,False
219,3-day Pass,2025-05-03,27,Female,2,29.54,10.56,65.88,Card,Hip-Hop,4,9,5,True
220,3-day Pass,2025-05-01,25,Male,3,48.63,36.07,83.28,Cash,Pop,8,6,7,True
221,3-day Pass,2025-05-01,27,Female,2,9.95,13.85,61.64,Cash,Rock,2,7,7,True
222,3-day Pass,2025-05-01,25,Female,2,10.53,20.69,44.76,Cash,Rock,1,8,5,True
223,VIP,2025-05-01,28,Female,4,37.31,49.91,2.13,Card,Reggaeton,5,1,3,False
224,3-day Pass,2025-05-03,27,Male,2,15.0,8.4,75.27,Cash,Hip-Hop,4,8,4,True
225,3-day Pass,2025-05-02,24,Female,4,48.47,28.49,76.31,Card,Pop,8,7,1,True
226,3-day Pass,2025-05-03,30,Male,3,9.53,51.95,36.07,Card,Electronic,1,10,5,True
227,1-day Pass,2025-05-03,23,Male,5,6.62,48.59,58.05,Cash,Hip-Hop,7,8,7,False
228,VIP,2025-05-02,24,Female,1,5.27,55.45,95.77,Card,Rock,4,7,10,True
229,3-day Pass,2025-05-02,19,Male,3,49.5,3.76,8.47,Card,Rock,8,9,9,False
230,3-day Pass,2025-05-01,25,Male,1,37.09,42.51,51.13,Card,Pop,1,5,6,True
231,3-day Pass,2025-05-03,28,Female,1,36.09,5.91,27.77,Card,Pop,6,7,6,True
232,3-day Pass,2025-05-03,27,Male,3,38.15,28.57,35.94,Card,Rock,8,7,5,True
233,3-day Pass,2025-05-01,25,Male,1,16.62,25.09,56.65,Card,Rock,5,8,8,True
234,VIP,2025-05-02,27,Male,4,24.72,34.18,88.5,Card,Rock,9,9,3,True
235,VIP,2025-05-03,27,Male,4,1.56,21.74,7.3,Card,Rock,8,9,3,False
236,3-day Pass,2025-05-01,28,Male,3,32.64,43.0,73.98,Cash,Rock,8,8,8,True
237,VIP,2025-05-03,18,Female,3,30.98,32.22,51.22,Card,Rock,5,6,2,False
238,3-day Pass,2025-05-01,18,Male,3,11.18,43.6,74.04,Card,Reggaeton,4,8,3,False
239,1-day Pass,2025-05-02,20,Female,4,49.82,12.8,48.91,Card,Pop,4,8,1,False
240,3-day Pass,2025-05-03,31,Male,4,23.39,34.07,94.05,Card,Reggaeton,5,5,10,False
241,1-day Pass,2025-05-03,18,Female,2,31.85,53.22,7.64,Card,Reggaeton,8,10,2,False
242,3-day Pass,2025-05-01,22,Male,4,40.35,17.0,67.6,Card,Hip-Hop,4,5,4,False
243,3-day Pass,2025-05-02,24,Male,1,19.92,12.1,13.38,Cash,Pop,8,2,4,True
244,3-day Pass,2025-05-03,18,Male,4,1.84,57.23,51.61,Card,Pop,8,9,7,True
245,3-day Pass,2025-05-02,20,Other,3,8.47,1.04,56.55,Cash,Pop,4,9,2,False
246,3-day Pass,2025-05-02,29,Male,2,2.83,21.93,23.32,Card,Pop,1,8,5,True
247,1-day Pass,2025-05-01,26,Female,2,19.66,15.34,74.73,Card,Electronic,6,9,7,True
248,3-day Pass,2025-05-02,28,Male,2,47.63,22.42,77.76,Festival App,Electronic,4,8,3,True
249,3-day Pass,2025-05-01,24,Female,4,31.45,19.65,14.16,Card,Pop,9,10,6,True
250,VIP,2025-05-01,19,Female,3,2.3,53.69,54.34,Cash,Electronic,8,10,4,True
251,3-day Pass,2025-05-03,26,Male,4,23.57,4.55,31.83,Cash,Pop,2,5,5,False
252,3-day Pass,2025-05-03,18,Female,3,28.57,17.78,74.99,Card,Pop,6,9,2,True
253,3-day Pass,2025-05-02,22,Female,2,25.91,56.74,58.25,Card,Rock,7,9,4,True
254,1-day Pass,2025-05-03,28,Female,3,1.1,38.04,0.84,Cash,Reggaeton,1,7,5,True
255,3-day Pass,2025-05-02,28,Male,3,22.91,36.1,78.52,Cash,Hip-Hop,7,2,3,True
256,3-day Pass,2025-05-01,20,Other,3,42.92,57.45,42.69,Card,Rock,7,8,3,False
257,VIP,2025-05-01,26,Male,3,19.7,22.96,39.82,Card,Pop,5,7,7,False
258,3-day Pass,2025-05-03,23,Female,5,40.94,19.21,32.62,Card,Electronic,4,7,4,True
259,3-day Pass,2025-05-01,21,Female,2,35.92,45.43,98.74,Cash,Reggaeton,9,8,4,False
260,3-day Pass,2025-05-03,23,Other,2,16.88,46.5,15.09,Card,Pop,8,5,7,False
261,3-day Pass,2025-05-03,25,Other,1,16.42,23.15,81.62,Cash,Rock,4,8,3,True
262,3-day Pass,2025-05-02,28,Male,3,21.65,46.42,51.01,Card,Hip-Hop,6,8,6,False
263,VIP,2025-05-02,19,Other,3,29.32,32.25,50.67,Card,Rock,1,9,8,True
264,1-day Pass,2025-05-02,26,Male,3,31.72,58.71,19.09,Card,Pop,1,7,5,True
265,3-day Pass,2025-05-01,31,Female,2,37.22,29.59,77.6,Card,Hip-Hop,2,8,2,True
266,1-day Pass,2025-05-03,21,Male,2,30.02,49.16,20.61,Card,Hip-Hop,8,1,9,True
267,3-day Pass,2025-05-02,18,Female,5,48.37,34.65,3.86,Card,Rock,7,10,2,True
268,3-day Pass,2025-05-02,27,Female,3,34.94,57.8,74.44,Card,Pop,8,9,6,False
269,3-day Pass,2025-05-02,29,Female,5,47.04,47.73,14.1,Card,Rock,1,6,7,True
