ticket_id,attendance_date,gender,age,age_group,ticket_type,favourite_genre,group_size,group_type,is_multiday,recommend_to_friend
34,2025-05-02,Female,25,25-34,1-day Pass,Reggaeton,2,Couple,False,True
35,2025-05-01,Male,31,25-34,3-day Pass,Pop,2,Couple,True,True
36,2025-05-02,Female,30,25-34,3-day Pass,Pop,4,Group,True,True
37,2025-05-03,Female,26,25-34,1-day Pass,Rock,3,Group,False,True
38,2025-05-03,Female,18,18-24,3-day Pass,Rock,5,Group,True,False
39,2025-05-02,Female,29,25-34,1-day Pass,Pop,2,Couple,False,True
40,2025-05-03,Female,25,25-34,1-day Pass,Hip-Hop,4,Group,False,True
41,2025-05-03,Female,22,18-24,3-day Pass,Rock,5,Group,True,True
42,2025-05-02,Female,28,25-34,3-day Pass,Rock,3,Group,True,True
43,2025-05-02,Male,18,18-24,3-day Pass,Reggaeton,5,Group,True,True
44,2025-05-02,Female,29,25-34,1-day Pass,Hip-Hop,3,Group,False,True
45,2025-05-02,Male,27,25-34,3-day Pass,Rock,5,Group,True,False
46,2025-05-01,Female,23,18-24,VIP,Rock,4,Group,True,False
47,2025-05-03,Male,30,25-34,VIP,Pop,3,Group,True,True
48,2025-05-02,Other,22,18-24,1-day Pass,Pop,4,Group,False,True
49,2025-05-03,Male,22,18-24,3-day Pass,Pop,3,Group,True,True
50,2025-05-03,Male,32,25-34,1-day Pass,Hip-Hop,5,Group,False,True
51,2025-05-01,Male,27,25-34,3-day Pass,Rock,4,Group,True,False
52,2025-05-01,Male,20,18-24,3-day Pass,Hip-Hop,3,Group,True,False
53,2025-05-03,Female,29,25-34,VIP,Hip-Hop,2,Couple,True,True
54,2025-05-01,Male,31,25-34,3-day Pass,Electronic,4,Group,True,True
55,2025-05-01,Female,33,25-34,3-day Pass,Pop,4,Group,True,True
56,2025-05-02,Female,24,18-24,VIP,Hip-Hop,3,Group,True,True
57,2025-05-03,Female,25,25-34,3-day Pass,Hip-Hop,3,Group,True,True
58,2025-05-02,Female,28,25-34,VIP,Rock,3,Group,True,True
59,2025-05-02,Female,20,18-24,3-day Pass,Rock,3,Group,True,True
60,2025-05-01,Female,24,18-24,3-day Pass,Hip-Hop,4,Group,True,True
61,2025-05-01,Male,24,18-24,1-day Pass,Rock,4,Group,False,False
62,2025-05-01,Male,30,25-34,3-day Pass,Rock,5,Group,True,False
63,2025-05-01,Female,26,25-34,1-day Pass,Rock,3,Group,False,True
64,2025-05-03,Female,24,18-24,3-day Pass,Electronic,3,Group,True,False
65,2025-05-02,Female,25,25-34,VIP,Rock,4,Group,True,True
66,2025-05-01,Male,26,25-34,3-day Pass,Rock,3,Group,True,True
67,2025-05-01,Male,27,25-34,3-day Pass,Rock,1,Individual,True,True
68,2025-05-02,Female,23,18-24,VIP,Reggaeton,4,Group,True,True
69,2025-05-01,Other,23,18-24,1-day Pass,Rock,2,Couple,False,False
70,2025-05-02,Female,23,18-24,3-day Pass,Pop,2,Couple,True,False
71,2025-05-02,Female,27,25-34,1-day Pass,Rock,2,Couple,False,True
72,2025-05-03,Male,18,18-24,3-day Pass,Pop,4,Group,True,True
73,2025-05-03,Female,30,25-34,3-day Pass,Pop,5,Group,True,True
74,2025-05-01,Male,18,18-24,1-day Pass,Rock,3,Group,False,True
75,2025-05-01,Male,25,25-34,VIP,Hip-Hop,5,Group,True,True
76,2025-05-01,Female,30,25-34,1-day Pass,Pop,3,Group,False,True
77,2025-05-01,Female,25,25-34,3-day Pass,Reggaeton,4,Group,True,False
78,2025-05-01,Male,18,18-24,3-day Pass,Reggaeton,2,Couple,True,True
79,2025-05-01,Female,28,25-34,3-day Pass,Rock,3,Group,True,False
80,2025-05-02,Female,26,25-34,1-day Pass,Rock,5,Group,False,True
81,2025-05-01,Female,28,25-34,VIP,Reggaeton,2,Couple,True,False
82,2025-05-02,Female,24,18-24,VIP,Electronic,4,Group,True,True
83,2025-05-03,Male,30,25-34,1-day Pass,Pop,3,Group,False,False
84,2025-05-02,Female,18,18-24,3-day Pass,Rock,2,Couple,True,False
85,2025-05-03,Female,25,25-34,3-day Pass,Pop,4,Group,True,True
86,2025-05-03,Female,26,25-34,1-day Pass,Reggaeton,5,Group,False,True
87,2025-05-01,Female,27,25-34,3-day Pass,Pop,2,Couple,True,True
88,2025-05-01,Female,23,18-24,3-day Pass,Hip-Hop,4,Group,True,False
89,2025-05-01,Female,25,25-34,1-day Pass,Electronic,1,Individual,False,True
90,2025-05-03,Female,26,25-34,3-day Pass,Hip-Hop,5,Group,True,False
91,2025-05-02,Male,28,25-34,3-day Pass,Pop,4,Group,True,True
92,2025-05-02,Female,33,25-34,3-day Pass,Rock,5,Group,True,True
93,2025-05-03,Female,21,18-24,1-day Pass,Rock,5,Group,False,False
94,2025-05-03,Female,20,18-24,3-day Pass,Hip-Hop,3,Group,True,True
95,2025-05-02,Male,20,18-24,1-day Pass,Hip-Hop,2,Couple,False,True
96,2025-05-03,Female,21,18-24,VIP,Electronic,2,Couple,True,True
97,2025-05-01,Female,31,25-34,3-day Pass,Pop,3,Group,True,True
98,2025-05-01,Other,18,18-24,3-day Pass,Hip-Hop,4,Group,True,True
99,2025-05-02,Female,20,18-24,VIP,Pop,4,Group,True,True
100,2025-05-02,Male,26,25-34,3-day Pass,Rock,4,Group,True,True
101,2025-05-01,Male,23,18-24,VIP,Pop,2,Couple,True,False
102,2025-05-01,Female,23,18-24,VIP,Pop,3,Group,True,True
103,2025-05-01,Female,25,25-34,3-day Pass,Hip-Hop,3,Group,True,False
104,2025-05-03,Male,18,18-24,3-day Pass,Hip-Hop,4,Group,True,False
105,2025-05-01,Female,31,25-34,3-day Pass,Pop,5,Group,True,True
106,2025-05-02,Female,18,18-24,3-day Pass,Hip-Hop,4,Group,True,False
107,2025-05-01,Female,22,18-24,VIP,Hip-Hop,4,Group,True,True
108,2025-05-02,Female,23,18-24,3-day Pass,Rock,5,Group,True,True
109,2025-05-02,Male,19,18-24,3-day Pass,Rock,2,Couple,True,True
110,2025-05-02,Female,18,18-24,3-day Pass,Reggaeton,5,Group,True,True
111,2025-05-03,Female,23,18-24,3-day Pass,Reggaeton,3,Group,True,False
112,2025-05-02,Female,18,18-24,3-day Pass,Pop,5,Group,True,True
113,2025-05-01,Male,28,25-34,VIP,Rock,2,Couple,True,True
114,2025-05-01,Female,26,25-34,3-day Pass,Rock,4,Group,True,True
115,2025-05-01,Female,30,25-34,VIP,Hip-Hop,4,Group,True,False
116,2025-05-03,Male,18,18-24,3-day Pass,Hip-Hop,4,Group,True,False
117,2025-05-02,Male,19,18-24,VIP,Rock,3,Group,True,False
33,2025-05-03,Female,27,25-34,3-day Pass,Hip-Hop,5,Group,True,True
118,2025-05-03,Female,23,18-24,3-day Pass,Hip-Hop,1,Individual,True,True
119,2025-05-03,Female,28,25-34,1-day Pass,Reggaeton,4,Group,False,True
120,2025-05-03,Female,25,25-34,VIP,Pop,3,Group,True,False
121,2025-05-01,Female,26,25-34,1-day Pass,Reggaeton,3,Group,False,False
122,2025-05-03,Male,19,18-24,VIP,Reggaeton,3,Group,True,True
123,2025-05-03,Other,29,25-34,3-day Pass,Pop,3,Group,True,False
124,2025-05-03,Male,33,25-34,1-day Pass,Rock,4,Group,False,False
125,2025-05-03,Female,29,25-34,3-day Pass,Electronic,2,Couple,True,True
126,2025-05-02,Female,26,25-34,3-day Pass,Electronic,4,Group,True,True
127,2025-05-03,Female,18,18-24,3-day Pass,Rock,5,Group,True,True
128,2025-05-02,Female,22,18-24,3-day Pass,Rock,2,Couple,True,True
129,2025-05-03,Male,26,25-34,3-day Pass,Rock,1,Individual,True,False
130,2025-05-03,Female,25,25-34,3-day Pass,Rock,5,Group,True,False
131,2025-05-03,Female,29,25-34,1-day Pass,Rock,3,Group,False,True
132,2025-05-02,Male,26,25-34,1-day Pass,Rock,3,Group,False,True
133,2025-05-01,Female,20,18-24,3-day Pass,Rock,3,Group,True,False
134,2025-05-02,Male,28,25-34,3-day Pass,Electronic,4,Group,True,True
135,2025-05-03,Female,29,25-34,3-day Pass,Hip-Hop,2,Couple,True,True
136,2025-05-01,Female,28,25-34,3-day Pass,Rock,5,Group,True,True
137,2025-05-02,Female,27,25-34,3-day Pass,Electronic,3,Group,True,True
138,2025-05-02,Female,31,25-34,3-day Pass,Hip-Hop,2,Couple,True,False
139,2025-05-02,Female,25,25-34,3-day Pass,Rock,4,Group,True,True
140,2025-05-02,Female,26,25-34,3-day Pass,Rock,5,Group,True,True
141,2025-05-03,Male,29,25-34,1-day Pass,Rock,1,Individual,False,False
142,2025-05-02,Female,20,18-24,3-day Pass,Reggaeton,4,Group,True,True
143,2025-05-03,Female,28,25-34,3-day Pass,Rock,1,Individual,True,True
144,2025-05-03,Male,24,18-24,VIP,Pop,4,Group,True,True
145,2025-05-01,Female,18,18-24,VIP,Rock,5,Group,True,True
146,2025-05-02,Male,31,25-34,3-day Pass,Hip-Hop,2,Couple,True,True
147,2025-05-03,Female,25,25-34,VIP,Hip-Hop,5,Group,True,True
148,2025-05-01,Female,30,25-34,3-day Pass,Electronic,5,Group,True,True
149,2025-05-03,Female,22,18-24,VIP,Hip-Hop,3,Group,True,False
150,2025-05-03,Female,29,25-34,3-day Pass,Pop,5,Group,True,False
151,2025-05-02,Female,18,18-24,1-day Pass,Rock,4,Group,False,True
152,2025-05-03,Female,25,25-34,1-day Pass,Rock,5,Group,False,True
153,2025-05-02,Other,29,25-34,3-day Pass,Rock,3,Group,True,True
154,2025-05-03,Male,25,25-34,1-day Pass,Hip-Hop,5,Group,False,True
155,2025-05-01,Female,24,18-24,3-day Pass,Electronic,3,Group,True,True
156,2025-05-03,Other,24,18-24,1-day Pass,Pop,5,Group,False,True
157,2025-05-01,Male,29,25-34,VIP,Hip-Hop,5,Group,True,False
158,2025-05-01,Male,28,25-34,3-day Pass,Reggaeton,3,Group,True,True
159,2025-05-02,Female,26,25-34,3-day Pass,Reggaeton,3,Group,True,False
160,2025-05-03,Female,26,25-34,VIP,Hip-Hop,4,Group,True,True
161,2025-05-01,Male,27,25-34,VIP,Rock,3,Group,True,True
162,2025-05-03,Female,30,25-34,3-day Pass,Rock,2,Couple,True,True
163,2025-05-02,Other,27,25-34,3-day Pass,Rock,3,Group,True,True
164,2025-05-02,Male,18,18-24,VIP,Rock,3,Group,True,True
165,2025-05-01,Female,24,18-24,1-day Pass,Pop,2,Couple,False,False
166,2025-05-01,Female,23,18-24,3-day Pass,Rock,5,Group,True,True
167,2025-05-02,Male,23,18-24,1-day Pass,Hip-Hop,4,Group,False,True
168,2025-05-01,Male,30,25-34,3-day Pass,Rock,2,Couple,True,True
169,2025-05-03,Male,18,18-24,3-day Pass,Rock,4,Group,True,True
170,2025-05-02,Male,25,25-34,3-day Pass,Rock,3,Group,True,False
171,2025-05-02,Male,30,25-34,VIP,Pop,4,Group,True,False
172,2025-05-02,Female,29,25-34,1-day Pass,Electronic,4,Group,False,True
173,2025-05-03,Male,26,25-34,3-day Pass,Rock,2,Couple,True,True
174,2025-05-03,Male,18,18-24,3-day Pass,Rock,5,Group,True,False
175,2025-05-03,Male,18,18-24,VIP,Electronic,5,Group,True,True
176,2025-05-01,Female,30,25-34,VIP,Pop,4,Group,True,True
177,2025-05-03,Male,29,25-34,3-day Pass,Pop,2,Couple,True,True
178,2025-05-01,Male,25,25-34,3-day Pass,Pop,3,Group,True,True
179,2025-05-03,Female,21,18-24,VIP,Electronic,1,Individual,True,True
180,2025-05-02,Male,33,25-34,1-day Pass,Pop,4,Group,False,True
181,2025-05-02,Female,18,18-24,3-day Pass,Rock,2,Couple,True,True
182,2025-05-02,Female,18,18-24,3-day Pass,Rock,4,Group,True,False
183,2025-05-03,Male,23,18-24,3-day Pass,Rock,5,Group,True,True
184,2025-05-02,Female,22,18-24,1-day Pass,Hip-Hop,1,Individual,False,False
185,2025-05-03,Male,25,25-34,3-day Pass,Rock,3,Group,True,False
186,2025-05-02,Male,22,18-24,3-day Pass,Pop,1,Individual,True,True
187,2025-05-03,Male,18,18-24,3-day Pass,Hip-Hop,4,Group,True,False
188,2025-05-03,Female,30,25-34,1-day Pass,Hip-Hop,3,Group,False,False
189,2025-05-02,Female,21,18-24,3-day Pass,Pop,3,Group,True,True
190,2025-05-01,Female,24,18-24,3-day Pass,Reggaeton,4,Group,True,False
191,2025-05-01,Other,21,18-24,3-day Pass,Hip-Hop,2,Couple,True,False
192,2025-05-03,Male,26,25-34,3-day Pass,Reggaeton,2,Couple,True,True
193,2025-05-01,Other,18,18-24,1-day Pass,Rock,4,Group,False,True
194,2025-05-02,Female,23,18-24,3-day Pass,Rock,3,Group,True,False
195,2025-05-01,Female,18,18-24,3-day Pass,Pop,2,Couple,True,True
196,2025-05-02,Female,25,25-34,3-day Pass,Pop,3,Group,True,False
197,2025-05-03,Male,30,25-34,3-day Pass,Pop,5,Group,True,True
198,2025-05-02,Female,26,25-34,VIP,Hip-Hop,2,Couple,True,True
199,2025-05-03,Male,25,25-34,3-day Pass,Rock,3,Group,True,False
106,2025-05-03,Male,22,18-24,3-day Pass,Hip-Hop,4,Group,True,True
200,2025-05-02,Female,28,25-34,3-day Pass,Rock,4,Group,True,True
201,2025-05-02,Female,18,18-24,3-day Pass,Electronic,3,Group,True,True
202,2025-05-01,Male,27,25-34,1-day Pass,Pop,5,Group,False,True
203,2025-05-02,Female,18,18-24,1-day Pass,Pop,3,Group,False,False
204,2025-05-01,Female,20,18-24,3-day Pass,Rock,5,Group,True,False
205,2025-05-02,Male,28,25-34,3-day Pass,Rock,4,Group,True,False
206,2025-05-01,Female,25,25-34,VIP,Electronic,3,Group,True,True
207,2025-05-02,Female,22,18-24,VIP,Rock,2,Couple,True,False
208,2025-05-02,Male,23,18-24,VIP,Rock,5,Group,True,True
209,2025-05-01,Female,20,18-24,3-day Pass,Hip-Hop,2,Couple,True,True
210,2025-05-01,Male,33,25-34,3-day Pass,Rock,4,Group,True,False
211,2025-05-01,Female,19,18-24,3-day Pass,Electronic,5,Group,True,True
212,2025-05-03,Female,20,18-24,VIP,Pop,4,Group,True,True
213,2025-05-03,Female,24,18-24,3-day Pass,Reggaeton,5,Group,True,False
214,2025-05-02,Female,19,18-24,3-day Pass,Electronic,5,Group,True,True
215,2025-05-02,Female,28,25-34,3-day Pass,Hip-Hop,2,Couple,True,False
216,2025-05-03,Female,18,18-24,1-day Pass,Hip-Hop,5,Group,False,True
217,2025-05-02,Female,22,18-24,3-day Pass,Rock,4,Group,True,True
218,2025-05-01,Female,23,18-24,3-day Pass,Reggaeton,4,Group,True,False
219,2025-05-03,Female,27,25-34,3-day Pass,Hip-Hop,2,Couple,True,True
220,2025-05-01,Male,25,25-34,3-day Pass,Pop,3,Group,True,True
221,2025-05-01,Female,27,25-34,3-day Pass,Rock,2,Couple,True,True
222,2025-05-01,Female,25,25-34,3-day Pass,Rock,2,Couple,True,True
223,2025-05-01,Female,28,25-34,VIP,Reggaeton,4,Group,True,False
224,2025-05-03,Male,27,25-34,3-day Pass,Hip-Hop,2,Couple,True,True
225,2025-05-02,Female,24,18-24,3-day Pass,Pop,4,Group,True,True
226,2025-05-03,Male,30,25-34,3-day Pass,Electronic,3,Group,True,True
227,2025-05-03,Male,23,18-24,1-day Pass,Hip-Hop,5,Group,False,False
228,2025-05-02,Female,24,18-24,VIP,Rock,1,Individual,True,True
229,2025-05-02,Male,19,18-24,3-day Pass,Rock,3,Group,True,False
230,2025-05-01,Male,25,25-34,3-day Pass,Pop,1,Individual,True,True
231,2025-05-03,Female,28,25-34,3-day Pass,Pop,1,Individual,True,True
232,2025-05-03,Male,27,25-34,3-day Pass,Rock,3,Group,True,True
233,2025-05-01,Male,25,25-34,3-day Pass,Rock,1,Individual,True,True
234,2025-05-02,Male,27,25-34,VIP,Rock,4,Group,True,True
235,2025-05-03,Male,27,25-34,VIP,Rock,4,Group,True,False
236,2025-05-01,Male,28,25-34,3-day Pass,Rock,3,Group,True,True
237,2025-05-03,Female,18,18-24,VIP,Rock,3,Group,True,False
238,2025-05-01,Male,18,18-24,3-day Pass,Reggaeton,3,Group,True,False
239,2025-05-02,Female,20,18-24,1-day Pass,Pop,4,Group,False,False
240,2025-05-03,Male,31,25-34,3-day Pass,Reggaeton,4,Group,True,False
241,2025-05-03,Female,18,18-24,1-day Pass,Reggaeton,2,Couple,False,False
242,2025-05-01,Male,22,18-24,3-day Pass,Hip-Hop,4,Group,True,False
243,2025-05-02,Male,24,18-24,3-day Pass,Pop,1,Individual,True,True
244,2025-05-03,Male,18,18-24,3-day Pass,Pop,4,Group,True,True
245,2025-05-02,Other,20,18-24,3-day Pass,Pop,3,Group,True,False
246,2025-05-02,Male,29,25-34,3-day Pass,Pop,2,Couple,True,True
247,2025-05-01,Female,26,25-34,1-day Pass,Electronic,2,Couple,False,True
248,2025-05-02,Male,28,25-34,3-day Pass,Electronic,2,Couple,True,True
249,2025-05-01,Female,24,18-24,3-day Pass,Pop,4,Group,True,True
250,2025-05-01,Female,19,18-24,VIP,Electronic,3,Group,True,True
251,2025-05-03,Male,26,25-34,3-day Pass,Pop,4,Group,True,False
252,2025-05-03,Female,18,18-24,3-day Pass,Pop,3,Group,True,True
253,2025-05-02,Female,22,18-24,3-day Pass,Rock,2,Couple,True,True
254,2025-05-03,Female,28,25-34,1-day Pass,Reggaeton,3,Group,False,True
255,2025-05-02,Male,28,25-34,3-day Pass,Hip-Hop,3,Group,True,True
256,2025-05-01,Other,20,18-24,3-day Pass,Rock,3,Group,True,False
257,2025-05-01,Male,26,25-34,VIP,Pop,3,Group,True,False
258,2025-05-03,Female,23,18-24,3-day Pass,Electronic,5,Group,True,True
259,2025-05-01,Female,21,18-24,3-day Pass,Reggaeton,2,Couple,True,False
260,2025-05-03,Other,23,18-24,3-day Pass,Pop,2,Couple,True,False
261,2025-05-03,Other,25,25-34,3-day Pass,Rock,1,Individual,True,True
262,2025-05-02,Male,28,25-34,3-day Pass,Hip-Hop,3,Group,True,False
263,2025-05-02,Other,19,18-24,VIP,Rock,3,Group,True,True
264,2025-05-02,Male,26,25-34,1-day Pass,Pop,3,Group,False,True
265,2025-05-01,Female,31,25-34,3-day Pass,Hip-Hop,2,Couple,True,True
266,2025-05-03,Male,21,18-24,1-day Pass,Hip-Hop,2,Couple,False,True
267,2025-05-02,Female,18,18-24,3-day Pass,Rock,5,Group,True,True
268,2025-05-02,Female,27,25-34,3-day Pass,Pop,3,Group,True,False
269,2025-05-02,Female,29,25-34,3-day Pass,Rock,5,Group,True,True
270,2025-05-01,Female,18,18-24,3-day Pass,Hip-Hop,5,Group,True,True
271,2025-05-01,Female,18,18-24,3-day Pass,Rock,1,Individual,True,False
272,2025-05-02,Female,18,18-24,VIP,Rock,4,Group,True,False
273,2025-05-01,Male,23,18-24,3-day Pass,Rock,3,Group,True,True
274,2025-05-01,Female,28,25-34,1-day Pass,Rock,4,Group,False,True
275,2025-05-01,Female,29,25-34,3-day Pass,Electronic,4,Group,True,True
276,2025-05-01,Male,31,25-34,3-day Pass,Rock,3,Group,True,False
277,2025-05-02,Female,28,25-34,VIP,Rock,3,Group,True,True
278,2025-05-03,Female,25,25-34,VIP,Pop,3,Group,True,True
279,2025-05-03,Female,25,25-34,3-day Pass,Rock,2,Couple,True,True
280,2025-05-03,Female,23,18-24,1-day Pass,Rock,1,Individual,False,True
281,2025-05-02,Female,22,18-24,3-day Pass,Rock,1,Individual,True,False
282,2025-05-01,Female,25,25-34,1-day Pass,Reggaeton,4,Group,False,False
283,2025-05-02,Female,29,25-34,3-day Pass,Pop,1,Individual,True,False
284,2025-05-03,Male,28,25-34,1-day Pass,Rock,4,Group,False,True
285,2025-05-03,Male,32,25-34,3-day Pass,Rock,4,Group,True,True
286,2025-05-02,Female,30,25-34,1-day Pass,Pop,5,Group,False,False
287,2025-05-03,Other,27,25-34,3-day Pass,Rock,3,Group,True,True
288,2025-05-03,Male,27,25-34,3-day Pass,Rock,4,Group,True,False
289,2025-05-02,Female,22,18-24,3-day Pass,Pop,2,Couple,True,True
290,2025-05-03,Female,20,18-24,VIP,Pop,3,Group,True,True
291,2025-05-01,Female,27,25-34,3-day Pass,Pop,5,Group,True,True
292,2025-05-01,Male,21,18-24,3-day Pass,Pop,4,Group,True,False
293,2025-05-02,Other,18,18-24,1-day Pass,Rock,3,Group,False,True
294,2025-05-01,Male,28,25-34,3-day Pass,Pop,2,Couple,True,False
295,2025-05-01,Male,24,18-24,3-day Pass,Rock,3,Group,True,True
48,2025-05-01,Male,18,18-24,3-day Pass,Rock,3,Group,True,True
296,2025-05-03,Male,23,18-24,VIP,Rock,5,Group,True,False
297,2025-05-01,Male,30,25-34,VIP,Electronic,4,Group,True,True
298,2025-05-03,Female,19,18-24,1-day Pass,Pop,4,Group,False,True
299,2025-05-01,Female,19,18-24,VIP,Rock,5,Group,True,True
300,2025-05-03,Male,23,18-24,3-day Pass,Rock,3,Group,True,True
301,2025-05-03,Female,29,25-34,1-day Pass,Reggaeton,3,Group,False,True
302,2025-05-01,Male,28,25-34,3-day Pass,Pop,4,Group,True,False
303,2025-05-03,Female,28,25-34,1-day Pass,Pop,3,Group,False,True
304,2025-05-02,Male,28,25-34,1-day Pass,Rock,3,Group,False,True
305,2025-05-02,Female,23,18-24,VIP,Rock,4,Group,True,True
306,2025-05-02,Female,28,25-34,3-day Pass,Pop,1,Individual,True,False
307,2025-05-03,Female,26,25-34,3-day Pass,Pop,3,Group,True,False
308,2025-05-03,Female,28,25-34,3-day Pass,Rock,5,Group,True,True
309,2025-05-03,Female,24,18-24,3-day Pass,Pop,3,Group,True,True
310,2025-05-03,Male,23,18-24,1-day Pass,Pop,2,Couple,False,True
252,2025-05-02,Male,31,25-34,3-day Pass,Reggaeton,4,Group,True,False
311,2025-05-03,Male,18,18-24,3-day Pass,Hip-Hop,1,Individual,True,False
312,2025-05-03,Male,26,25-34,3-day Pass,Hip-Hop,5,Group,True,False
313,2025-05-01,Female,18,18-24,3-day Pass,Hip-Hop,4,Group,True,True
314,2025-05-02,Male,24,18-24,3-day Pass,Hip-Hop,5,Group,True,True
315,2025-05-02,Female,18,18-24,1-day Pass,Hip-Hop,2,Couple,False,True
316,2025-05-02,Female,25,25-34,3-day Pass,Hip-Hop,3,Group,True,False
317,2025-05-01,Male,20,18-24,3-day Pass,Pop,3,Group,True,False
318,2025-05-01,Male,26,25-34,3-day Pass,Hip-Hop,4,Group,True,False
319,2025-05-01,Male,30,25-34,3-day Pass,Pop,5,Group,True,True
320,2025-05-03,Female,25,25-34,VIP,Rock,2,Couple,True,True
321,2025-05-01,Male,18,18-24,VIP,Rock,2,Couple,True,True
322,2025-05-03,Female,18,18-24,VIP,Reggaeton,4,Group,True,False
323,2025-05-03,Female,29,25-34,3-day Pass,Reggaeton,3,Group,True,True
324,2025-05-02,Male,24,18-24,VIP,Electronic,4,Group,True,True
325,2025-05-02,Female,23,18-24,1-day Pass,Rock,3,Group,False,True
326,2025-05-03,Female,28,25-34,VIP,Reggaeton,2,Couple,True,True
327,2025-05-03,Male,31,25-34,3-day Pass,Rock,5,Group,True,False
328,2025-05-02,Female,27,25-34,3-day Pass,Hip-Hop,2,Couple,True,False
329,2025-05-02,Male,26,25-34,1-day Pass,Hip-Hop,2,Couple,False,True
330,2025-05-02,Female,19,18-24,3-day Pass,Rock,2,Couple,True,True
331,2025-05-01,Female,25,25-34,VIP,Rock,5,Group,True,True
332,2025-05-03,Female,32,25-34,3-day Pass,Electronic,4,Group,True,True
333,2025-05-03,Male,30,25-34,VIP,Hip-Hop,1,Individual,True,True
334,2025-05-02,Female,28,25-34,3-day Pass,Rock,5,Group,True,True
335,2025-05-02,Male,32,25-34,VIP,Rock,3,Group,True,False
320,2025-05-02,Male,30,25-34,VIP,Rock,1,Individual,True,True
336,2025-05-01,Female,30,25-34,1-day Pass,Reggaeton,5,Group,False,True
337,2025-05-03,Male,24,18-24,3-day Pass,Electronic,3,Group,True,True
338,2025-05-03,Female,29,25-34,VIP,Hip-Hop,3,Group,True,False
339,2025-05-02,Male,29,25-34,3-day Pass,Hip-Hop,1,Individual,True,False
340,2025-05-01,Female,31,25-34,VIP,Hip-Hop,5,Group,True,False
341,2025-05-01,Male,28,25-34,3-day Pass,Reggaeton,3,Group,True,True
342,2025-05-02,Female,26,25-34,3-day Pass,Reggaeton,5,Group,True,True
343,2025-05-01,Male,22,18-24,VIP,Rock,2,Couple,True,True
344,2025-05-03,Male,27,25-34,3-day Pass,Rock,3,Group,True,True
345,2025-05-02,Female,18,18-24,3-day Pass,Rock,2,Couple,True,True
346,2025-05-03,Other,27,25-34,3-day Pass,Rock,2,Couple,True,True
347,2025-05-03,Male,27,25-34,3-day Pass,Electronic,4,Group,True,False
348,2025-05-03,Male,25,25-34,3-day Pass,Rock,4,Group,True,True
349,2025-05-03,Female,18,18-24,3-day Pass,Electronic,4,Group,True,True
350,2025-05-02,Female,25,25-34,3-day Pass,Rock,2,Couple,True,False
351,2025-05-03,Male,26,25-34,3-day Pass,Reggaeton,5,Group,True,False
352,2025-05-03,Female,23,18-24,3-day Pass,Pop,3,Group,True,True
353,2025-05-03,Other,18,18-24,3-day Pass,Rock,3,Group,True,True
