ticket_id,ticket_type,attendance_date,age,gender,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,satisfaction_rating,security_rating,cleanliness_rating,recommend_to_friend,spent_that_day,mean_rating,is_multiday,age_group,satisfaction_level,cleanliness_level,security_level,group_type
20,3-day Pass,2025-05-03,22,Male,4,9.28,31.41,99.16,Cash,Pop,7.0,7.5,7.0,True,139.85,7.17,True,18-24,Medium,Medium,Medium,Group
21,3-day Pass,2025-05-02,21,Male,3,27.26,56.65,67.6,Cash,Rock,4.0,7.0,4.0,False,151.51,5.0,True,18-24,Low,Low,Medium,Group
22,VIP,2025-05-01,23,Female,4,17.05,35.13,52.02,Cash,Pop,4.5,8.5,3.5,True,104.2,5.5,True,18-24,Low,Low,High,Group
23,1-day Pass,2025-05-01,18,Female,3,29.57,41.24,56.78,Card,Pop,9.0,8.0,4.5,True,127.59,7.17,False,18-24,High,Low,Medium,Group
24,VIP,2025-05-03,25,Male,5,41.33,4.62,73.88,Card,Rock,8.5,7.0,5.5,False,119.83,7.0,True,25-34,High,Medium,Medium,Group
25,3-day Pass,2025-05-02,30,Female,2,42.76,28.63,22.54,Card,Rock,1.0,7.0,8.0,True,93.93,5.33,True,25-34,Low,Medium,Medium,Couple
26,1-day Pass,2025-05-03,28,Male,5,45.35,19.68,92.91,Cash,Pop,5.0,10.0,4.0,True,157.94,6.33,False,25-34,Low,Low,High,Group
27,1-day Pass,2025-05-03,23,Female,3,9.27,53.1,77.98,Card,Rock,6.67,8.0,6.33,True,140.35,7.0,False,18-24,Medium,Medium,Medium,Group
28,3-day Pass,2025-05-03,30,Male,2,43.51,58.61,53.85,Card,Rock,5.67,8.67,6.67,True,155.97,7.0,True,25-34,Medium,Medium,High,Couple
29,1-day Pass,2025-05-01,21,Male,3,42.3,33.9,75.65,Card,Electronic,7.0,8.5,8.5,False,151.85,8.0,False,18-24,Medium,High,High,Group
30,3-day Pass,2025-05-02,20,Female,4,13.41,50.44,67.26,Card,Pop,7.0,10.0,5.0,False,131.11,7.33,True,18-24,Medium,Low,High,Group
31,1-day Pass,2025-05-03,18,Male,2,42.97,38.81,58.37,Card,Pop,8.0,6.5,6.0,True,140.15,6.83,False,18-24,Medium,Medium,Medium,Couple
32,VIP,2025-05-01,24,Male,5,18.62,59.62,82.56,Card,Pop,5.33,8.67,2.67,False,160.8,5.56,True,18-24,Medium,Low,High,Group
33,1-day Pass,2025-05-02,19,Male,3,19.69,2.53,57.08,Card,Pop,8.0,8.0,4.5,True,79.3,6.83,False,18-24,Medium,Low,Medium,Group
34,1-day Pass,2025-05-02,25,Female,2,18.71,45.48,4.27,Card,Reggaeton,8.0,9.0,5.0,True,68.46,7.33,False,25-34,Medium,Low,High,Couple
35,3-day Pass,2025-05-01,31,Male,2,44.24,12.38,8.67,Cash,Pop,4.0,10.0,5.0,True,65.29,6.33,True,25-34,Low,Low,High,Couple
36,3-day Pass,2025-05-02,30,Female,4,48.04,32.32,44.03,Card,Pop,7.0,8.0,2.0,True,124.39,5.67,True,25-34,Medium,Low,Medium,Group
37,1-day Pass,2025-05-03,26,Female,3,9.4,36.3,28.84,Card,Rock,3.5,7.5,8.0,True,74.54,6.33,False,25-34,Low,Medium,Medium,Group
38,3-day Pass,2025-05-03,18,Female,5,41.45,7.18,26.79,Card,Rock,8.0,9.0,6.0,False,75.42,7.67,True,18-24,Medium,Medium,High,Group
39,1-day Pass,2025-05-02,29,Female,2,48.13,38.57,17.0,Card,Pop,1.0,10.0,10.0,True,103.7,7.0,False,25-34,Low,High,High,Couple
40,1-day Pass,2025-05-03,25,Female,4,30.4,8.58,7.04,Card,Hip-Hop,6.67,8.33,2.33,True,46.02,5.78,False,25-34,Medium,Low,High,Group
41,3-day Pass,2025-05-03,22,Female,5,36.31,4.6,67.21,Card,Rock,9.0,8.0,6.0,True,108.12,7.67,True,18-24,High,Medium,Medium,Group
42,3-day Pass,2025-05-02,28,Female,3,29.48,8.54,20.74,Card,Rock,6.0,7.0,3.5,True,58.76,5.5,True,25-34,Medium,Low,Medium,Group
43,3-day Pass,2025-05-02,18,Male,5,17.94,37.54,94.2,Cash,Reggaeton,8.0,9.0,5.0,True,149.68,7.33,True,18-24,Medium,Low,High,Group
44,1-day Pass,2025-05-02,29,Female,3,30.75,57.29,75.52,Card,Hip-Hop,1.0,8.0,6.0,True,163.56,5.0,False,25-34,Low,Medium,Medium,Group
45,3-day Pass,2025-05-02,27,Male,5,8.86,15.32,55.41,Card,Rock,6.0,10.0,2.0,False,79.59,6.0,True,25-34,Medium,Low,High,Group
46,VIP,2025-05-01,23,Female,4,11.37,7.41,68.27,Cash,Rock,6.5,8.5,3.0,False,87.05,6.0,True,18-24,Medium,Low,High,Group
47,VIP,2025-05-03,30,Male,3,45.53,37.76,67.23,Card,Pop,2.0,9.0,2.0,True,150.52,4.33,True,25-34,Low,Low,High,Group
48,1-day Pass,2025-05-02,22,Other,4,20.16,50.51,21.8,Cash,Pop,4.5,9.0,4.0,True,92.47,5.83,False,18-24,Low,Low,High,Group
49,3-day Pass,2025-05-03,22,Male,3,24.7,12.29,75.64,Card,Pop,2.0,6.0,2.0,True,112.63,3.33,True,18-24,Low,Low,Medium,Group
50,1-day Pass,2025-05-03,32,Male,5,36.43,39.62,55.32,Cash,Hip-Hop,4.5,9.0,5.0,True,131.37,6.17,False,25-34,Low,Low,High,Group
51,3-day Pass,2025-05-01,27,Male,4,31.66,29.14,91.11,Card,Rock,6.5,5.5,4.0,False,151.91,5.33,True,25-34,Medium,Low,Medium,Group
52,3-day Pass,2025-05-01,20,Male,3,20.98,9.08,38.31,Cash,Hip-Hop,4.5,8.0,4.0,False,68.37,5.5,True,18-24,Low,Low,Medium,Group
53,VIP,2025-05-03,29,Female,2,26.33,23.98,24.38,Card,Hip-Hop,7.0,8.0,7.0,True,74.69,7.33,True,25-34,Medium,Medium,Medium,Couple
54,3-day Pass,2025-05-01,31,Male,4,17.69,33.3,11.93,Cash,Electronic,6.0,7.5,4.5,True,62.92,6.0,True,25-34,Medium,Low,Medium,Group
55,3-day Pass,2025-05-01,33,Female,4,22.48,41.08,38.64,Card,Pop,5.0,9.0,2.0,True,102.2,5.33,True,25-34,Low,Low,High,Group
56,VIP,2025-05-02,24,Female,3,17.01,2.72,89.26,Card,Hip-Hop,5.5,7.5,4.0,True,108.99,5.67,True,18-24,Medium,Low,Medium,Group
57,3-day Pass,2025-05-03,25,Female,3,10.86,8.83,80.5,Cash,Hip-Hop,8.0,8.0,5.0,True,100.19,7.0,True,25-34,Medium,Low,Medium,Group
58,VIP,2025-05-02,28,Female,3,23.6,18.99,56.63,Card,Rock,6.0,7.0,3.0,True,99.22,5.33,True,25-34,Medium,Low,Medium,Group
59,3-day Pass,2025-05-02,20,Female,3,38.62,11.79,29.03,Cash,Rock,5.5,9.0,5.0,True,79.44,6.5,True,18-24,Medium,Low,High,Group
60,3-day Pass,2025-05-01,24,Female,4,28.3,56.06,87.44,Cash,Hip-Hop,5.5,8.5,3.5,True,171.8,5.83,True,18-24,Medium,Low,High,Group
61,1-day Pass,2025-05-01,24,Male,4,9.32,20.25,45.21,Card,Rock,8.0,6.0,3.0,False,74.78,5.67,False,18-24,Medium,Low,Medium,Group
62,3-day Pass,2025-05-01,30,Male,5,8.16,37.39,40.76,Card,Rock,7.0,9.0,3.0,False,86.31,6.33,True,25-34,Medium,Low,High,Group
63,1-day Pass,2025-05-01,26,Female,3,24.11,32.37,91.94,Card,Rock,7.0,9.0,5.33,True,148.42,7.11,False,25-34,Medium,Medium,High,Group
64,3-day Pass,2025-05-03,24,Female,3,38.44,9.57,61.3,Cash,Electronic,6.5,8.0,6.0,False,109.31,6.83,True,18-24,Medium,Medium,Medium,Group
65,VIP,2025-05-02,25,Female,4,25.86,20.18,87.82,Card,Rock,5.0,8.5,7.5,True,133.86,7.0,True,25-34,Low,Medium,High,Group
66,3-day Pass,2025-05-01,26,Male,3,11.53,39.17,43.22,Card,Rock,8.0,9.0,3.0,True,93.92,6.67,True,25-34,Medium,Low,High,Group
67,3-day Pass,2025-05-01,27,Male,1,30.81,46.19,30.87,Card,Rock,6.5,5.0,8.0,True,107.87,6.5,True,25-34,Medium,Medium,Low,Individual
68,VIP,2025-05-02,23,Female,4,40.19,4.99,0.86,Cash,Reggaeton,5.67,7.33,5.0,True,46.04,6.0,True,18-24,Medium,Low,Medium,Group
69,1-day Pass,2025-05-01,23,Other,2,3.53,41.61,48.28,Card,Rock,6.5,9.0,5.5,False,93.42,7.0,False,18-24,Medium,Medium,High,Couple
70,3-day Pass,2025-05-02,23,Female,2,34.61,1.3,35.53,Card,Pop,4.0,7.67,7.67,False,71.44,6.45,True,18-24,Low,Medium,Medium,Couple
71,1-day Pass,2025-05-02,27,Female,2,14.69,58.81,8.94,Card,Rock,2.0,8.0,9.0,True,82.44,6.33,False,25-34,Low,High,Medium,Couple
72,3-day Pass,2025-05-03,18,Male,4,34.34,42.87,97.75,Card,Pop,7.67,6.33,3.67,True,174.96,5.89,True,18-24,Medium,Low,Medium,Group
73,3-day Pass,2025-05-03,30,Female,5,13.83,10.65,52.62,Card,Pop,8.0,8.0,5.0,True,77.1,7.0,True,25-34,Medium,Low,Medium,Group
74,1-day Pass,2025-05-01,18,Male,3,7.12,38.98,9.49,Cash,Rock,9.0,8.33,3.67,True,55.59,7.0,False,18-24,High,Low,High,Group
75,VIP,2025-05-01,25,Male,5,40.34,13.05,43.75,Card,Hip-Hop,7.5,8.5,2.5,True,97.14,6.17,True,25-34,Medium,Low,High,Group
76,1-day Pass,2025-05-01,30,Female,3,3.74,12.0,81.99,Card,Pop,4.0,8.0,5.0,True,97.73,5.67,False,25-34,Low,Low,Medium,Group
77,3-day Pass,2025-05-01,25,Female,4,45.7,17.97,22.74,Card,Reggaeton,2.0,9.0,3.0,False,86.41,4.67,True,25-34,Low,Low,High,Group
78,3-day Pass,2025-05-01,18,Male,2,35.81,53.67,65.75,Card,Reggaeton,5.67,8.67,3.33,True,155.23,5.89,True,18-24,Medium,Low,High,Couple
79,3-day Pass,2025-05-01,28,Female,3,40.8,39.59,87.04,Card,Rock,3.0,6.67,4.33,False,167.43,4.67,True,25-34,Low,Low,Medium,Group
80,1-day Pass,2025-05-02,26,Female,5,28.93,9.91,37.87,Card,Rock,7.0,6.67,7.67,True,76.71,7.11,False,25-34,Medium,Medium,Medium,Group
81,VIP,2025-05-01,28,Female,2,41.66,55.92,81.8,Festival App,Reggaeton,7.33,7.33,4.67,False,179.38,6.44,True,25-34,Medium,Low,Medium,Couple
82,VIP,2025-05-02,24,Female,4,15.57,25.26,72.62,Card,Electronic,8.0,7.0,3.0,True,113.45,6.0,True,18-24,Medium,Low,Medium,Group
83,1-day Pass,2025-05-03,30,Male,3,6.66,51.67,36.98,Card,Pop,7.0,9.0,2.0,False,95.31,6.0,False,25-34,Medium,Low,High,Group
84,3-day Pass,2025-05-02,18,Female,2,39.98,56.54,74.5,Cash,Rock,6.0,7.0,5.0,False,171.02,6.0,True,18-24,Medium,Low,Medium,Couple
85,3-day Pass,2025-05-03,25,Female,4,0.24,26.48,88.36,Card,Pop,1.0,8.0,3.0,True,115.08,4.0,True,25-34,Low,Low,Medium,Group
86,1-day Pass,2025-05-03,26,Female,5,45.15,37.9,57.71,Card,Reggaeton,8.5,7.0,5.0,True,140.76,6.83,False,25-34,High,Low,Medium,Group
87,3-day Pass,2025-05-01,27,Female,2,31.1,33.72,69.22,Card,Pop,5.67,9.0,4.0,True,134.04,6.22,True,25-34,Medium,Low,High,Couple
88,3-day Pass,2025-05-01,23,Female,4,28.16,25.68,9.49,Cash,Hip-Hop,6.0,8.5,6.5,False,63.33,7.0,True,18-24,Medium,Medium,High,Group
89,1-day Pass,2025-05-01,25,Female,1,17.52,46.02,32.47,Cash,Electronic,1.0,9.0,5.0,True,96.01,5.0,False,25-34,Low,Low,High,Individual
90,3-day Pass,2025-05-03,26,Female,5,1.35,25.64,89.19,Cash,Hip-Hop,3.5,6.5,7.0,False,116.18,5.67,True,25-34,Low,Medium,Medium,Group
91,3-day Pass,2025-05-02,28,Male,4,10.44,54.18,93.91,Card,Pop,3.5,8.5,6.0,True,158.53,6.0,True,25-34,Low,Medium,High,Group
92,3-day Pass,2025-05-02,33,Female,5,48.78,32.13,74.3,Card,Rock,6.67,8.0,3.33,True,155.21,6.0,True,25-34,Medium,Low,Medium,Group
93,1-day Pass,2025-05-03,21,Female,5,33.62,48.08,73.73,Card,Rock,3.5,4.5,7.0,False,155.43,5.0,False,18-24,Low,Medium,Low,Group
94,3-day Pass,2025-05-03,20,Female,3,40.69,19.27,49.9,Card,Hip-Hop,4.5,4.5,6.0,True,109.86,5.0,True,18-24,Low,Medium,Low,Group
95,1-day Pass,2025-05-02,20,Male,2,42.9,6.47,57.95,Card,Hip-Hop,6.0,9.0,6.0,True,107.32,7.0,False,18-24,Medium,Medium,High,Couple
96,VIP,2025-05-03,21,Female,2,9.45,22.73,26.16,Card,Electronic,7.0,7.5,3.0,True,58.34,5.83,True,18-24,Medium,Low,Medium,Couple
97,3-day Pass,2025-05-01,31,Female,3,14.79,57.34,23.76,Cash,Pop,8.0,5.0,3.0,True,95.89,5.33,True,25-34,Medium,Low,Low,Group
98,3-day Pass,2025-05-01,18,Other,4,6.48,1.65,56.18,Cash,Hip-Hop,8.0,7.0,8.0,True,64.31,7.67,True,18-24,Medium,Medium,Medium,Group
99,VIP,2025-05-02,20,Female,4,31.9,36.37,44.94,Cash,Pop,1.0,10.0,4.0,True,113.21,5.0,True,18-24,Low,Low,High,Group
100,3-day Pass,2025-05-02,26,Male,4,6.82,25.37,35.24,Card,Rock,5.0,9.33,4.67,True,67.43,6.33,True,25-34,Low,Low,High,Group
101,VIP,2025-05-01,23,Male,2,48.01,47.34,33.23,Card,Pop,6.5,8.5,6.0,False,128.58,7.0,True,18-24,Medium,Medium,High,Couple
102,VIP,2025-05-01,23,Female,3,13.92,51.09,49.66,Card,Pop,8.0,4.0,8.0,True,114.67,6.67,True,18-24,Medium,Medium,Low,Group
103,3-day Pass,2025-05-01,25,Female,3,34.6,40.2,64.62,Cash,Hip-Hop,7.0,8.0,3.0,False,139.42,6.0,True,25-34,Medium,Low,Medium,Group
104,3-day Pass,2025-05-03,18,Male,4,9.35,10.89,64.63,Card,Hip-Hop,6.0,6.5,8.5,False,84.87,7.0,True,18-24,Medium,High,Medium,Group
105,3-day Pass,2025-05-01,31,Female,5,13.83,35.04,63.12,Card,Pop,6.0,6.0,3.0,True,111.99,5.0,True,25-34,Medium,Low,Medium,Group
106,3-day Pass,2025-05-02,18,Female,4,22.86,55.76,75.07,Card,Hip-Hop,3.0,6.5,4.5,False,153.69,4.67,True,18-24,Low,Low,Medium,Group
107,VIP,2025-05-01,22,Female,4,22.17,23.16,95.36,Cash,Hip-Hop,1.0,2.0,7.0,True,140.69,3.33,True,18-24,Low,Medium,Low,Group
108,3-day Pass,2025-05-02,23,Female,5,21.0,17.63,42.33,Cash,Rock,3.5,7.0,4.5,True,80.96,5.0,True,18-24,Low,Low,Medium,Group
109,3-day Pass,2025-05-02,19,Male,2,35.05,2.9,98.85,Festival App,Rock,7.0,5.0,3.0,True,136.8,5.0,True,18-24,Medium,Low,Low,Couple
110,3-day Pass,2025-05-02,18,Female,5,13.41,33.29,98.9,Card,Reggaeton,5.0,8.0,5.5,True,145.6,6.17,True,18-24,Low,Medium,Medium,Group
111,3-day Pass,2025-05-03,23,Female,3,26.38,57.7,4.53,Card,Reggaeton,5.67,7.67,7.67,False,88.61,7.0,True,18-24,Medium,Medium,Medium,Group
112,3-day Pass,2025-05-02,18,Female,5,37.28,20.65,35.88,Card,Pop,4.67,8.67,7.67,True,93.81,7.0,True,18-24,Low,Medium,High,Group
113,VIP,2025-05-01,28,Male,2,25.91,19.56,84.43,Card,Rock,3.0,2.0,6.0,True,129.9,3.67,True,25-34,Low,Medium,Low,Couple
114,3-day Pass,2025-05-01,26,Female,4,13.45,41.94,78.7,Cash,Rock,5.0,10.0,4.5,True,134.09,6.5,True,25-34,Low,Low,High,Group
115,VIP,2025-05-01,30,Female,4,5.33,44.93,62.53,Cash,Hip-Hop,6.0,4.5,5.0,False,112.79,5.17,True,25-34,Medium,Low,Low,Group
116,3-day Pass,2025-05-03,18,Male,4,43.29,26.53,98.17,Card,Hip-Hop,7.67,7.33,5.0,False,167.99,6.67,True,18-24,Medium,Low,Medium,Group
117,VIP,2025-05-02,19,Male,3,34.79,3.63,8.1,Cash,Rock,4.0,7.67,4.67,False,46.52,5.45,True,18-24,Low,Low,Medium,Group
33,3-day Pass,2025-05-03,27,Female,5,18.92,3.04,27.4,Card,Hip-Hop,8.0,8.0,4.5,True,49.36,6.83,True,25-34,Medium,Low,Medium,Group
118,3-day Pass,2025-05-03,23,Female,1,44.1,14.06,43.75,Card,Hip-Hop,4.0,7.0,2.0,True,101.91,4.33,True,18-24,Low,Low,Medium,Individual
119,1-day Pass,2025-05-03,28,Female,4,39.68,12.23,43.61,Card,Reggaeton,1.0,10.0,3.0,True,95.52,4.67,False,25-34,Low,Low,High,Group
120,VIP,2025-05-03,25,Female,3,29.79,1.88,88.28,Card,Pop,8.0,5.0,6.0,False,119.95,6.33,True,25-34,Medium,Medium,Low,Group
121,1-day Pass,2025-05-01,26,Female,3,17.37,26.25,85.39,Cash,Reggaeton,7.0,8.0,2.5,False,129.01,5.83,False,25-34,Medium,Low,Medium,Group
122,VIP,2025-05-03,19,Male,3,44.2,47.74,90.24,Cash,Reggaeton,8.0,9.0,5.5,True,182.18,7.5,True,18-24,Medium,Medium,High,Group
123,3-day Pass,2025-05-03,29,Other,3,9.59,59.53,42.05,Card,Pop,4.0,9.0,9.0,False,111.17,7.33,True,25-34,Low,High,High,Group
124,1-day Pass,2025-05-03,33,Male,4,44.96,55.95,82.44,Card,Rock,8.0,7.5,5.0,False,183.35,6.83,False,25-34,Medium,Low,Medium,Group
125,3-day Pass,2025-05-03,29,Female,2,31.08,9.8,56.22,Cash,Electronic,1.0,7.0,9.0,True,97.1,5.67,True,25-34,Low,High,Medium,Couple
126,3-day Pass,2025-05-02,26,Female,4,0.08,57.13,18.85,Card,Electronic,6.33,7.67,5.0,True,76.06,6.33,True,25-34,Medium,Low,Medium,Group
127,3-day Pass,2025-05-03,18,Female,5,31.74,37.96,13.47,Cash,Rock,5.0,8.33,6.0,True,83.17,6.44,True,18-24,Low,Medium,High,Group
128,3-day Pass,2025-05-02,22,Female,2,16.67,15.95,53.65,Festival App,Rock,4.0,7.0,7.0,True,86.27,6.0,True,18-24,Low,Medium,Medium,Couple
129,3-day Pass,2025-05-03,26,Male,1,4.02,34.33,45.42,Card,Rock,8.0,6.0,5.5,False,83.77,6.5,True,25-34,Medium,Medium,Medium,Individual
130,3-day Pass,2025-05-03,25,Female,5,6.78,12.23,41.11,Card,Rock,9.0,9.0,4.0,False,60.12,7.33,True,25-34,High,Low,High,Group
131,1-day Pass,2025-05-03,29,Female,3,44.57,19.96,29.02,Card,Rock,6.0,6.33,6.0,True,93.55,6.11,False,25-34,Medium,Medium,Medium,Group
132,1-day Pass,2025-05-02,26,Male,3,35.28,45.7,60.76,Card,Rock,5.5,7.5,3.5,True,141.74,5.5,False,25-34,Medium,Low,Medium,Group
133,3-day Pass,2025-05-01,20,Female,3,47.06,32.9,82.5,Card,Rock,5.5,8.0,6.0,False,162.46,6.5,True,18-24,Medium,Medium,Medium,Group
134,3-day Pass,2025-05-02,28,Male,4,18.97,32.67,27.64,Card,Electronic,6.5,7.5,4.5,True,79.28,6.17,True,25-34,Medium,Low,Medium,Group
135,3-day Pass,2025-05-03,29,Female,2,34.84,31.95,48.53,Cash,Hip-Hop,8.0,7.33,4.0,True,115.32,6.44,True,25-34,Medium,Low,Medium,Couple
136,3-day Pass,2025-05-01,28,Female,5,36.45,1.45,61.93,Cash,Rock,8.5,7.5,2.5,True,99.83,6.17,True,25-34,High,Low,Medium,Group
137,3-day Pass,2025-05-02,27,Female,3,28.25,46.49,93.25,Card,Electronic,1.5,7.5,4.0,True,167.99,4.33,True,25-34,Low,Low,Medium,Group
138,3-day Pass,2025-05-02,31,Female,2,4.19,16.17,68.25,Card,Hip-Hop,6.0,10.0,6.0,False,88.61,7.33,True,25-34,Medium,Medium,High,Couple
139,3-day Pass,2025-05-02,25,Female,4,43.18,53.09,97.87,Cash,Rock,6.67,8.0,4.33,True,194.14,6.33,True,25-34,Medium,Low,Medium,Group
140,3-day Pass,2025-05-02,26,Female,5,18.86,10.94,39.44,Cash,Rock,7.5,8.5,4.5,True,69.24,6.83,True,25-34,Medium,Low,High,Group
141,1-day Pass,2025-05-03,29,Male,1,16.3,33.69,24.2,Card,Rock,8.0,8.0,10.0,False,74.19,8.67,False,25-34,Medium,High,Medium,Individual
142,3-day Pass,2025-05-02,20,Female,4,33.32,58.18,90.24,Card,Reggaeton,8.0,6.5,4.0,True,181.74,6.17,True,18-24,Medium,Low,Medium,Group
143,3-day Pass,2025-05-03,28,Female,1,39.74,41.4,46.49,Cash,Rock,6.5,7.5,7.0,True,127.63,7.0,True,25-34,Medium,Medium,Medium,Individual
144,VIP,2025-05-03,24,Male,4,49.6,9.91,89.86,Card,Pop,6.33,6.67,2.67,True,149.37,5.22,True,18-24,Medium,Low,Medium,Group
145,VIP,2025-05-01,18,Female,5,44.14,47.48,96.17,Cash,Rock,4.0,7.0,3.0,True,187.79,4.67,True,18-24,Low,Low,Medium,Group
146,3-day Pass,2025-05-02,31,Male,2,47.85,59.5,47.68,Card,Hip-Hop,8.0,5.0,2.0,True,155.03,5.0,True,25-34,Medium,Low,Low,Couple
147,VIP,2025-05-03,25,Female,5,1.25,38.32,83.14,Card,Hip-Hop,3.0,6.0,7.0,True,122.71,5.33,True,25-34,Low,Medium,Medium,Group
148,3-day Pass,2025-05-01,30,Female,5,24.91,2.68,83.91,Card,Electronic,6.0,6.0,6.0,True,111.5,6.0,True,25-34,Medium,Medium,Medium,Group
149,VIP,2025-05-03,22,Female,3,43.48,1.51,24.08,Card,Hip-Hop,7.0,9.5,4.5,False,69.07,7.0,True,18-24,Medium,Low,High,Group
150,3-day Pass,2025-05-03,29,Female,5,35.7,47.09,85.79,Card,Pop,5.0,9.0,3.5,False,168.58,5.83,True,25-34,Low,Low,High,Group
151,1-day Pass,2025-05-02,18,Female,4,43.42,7.44,24.44,Card,Rock,7.0,9.0,2.0,True,75.3,6.0,False,18-24,Medium,Low,High,Group
152,1-day Pass,2025-05-03,25,Female,5,6.06,38.59,7.72,Card,Rock,5.67,8.0,6.67,True,52.37,6.78,False,25-34,Medium,Medium,Medium,Group
153,3-day Pass,2025-05-02,29,Other,3,28.83,37.96,89.02,Cash,Rock,4.0,8.0,7.0,True,155.81,6.33,True,25-34,Low,Medium,Medium,Group
154,1-day Pass,2025-05-03,25,Male,5,48.96,48.68,73.02,Card,Hip-Hop,8.0,7.0,9.0,True,170.66,8.0,False,25-34,Medium,High,Medium,Group
155,3-day Pass,2025-05-01,24,Female,3,11.7,38.99,80.41,Card,Electronic,3.0,7.0,4.67,True,131.1,4.89,True,18-24,Low,Low,Medium,Group
156,1-day Pass,2025-05-03,24,Other,5,44.94,52.22,86.38,Card,Pop,3.5,8.5,5.0,True,183.54,5.67,False,18-24,Low,Low,High,Group
157,VIP,2025-05-01,29,Male,5,31.7,1.8,3.66,Card,Hip-Hop,9.0,8.0,5.0,False,37.16,7.33,True,25-34,High,Low,Medium,Group
158,3-day Pass,2025-05-01,28,Male,3,7.16,1.87,67.31,Card,Reggaeton,9.0,7.5,5.0,True,76.34,7.17,True,25-34,High,Low,Medium,Group
159,3-day Pass,2025-05-02,26,Female,3,17.12,1.04,35.1,Card,Reggaeton,6.33,7.67,4.33,False,53.26,6.11,True,25-34,Medium,Low,Medium,Group
160,VIP,2025-05-03,26,Female,4,23.76,44.81,32.79,Card,Hip-Hop,6.33,6.67,6.33,True,101.36,6.44,True,25-34,Medium,Medium,Medium,Group
161,VIP,2025-05-01,27,Male,3,28.72,26.11,28.45,Cash,Rock,6.5,7.5,8.0,True,83.28,7.33,True,25-34,Medium,Medium,Medium,Group
162,3-day Pass,2025-05-03,30,Female,2,26.33,57.92,36.58,Card,Rock,8.0,9.0,4.0,True,120.83,7.0,True,25-34,Medium,Low,High,Couple
