ticket_id,ticket_type,attendance_date,age,gender,group_size,food_expense,drink_expense,merch_expense,payment_method,favourite_genre,satisfaction_score,security_rating,cleanliness_rating,recommend_to_friend
TCK108978,VIP,2025-05-01,29,Male,4,18.62,59.62,82.56,Card,Pop,8,8,7,False
TCK100114,1-day Pass,2025-05-02,30,Male,1,19.69,2.53,57.08,Card,Pop,4,7,6,True
TCK108622,1-day Pass,2025-05-02,19,Female,5,18.71,45.48,4.27,Cash,Reggaeton,5,6,5,True
TCK107720,3-day Pass,2025-05-01,18,Male,1,44.24,12.38,8.67,Card,Pop,8,8,3,True
TCK105805,3-day Pass,2025-05-02,18,Female,2,48.04,32.32,44.03,Card,Pop,8,7,2,True
TCK107013,1-day Pass,2025-05-03,18,Female,5,9.4,36.3,28.84,Card,Rock,8,9,7,True
TCK102507,3-day Pass,2025-05-03,21,Female,3,41.45,7.18,26.79,Card,Rock,9,9,6,False
TCK104423,1-day Pass,2025-05-02,31,Female,5,48.13,38.57,17.0,Cash,Pop,8,8,1,True
TCK102633,1-day Pass,2025-05-03,23,Female,3,30.4,8.58,7.04,Cash,Hip-Hop,8,8,8,True
TCK100195,3-day Pass,2025-05-03,19,Male,3,36.31,4.6,67.21,Card,Rock,4,6,1,True
TCK106458,3-day Pass,2025-05-02,26,Female,3,29.48,8.54,20.74,Cash,Rock,2,7,9,True
TCK103725,3-day Pass,2025-05-02,21,Male,4,17.94,37.54,94.2,Card,Reggaeton,1,9,2,True
TCK109319,1-day Pass,2025-05-02,30,Other,5,30.75,57.29,75.52,Card,Hip-Hop,4,7,4,True
TCK109279,3-day Pass,2025-05-02,24,Male,1,8.86,15.32,55.41,Card,Rock,8,9,9,False
TCK102039,VIP,2025-05-01,29,Male,4,11.37,7.41,68.27,Card,Rock,4,9,1,False
TCK100695,VIP,2025-05-03,24,Male,3,45.53,37.76,67.23,Card,Pop,5,8,9,True
TCK108986,1-day Pass,2025-05-02,20,Other,4,20.16,50.51,21.8,Card,Pop,8,2,5,True
TCK106205,3-day Pass,2025-05-03,25,Male,3,24.7,12.29,75.64,Card,Pop,3,9,9,True
TCK102003,1-day Pass,2025-05-03,31,Male,3,36.43,39.62,55.32,Card,Hip-Hop,2,8,7,True
TCK103499,3-day Pass,2025-05-01,27,Male,1,31.66,29.14,91.11,Card,Rock,8,7,3,False
TCK109136,3-day Pass,2025-05-01,26,Male,2,20.98,9.08,38.31,Card,Hip-Hop,7,9,6,False
TCK104019,VIP,2025-05-03,23,Male,2,26.33,23.98,24.38,Card,Hip-Hop,6,7,3,True
TCK101464,3-day Pass,2025-05-01,23,Male,5,17.69,33.3,11.93,Card,Electronic,9,8,10,True
TCK109234,3-day Pass,2025-05-01,27,Female,5,22.48,41.08,38.64,Cash,Pop,2,9,7,True
TCK102701,VIP,2025-05-02,18,Female,2,17.01,2.72,89.26,Card,Hip-Hop,3,6,3,True
TCK105975,3-day Pass,2025-05-03,20,Male,4,10.86,8.83,80.5,Cash,Hip-Hop,8,6,1,True
TCK108511,3-day Pass,2025-05-02,31,Other,2,23.6,18.99,56.63,Cash,Rock,8,9,2,True
TCK107872,3-day Pass,2025-05-02,23,Female,4,38.62,11.79,29.03,Card,Rock,1,7,2,True
TCK100403,3-day Pass,2025-05-01,24,Female,2,28.3,56.06,87.44,Card,Hip-Hop,8,10,7,True
TCK101056,1-day Pass,2025-05-01,27,Male,2,9.32,20.25,45.21,Card,Rock,8,5,2,False
TCK105785,3-day Pass,2025-05-01,22,Male,3,8.16,37.39,40.76,Card,Rock,6,9,6,False
TCK100510,1-day Pass,2025-05-01,18,Female,2,24.11,32.37,91.94,Card,Rock,2,7,5,True
TCK107642,3-day Pass,2025-05-03,18,Female,5,38.44,9.57,61.3,Cash,Electronic,8,10,3,False
TCK102346,VIP,2025-05-02,20,Female,4,25.86,20.18,87.82,Cash,Rock,5,6,2,True
TCK108979,3-day Pass,2025-05-01,19,Male,3,11.53,39.17,43.22,Cash,Rock,5,8,7,True
TCK107575,3-day Pass,2025-05-01,22,Male,3,30.81,46.19,30.87,Card,Rock,5,7,6,True
TCK107891,VIP,2025-05-02,28,Female,2,40.19,4.99,0.86,Card,Reggaeton,8,8,3,True
TCK105737,1-day Pass,2025-05-01,26,Male,1,3.53,41.61,48.28,Card,Rock,8,9,9,False
TCK106625,3-day Pass,2025-05-02,19,Other,5,34.61,1.3,35.53,Card,Pop,4,10,2,False
TCK106392,1-day Pass,2025-05-02,21,Female,4,14.69,58.81,8.94,Card,Rock,7,5,7,True
TCK109213,3-day Pass,2025-05-03,27,Male,5,34.34,42.87,97.75,Card,Pop,8,10,9,True
TCK109017,3-day Pass,2025-05-03,28,Female,3,13.83,10.65,52.62,Cash,Pop,8,9,8,True
TCK102856,1-day Pass,2025-05-01,21,Male,1,7.12,38.98,9.49,Card,Rock,8,7,6,True
TCK107695,VIP,2025-05-01,23,Male,3,40.34,13.05,43.75,Card,Hip-Hop,8,9,5,True
TCK102917,1-day Pass,2025-05-01,18,Female,4,3.74,12.0,81.99,Card,Pop,7,6,7,True
TCK107514,3-day Pass,2025-05-01,22,Female,3,45.7,17.97,22.74,Card,Reggaeton,5,10,1,False
TCK104722,3-day Pass,2025-05-01,21,Female,3,35.81,53.67,65.75,Card,Reggaeton,3,8,4,True
TCK102909,3-day Pass,2025-05-01,24,Female,5,40.8,39.59,87.04,Card,Rock,1,7,2,False
TCK105106,1-day Pass,2025-05-02,28,Female,5,28.93,9.91,37.87,Card,Rock,8,7,8,True
TCK104331,VIP,2025-05-01,27,Other,5,41.66,55.92,81.8,Card,Reggaeton,8,8,5,False
TCK103655,VIP,2025-05-02,28,Male,3,15.57,25.26,72.62,Card,Electronic,8,8,4,True
TCK107979,1-day Pass,2025-05-03,20,Male,2,6.66,51.67,36.98,Cash,Pop,1,9,7,False
TCK102986,3-day Pass,2025-05-02,22,Male,2,39.98,56.54,74.5,Card,Rock,3,7,4,False
TCK100910,3-day Pass,2025-05-03,25,Female,5,0.24,26.48,88.36,Festival App,Pop,1,9,3,True
TCK104863,1-day Pass,2025-05-03,18,Female,1,45.15,37.9,57.71,Card,Reggaeton,4,4,3,True
TCK107354,3-day Pass,2025-05-01,26,Female,3,31.1,33.72,69.22,Cash,Pop,10,10,7,True
TCK105665,3-day Pass,2025-05-01,27,Female,3,28.16,25.68,9.49,Cash,Hip-Hop,8,6,3,False
TCK108625,1-day Pass,2025-05-01,18,Female,3,17.52,46.02,32.47,Cash,Electronic,8,5,3,True
TCK100598,3-day Pass,2025-05-03,26,Female,3,1.35,25.64,89.19,Cash,Hip-Hop,2,6,3,False
TCK102176,3-day Pass,2025-05-02,29,Male,3,10.44,54.18,93.91,Card,Pop,4,10,10,True
TCK101479,3-day Pass,2025-05-02,30,Female,5,48.78,32.13,74.3,Card,Rock,8,1,2,True
TCK103974,1-day Pass,2025-05-03,31,Female,4,33.62,48.08,73.73,Cash,Rock,1,9,7,False
TCK104133,3-day Pass,2025-05-03,28,Female,2,40.69,19.27,49.9,Card,Hip-Hop,9,8,6,True
TCK106624,1-day Pass,2025-05-02,29,Male,3,42.9,6.47,57.95,Card,Hip-Hop,6,9,3,True
TCK100990,VIP,2025-05-03,31,Female,4,9.45,22.73,26.16,Card,Electronic,7,9,8,True
TCK108279,3-day Pass,2025-05-01,22,Female,3,14.79,57.34,23.76,Card,Pop,1,9,5,True
TCK101155,3-day Pass,2025-05-01,29,Female,2,6.48,1.65,56.18,Cash,Hip-Hop,8,9,5,True
TCK104215,VIP,2025-05-02,29,Female,3,31.9,36.37,44.94,Card,Pop,8,10,4,True
TCK103141,3-day Pass,2025-05-02,21,Male,2,6.82,25.37,35.24,Card,Rock,2,8,4,True
TCK105399,VIP,2025-05-01,20,Male,2,48.01,47.34,33.23,Card,Pop,8,10,3,False
TCK108224,VIP,2025-05-01,25,Female,4,13.92,51.09,49.66,Cash,Pop,10,9,5,True
TCK101336,3-day Pass,2025-05-01,33,Female,4,34.6,40.2,64.62,Card,Hip-Hop,7,5,6,False
TCK102950,3-day Pass,2025-05-03,18,Male,3,9.35,10.89,64.63,Card,Hip-Hop,8,7,7,False
TCK105026,3-day Pass,2025-05-01,18,Female,4,13.83,35.04,63.12,Card,Pop,8,8,4,True
TCK100489,3-day Pass,2025-05-02,25,Female,5,22.86,55.76,75.07,Cash,Hip-Hop,8,7,3,False
TCK104660,VIP,2025-05-01,28,Female,2,22.17,23.16,95.36,Card,Hip-Hop,8,6,7,True
TCK105827,3-day Pass,2025-05-02,23,Male,3,21.0,17.63,42.33,Cash,Rock,8,9,2,True
TCK105697,3-day Pass,2025-05-02,28,Male,3,35.05,2.9,98.85,Card,Rock,4,7,6,True
TCK105284,3-day Pass,2025-05-02,18,Female,5,13.41,33.29,98.9,Card,Reggaeton,8,8,8,True
TCK105603,3-day Pass,2025-05-03,28,Female,3,26.38,57.7,4.53,Cash,Reggaeton,10,5,3,False
TCK104138,3-day Pass,2025-05-02,30,Female,3,37.28,20.65,35.88,Card,Pop,4,9,6,True
TCK100415,VIP,2025-05-01,19,Male,4,25.91,19.56,84.43,Cash,Rock,1,4,8,True
TCK107730,3-day Pass,2025-05-01,29,Female,5,13.45,41.94,78.7,Card,Rock,6,10,3,True
TCK107080,VIP,2025-05-01,18,Female,3,5.33,44.93,62.53,Cash,Hip-Hop,5,7,5,False
TCK102601,3-day Pass,2025-05-03,25,Male,3,43.29,26.53,98.17,Card,Hip-Hop,8,10,9,False
TCK102880,VIP,2025-05-02,31,Male,3,34.79,3.63,8.1,Card,Rock,8,7,6,False
TCK100114,3-day Pass,2025-05-03,27,Female,5,18.92,3.04,27.4,Card,Hip-Hop,8,9,2,True
TCK108368,3-day Pass,2025-05-03,27,Female,3,44.1,14.06,43.75,Card,Hip-Hop,1,7,10,True
TCK101689,1-day Pass,2025-05-03,30,Female,3,39.68,12.23,43.61,Card,Reggaeton,2,8,3,True
TCK101826,VIP,2025-05-03,18,Female,5,29.79,1.88,88.28,Cash,Pop,4,6,4,False
TCK103223,1-day Pass,2025-05-01,22,Female,5,17.37,26.25,85.39,Card,Reggaeton,8,7,3,False
TCK107299,VIP,2025-05-03,18,Male,4,44.2,47.74,90.24,Card,Reggaeton,8,7,5,True
TCK101106,3-day Pass,2025-05-03,26,Male,2,9.59,59.53,42.05,Card,Pop,8,7,3,False
TCK103198,1-day Pass,2025-05-03,20,Male,3,44.96,55.95,82.44,Card,Rock,6,9,6,False
TCK107045,3-day Pass,2025-05-03,27,Female,4,31.08,9.8,56.22,Cash,Electronic,8,9,4,True
TCK109212,3-day Pass,2025-05-02,25,Female,3,0.08,57.13,18.85,Card,Electronic,1,7,4,True
TCK105373,3-day Pass,2025-05-03,22,Other,2,31.74,37.96,13.47,Card,Rock,8,8,4,True
TCK109029,3-day Pass,2025-05-02,18,Other,1,16.67,15.95,53.65,Card,Rock,2,7,2,True
TCK108998,3-day Pass,2025-05-03,28,Female,5,4.02,34.33,45.42,Cash,Rock,4,10,1,False
TCK102068,3-day Pass,2025-05-03,23,Female,3,6.78,12.23,41.11,Card,Rock,2,8,5,False
TCK108030,1-day Pass,2025-05-03,29,Female,1,44.57,19.96,29.02,Card,Rock,8,1,1,True
TCK107143,1-day Pass,2025-05-02,25,Female,2,35.28,45.7,60.76,Card,Rock,8,9,6,True
TCK101448,3-day Pass,2025-05-01,18,Female,1,47.06,32.9,82.5,Card,Rock,8,9,10,False
TCK108949,3-day Pass,2025-05-02,20,Male,3,18.97,32.67,27.64,Card,Electronic,2,10,6,True
TCK104281,3-day Pass,2025-05-03,30,Female,4,34.84,31.95,48.53,Card,Hip-Hop,1,9,9,True
TCK102097,3-day Pass,2025-05-01,18,Female,4,36.45,1.45,61.93,Cash,Rock,7,8,9,True
TCK105572,3-day Pass,2025-05-02,23,Female,1,28.25,46.49,93.25,Card,Electronic,7,7,5,True
TCK105606,3-day Pass,2025-05-02,25,Female,4,4.19,16.17,68.25,Card,Hip-Hop,9,9,8,False
TCK105449,3-day Pass,2025-05-02,30,Male,2,43.18,53.09,97.87,Card,Rock,2,9,6,True
TCK100903,3-day Pass,2025-05-02,28,Female,2,18.86,10.94,39.44,Card,Rock,5,10,5,True
TCK107423,1-day Pass,2025-05-03,30,Male,3,16.3,33.69,24.2,Festival App,Rock,2,1,7,False
TCK102412,3-day Pass,2025-05-02,27,Female,5,33.32,58.18,90.24,Card,Reggaeton,5,9,2,True
TCK107292,3-day Pass,2025-05-03,18,Female,3,39.74,41.4,46.49,Card,Rock,5,8,9,True
TCK108440,VIP,2025-05-03,24,Male,3,49.6,9.91,89.86,Cash,Pop,4,2,2,True
TCK100240,VIP,2025-05-01,29,Other,2,44.14,47.48,96.17,Card,Rock,4,7,3,True
TCK106195,3-day Pass,2025-05-02,26,Female,3,47.85,59.5,47.68,Card,Hip-Hop,3,5,6,True
TCK103461,3-day Pass,2025-05-03,22,Female,3,1.25,38.32,83.14,Cash,Hip-Hop,4,7,3,True
TCK104070,3-day Pass,2025-05-01,18,Other,5,24.91,2.68,83.91,Cash,Electronic,8,9,4,True
TCK103619,VIP,2025-05-03,30,Female,4,43.48,1.51,24.08,Card,Hip-Hop,4,9,4,False
TCK104661,3-day Pass,2025-05-03,26,Female,4,35.7,47.09,85.79,Card,Pop,5,7,5,False
TCK106363,1-day Pass,2025-05-02,27,Female,3,43.42,7.44,24.44,Card,Rock,8,10,3,True
TCK101420,1-day Pass,2025-05-03,30,Other,1,6.06,38.59,7.72,Cash,Rock,4,9,3,True
TCK104319,3-day Pass,2025-05-02,27,Female,5,28.83,37.96,89.02,Card,Rock,1,10,7,True
TCK103815,1-day Pass,2025-05-03,29,Male,1,48.96,48.68,73.02,Card,Hip-Hop,9,8,7,True
TCK109115,3-day Pass,2025-05-01,29,Female,3,11.7,38.99,80.41,Card,Electronic,1,9,9,True
TCK101613,1-day Pass,2025-05-03,27,Other,5,44.94,52.22,86.38,Card,Pop,8,2,2,True
TCK103353,VIP,2025-05-01,30,Male,1,31.7,1.8,3.66,Card,Hip-Hop,3,2,2,False
TCK105056,3-day Pass,2025-05-01,22,Male,4,7.16,1.87,67.31,Cash,Reggaeton,8,6,5,True
TCK100010,3-day Pass,2025-05-02,26,Female,5,17.12,1.04,35.1,Cash,Reggaeton,8,8,7,False
TCK106489,VIP,2025-05-03,25,Female,3,23.76,44.81,32.79,Card,Hip-Hop,4,9,4,True
TCK109121,VIP,2025-05-01,20,Male,3,28.72,26.11,28.45,Festival App,Rock,5,8,3,True
TCK106684,3-day Pass,2025-05-03,18,Male,4,26.33,57.92,36.58,Card,Rock,8,10,6,True
TCK106068,3-day Pass,2025-05-02,25,Male,4,2.47,54.53,44.33,Cash,Rock,8,8,6,True
TCK104243,VIP,2025-05-02,34,Male,3,12.03,21.93,87.81,Cash,Rock,1,10,2,True
TCK104565,1-day Pass,2025-05-01,30,Female,3,24.82,3.52,67.73,Card,Pop,1,7,8,False
TCK107293,3-day Pass,2025-05-01,20,Female,3,8.28,1.85,36.01,Card,Rock,6,9,3,True
TCK104495,1-day Pass,2025-05-02,33,Male,3,28.72,45.34,1.96,Cash,Hip-Hop,8,8,6,True
TCK106447,3-day Pass,2025-05-01,28,Male,3,3.72,32.15,53.77,Card,Rock,8,9,7,True
TCK106148,3-day Pass,2025-05-03,24,Male,4,37.15,26.49,9.06,Cash,Rock,1,7,10,True
TCK106345,3-day Pass,2025-05-02,23,Female,3,0.97,2.31,45.19,Card,Rock,4,8,9,False
TCK105222,VIP,2025-05-02,24,Female,2,20.56,51.08,69.23,Card,Pop,7,9,3,False
TCK107106,1-day Pass,2025-05-02,27,Female,5,13.88,31.8,9.13,Card,Electronic,3,9,9,True
TCK102340,3-day Pass,2025-05-03,18,Male,4,0.32,7.79,18.94,Card,Rock,4,7,10,True
TCK103419,3-day Pass,2025-05-03,25,Male,5,5.97,46.94,21.21,Card,Rock,8,1,9,False
TCK108365,VIP,2025-05-03,19,Male,3,45.02,4.57,33.71,Card,Electronic,6,2,9,True
TCK106769,VIP,2025-05-01,26,Female,4,43.09,38.79,54.41,Cash,Pop,5,9,4,True
TCK100224,3-day Pass,2025-05-03,21,Male,5,47.31,35.51,44.81,Card,Pop,6,10,2,True
TCK101651,3-day Pass,2025-05-01,28,Male,3,9.31,20.28,16.8,Card,Pop,8,9,7,True
TCK107036,VIP,2025-05-03,24,Female,3,34.51,45.3,5.02,Card,Electronic,1,7,3,True
TCK105322,1-day Pass,2025-05-02,29,Male,1,10.04,43.64,42.0,Cash,Pop,9,10,6,True
TCK103035,3-day Pass,2025-05-02,26,Female,1,36.61,49.48,18.96,Card,Rock,7,8,4,True
TCK100272,3-day Pass,2025-05-02,25,Male,4,15.93,35.37,88.23,Card,Rock,8,8,8,False
TCK107093,3-day Pass,2025-05-03,18,Male,4,26.67,0.87,32.94,Cash,Rock,8,6,4,True
TCK104898,1-day Pass,2025-05-02,24,Female,3,44.35,2.15,28.73,Card,Hip-Hop,1,7,6,False
TCK101860,3-day Pass,2025-05-03,29,Male,4,37.64,1.26,1.38,Cash,Rock,9,8,9,False
TCK103150,3-day Pass,2025-05-02,29,Male,4,32.44,4.79,45.71,Cash,Pop,2,10,5,True
TCK104690,3-day Pass,2025-05-03,30,Male,3,24.47,36.08,51.27,Card,Hip-Hop,8,8,4,False
TCK103472,1-day Pass,2025-05-03,18,Female,5,22.18,40.33,87.7,Cash,Hip-Hop,8,6,4,False
TCK100471,3-day Pass,2025-05-02,18,Other,4,4.22,53.25,81.6,Card,Pop,7,7,2,True
TCK109093,3-day Pass,2025-05-01,26,Female,4,39.9,38.38,81.22,Cash,Reggaeton,5,9,5,False
TCK106053,3-day Pass,2025-05-01,23,Female,5,20.41,55.88,53.03,Cash,Hip-Hop,1,9,5,False
TCK104578,3-day Pass,2025-05-03,23,Female,2,6.45,21.14,23.3,Card,Reggaeton,9,8,8,True
TCK106563,1-day Pass,2025-05-01,18,Female,4,36.81,40.78,7.12,Card,Rock,8,7,3,True
TCK107952,3-day Pass,2025-05-02,18,Female,2,6.89,6.52,73.09,Cash,Rock,7,8,2,False
TCK109274,3-day Pass,2025-05-01,19,Female,3,7.03,12.73,20.98,Card,Pop,9,10,1,True
TCK105358,3-day Pass,2025-05-02,32,Female,5,20.49,18.94,80.77,Card,Pop,3,7,1,False
TCK101006,3-day Pass,2025-05-03,21,Male,3,41.45,44.18,86.46,Card,Pop,1,9,4,True
TCK102933,VIP,2025-05-02,18,Female,2,43.12,7.31,73.46,Card,Hip-Hop,4,7,4,True
TCK106018,3-day Pass,2025-05-03,25,Male,3,34.87,49.3,29.22,Card,Rock,8,7,6,False
TCK100489,3-day Pass,2025-05-03,31,Male,2,28.22,22.22,75.27,Card,Hip-Hop,8,8,3,True
TCK101185,3-day Pass,2025-05-02,32,Female,1,13.85,12.81,15.07,Cash,Rock,6,8,9,True
TCK101624,3-day Pass,2025-05-02,18,Female,2,23.87,29.97,86.69,Cash,Electronic,2,8,9,True
TCK107926,1-day Pass,2025-05-01,22,Male,4,40.98,55.21,84.27,Card,Pop,9,7,9,True
TCK103950,1-day Pass,2025-05-02,28,Female,3,15.17,56.6,62.95,Card,Pop,8,10,6,False
TCK105580,3-day Pass,2025-05-01,30,Female,5,29.05,10.23,80.17,Cash,Rock,7,10,4,False
TCK107406,3-day Pass,2025-05-02,25,Male,2,29.82,33.62,66.11,Cash,Rock,1,9,7,False
TCK103663,VIP,2025-05-01,29,Female,2,35.85,2.61,61.69,Card,Electronic,4,8,6,True
TCK108120,VIP,2025-05-02,23,Female,1,36.94,21.27,53.43,Cash,Rock,7,7,4,False
TCK109032,VIP,2025-05-02,27,Male,2,44.95,28.92,44.69,Cash,Rock,8,6,7,True
TCK107801,3-day Pass,2025-05-01,21,Female,3,20.76,51.71,56.74,Card,Hip-Hop,8,6,8,True
TCK104343,3-day Pass,2025-05-01,23,Female,1,10.41,18.63,1.1,Card,Rock,9,9,2,False
TCK104969,3-day Pass,2025-05-01,23,Female,4,35.76,59.6,95.79,Cash,Electronic,1,8,6,True
TCK101680,VIP,2025-05-03,25,Female,4,44.49,31.59,20.28,Card,Pop,8,6,4,True
TCK105443,3-day Pass,2025-05-03,27,Female,3,14.17,5.45,7.66,Card,Reggaeton,7,7,2,False
TCK102957,3-day Pass,2025-05-02,29,Female,3,19.41,30.38,78.97,Card,Electronic,4,8,2,True
TCK104261,3-day Pass,2025-05-02,21,Female,5,33.67,22.2,22.92,Card,Hip-Hop,8,9,3,False
TCK106843,1-day Pass,2025-05-03,22,Female,5,19.37,10.24,86.86,Cash,Hip-Hop,8,10,6,True
TCK104671,3-day Pass,2025-05-02,24,Male,3,49.08,57.84,71.09,Cash,Rock,3,7,5,True
TCK109288,3-day Pass,2025-05-01,28,Female,1,45.54,32.61,71.97,Card,Reggaeton,6,10,4,False
TCK109148,3-day Pass,2025-05-03,21,Female,5,29.54,10.56,65.88,Card,Hip-Hop,1,8,5,True
TCK104295,3-day Pass,2025-05-01,22,Male,2,48.63,36.07,83.28,Card,Pop,6,9,6,True
TCK100198,3-day Pass,2025-05-01,27,Female,3,9.95,13.85,61.64,Cash,Rock,2,6,5,True
TCK104606,3-day Pass,2025-05-01,23,Female,3,10.53,20.69,44.76,Card,Rock,8,8,7,True
TCK103938,VIP,2025-05-01,18,Female,3,37.31,49.91,2.13,Cash,Reggaeton,4,7,4,False
TCK100841,3-day Pass,2025-05-03,25,Male,4,15.0,8.4,75.27,Card,Hip-Hop,7,8,6,True
TCK105772,3-day Pass,2025-05-02,27,Female,1,48.47,28.49,76.31,Festival App,Pop,1,7,10,True
TCK106880,3-day Pass,2025-05-03,21,Male,3,9.53,51.95,36.07,Card,Electronic,6,9,4,True
TCK100672,1-day Pass,2025-05-03,27,Male,3,6.62,48.59,58.05,Card,Hip-Hop,8,9,3,False
TCK103206,VIP,2025-05-02,28,Female,2,5.27,55.45,95.77,Cash,Rock,9,8,4,True
TCK104991,3-day Pass,2025-05-02,27,Male,5,49.5,3.76,8.47,Card,Rock,8,8,8,False
TCK105548,3-day Pass,2025-05-01,23,Male,5,37.09,42.51,51.13,Card,Pop,4,7,3,True
TCK109164,3-day Pass,2025-05-03,18,Female,2,36.09,5.91,27.77,Cash,Pop,8,7,4,True
TCK101835,3-day Pass,2025-05-03,18,Male,2,38.15,28.57,35.94,Card,Rock,1,6,1,True
TCK106907,3-day Pass,2025-05-01,18,Male,2,16.62,25.09,56.65,Cash,Rock,4,8,9,True
TCK106548,VIP,2025-05-02,18,Male,4,24.72,34.18,88.5,Cash,Rock,8,7,6,True
TCK103178,VIP,2025-05-03,25,Male,3,1.56,21.74,7.3,Card,Rock,8,9,4,False
TCK104108,3-day Pass,2025-05-01,30,Male,5,32.64,43.0,73.98,Cash,Rock,8,10,3,True
TCK105296,VIP,2025-05-03,21,Other,3,30.98,32.22,51.22,Cash,Rock,9,10,7,False
TCK105870,3-day Pass,2025-05-01,26,Male,4,11.18,43.6,74.04,Card,Reggaeton,8,8,6,False
TCK103105,1-day Pass,2025-05-02,29,Female,3,49.82,12.8,48.91,Cash,Pop,5,1,8,False
TCK107171,3-day Pass,2025-05-03,22,Male,5,23.39,34.07,94.05,Cash,Reggaeton,4,9,8,False
TCK106537,1-day Pass,2025-05-03,19,Female,4,31.85,53.22,7.64,Card,Reggaeton,2,7,6,False
TCK103471,3-day Pass,2025-05-01,18,Male,2,40.35,17.0,67.6,Card,Hip-Hop,4,10,9,False
TCK109282,3-day Pass,2025-05-02,32,Male,5,19.92,12.1,13.38,Cash,Pop,3,7,4,True
TCK101984,3-day Pass,2025-05-03,27,Female,4,1.84,57.23,51.61,Card,Pop,5,7,9,True
TCK101747,3-day Pass,2025-05-02,27,Male,1,8.47,1.04,56.55,Card,Pop,8,8,10,False
TCK109065,3-day Pass,2025-05-02,27,Male,2,2.83,21.93,23.32,Card,Pop,7,8,2,True
TCK105309,1-day Pass,2025-05-01,18,Female,3,19.66,15.34,74.73,Card,Electronic,4,9,2,True
TCK103863,3-day Pass,2025-05-02,20,Male,4,47.63,22.42,77.76,Cash,Electronic,6,6,3,True
TCK103746,3-day Pass,2025-05-01,28,Female,3,31.45,19.65,14.16,Card,Pop,10,10,3,True
